accession	cohort	v5_completeness	v5_contamination	v5_mimag	checkm2_completeness	checkm2_contamination	checkm2_mimag	total_bp	log10_total_bp	n_contigs	n50	longest_contig	mean_contig_bp	gc_pct	has_kraken2_output
GCA_030149595.1	v5hq_only	99.31906	0.2235502	HQ	73.8	2.77	MQ	2383633	6.3772	468	5757	20820	5093.2	33.375	True
GCA_030152885.1	neither_hq	75.17435	0.0029057264	MQ	77.42	0.45	MQ	1605292	6.2056	244	7889	44365	6579.1	47.56	False
GCA_030451785.1	agree_clean	99.769165	0.27025044	HQ	96.06	0.8	HQ	4824369	6.6834	196	41285	144371	24614.1	58.579	False
GCA_030524455.1	agree_clean	99.94365	0.8457422	HQ	98.38	0.38	HQ	3269885	6.5145	88	65343	400630	37157.8	55.415	False
GCA_030597115.1	neither_hq	68.365135	0.026091933	MQ	67.9	2.55	MQ	3130302	6.4956	860	3924	13533	3639.9	61.039	False
GCA_030606615.1	neither_hq	50.11639	0.0006556511	MQ	35.19	1.76	LQ	544532	5.736	127	4451	10443	4287.7	55.274	False
GCA_030607655.1	neither_hq	73.02629	0.82034767	MQ	75.7	2.46	MQ	2139077	6.3302	254	8902	39465	8421.6	57.094	False
GCA_030610225.1	neither_hq	51.633537	0.51839054	MQ	73.34	1.07	MQ	1301342	6.1144	218	7215	24574	5969.5	44.07	False
GCA_030622115.1	agree_clean	98.99671	1.3146847	HQ	100.0	1.44	HQ	2631142	6.4201	98	59457	155763	26848.4	60.142	False
GCA_030655455.1	agree_clean	99.17057	0.29512942	HQ	100.0	1.97	HQ	4234421	6.6268	28	206429	546313	151229.3	68.804	False
GCA_030696565.1	agree_clean	99.905014	0.22817254	HQ	97.45	1.58	HQ	3520058	6.5465	234	27945	155335	15043.0	54.158	False
GCA_030856995.1	neither_hq	55.011093	0.07674098	MQ	44.06	1.82	LQ	1592318	6.202	179	9952	34774	8895.6	63.777	False
GCA_031263035.1	disagreement_141	62.08219	26.310593	LQ	93.8	2.73	HQ	2392468	6.3788	156	28309	115343	15336.3	31.157	True
GCA_031273935.1	neither_hq	78.59021	5.141777	MQ	71.56	0.62	MQ	1028588	6.0122	172	6687	24326	5980.2	26.384	False
GCA_031277445.1	neither_hq	55.53827	0.12295544	MQ	73.31	0.02	MQ	1337145	6.1262	211	7137	19882	6337.2	56.525	False
GCA_031280705.1	neither_hq	81.5032	0.7990807	MQ	88.85	2.41	MQ	2309977	6.3636	292	9518	33452	7910.9	58.061	False
GCA_031373885.1	v5hq_only	99.77356	0.73577464	HQ	81.85	7.63	MQ	4921446	6.6921	1314	4311	20863	3745.4	67.644	True
GCA_031419795.1	neither_hq	88.163025	0.11974573	MQ	84.78	6.39	MQ	3585515	6.5546	926	4608	44437	3872.0	61.237	False
GCA_031969975.1	disagreement_141	88.15625	29.18064	LQ	99.37	2.37	HQ	9145261	6.9612	1116	13144	145479	8194.7	46.354	True
GCA_031971075.1	neither_hq	80.488594	0.19237101	MQ	60.43	2.72	MQ	4870701	6.6876	1084	5115	28924	4493.3	45.529	False
GCA_031996725.1	neither_hq	60.494846	0.007584691	MQ	65.06	2.23	MQ	1331507	6.1243	595	2402	15235	2237.8	35.393	False
GCA_032016925.1	v5hq_only	99.34424	1.1461139	HQ	81.01	2.45	MQ	4003821	6.6025	537	10074	48027	7455.9	34.157	True
GCA_032054165.1	agree_clean	99.89798	0.18238425	HQ	100.0	1.1	HQ	4427851	6.6462	145	56715	164507	30536.9	64.103	False
GCA_032230755.1	neither_hq	67.37694	6.078437	MQ	62.06	4.08	MQ	4085992	6.6113	644	7789	43526	6344.7	65.359	False
GCA_032479655.1	v5hq_only	99.97414	0.24302602	HQ	86.96	1.53	MQ	2020436	6.3054	266	13867	48904	7595.6	38.499	True
GCA_032483655.1	agree_clean	94.7616	0.07972121	HQ	94.83	1.71	HQ	4345638	6.6381	340	18106	63013	12781.3	55.3	False
GCA_033808535.1	neither_hq	84.5665	13.114273	LQ	86.37	0.19	MQ	2231006	6.3485	215	13272	70701	10376.8	53.094	False
GCA_034133345.1	agree_clean	99.916435	0.4997939	HQ	99.28	0.36	HQ	5048007	6.7031	36	358176	536838	140222.4	43.275	False
GCA_034668685.1	neither_hq	72.334175	0.6777555	MQ	88.22	4.02	MQ	2850819	6.455	152	29120	82491	18755.4	68.809	False
GCA_035259295.1	neither_hq	75.55761	1.0471284	MQ	76.12	3.23	MQ	3753833	6.5745	771	5237	19453	4868.8	56.378	False
GCA_035312525.1	neither_hq	81.57622	33.104008	LQ	75.09	14.35	LQ	4367772	6.6403	1204	3757	13815	3627.7	70.034	False
GCA_035316505.1	neither_hq	70.465126	0.053152442	MQ	79.21	1.71	MQ	4669103	6.6692	1215	4035	22210	3842.9	40.956	False
GCA_035318245.1	neither_hq	76.26579	0.05504787	MQ	87.89	1.63	MQ	2184596	6.3394	266	11418	54028	8212.8	64.027	False
GCA_035328525.1	neither_hq	54.78017	0.01977086	MQ	56.37	2.8	MQ	2142735	6.331	744	2996	23535	2880.0	68.055	False
GCA_035338575.1	v5hq_only	99.71857	1.9008011	HQ	83.95	2.63	MQ	6719320	6.8273	1735	4396	20934	3872.8	51.149	True
GCA_035369085.1	neither_hq	59.38041	20.193562	LQ	77.7	2.84	MQ	645780	5.8101	112	6562	22088	5765.9	29.794	False
GCA_035386105.1	disagreement_141	77.825836	0.0044882298	MQ	94.02	0.88	HQ	1886924	6.2758	106	30030	123466	17801.2	34.871	True
GCA_035433545.1	neither_hq	75.73834	0.123518705	MQ	88.24	0.56	MQ	2794608	6.4463	131	30836	90837	21332.9	74.328	False
GCA_035435265.1	agree_clean	99.974014	0.1416117	HQ	93.8	0.32	HQ	1922879	6.284	170	17174	61784	11311.1	49.565	False
GCA_035435645.1	disagreement_141	71.285835	0.38408637	MQ	90.7	1.11	HQ	1663062	6.2209	208	9925	97369	7995.5	39.416	True
GCA_035436425.1	disagreement_141	93.48346	9.269306	MQ	95.16	0.05	HQ	2254552	6.3531	40	95107	194950	56363.8	46.387	True
GCA_035453605.1	disagreement_141	80.10804	6.6231728	MQ	95.64	0.24	HQ	3932547	6.5947	24	319965	593242	163856.1	67.022	True
GCA_035458905.1	neither_hq	89.118355	0.49377084	MQ	71.2	0.22	MQ	2686084	6.4291	264	13106	50776	10174.6	68.653	False
GCA_035486355.1	v5hq_only	99.951645	0.71900487	HQ	83.08	2.57	MQ	5524676	6.7423	317	30975	112722	17428.0	65.309	True
GCA_035491135.1	neither_hq	62.713314	0.0035434961	MQ	65.31	3.04	MQ	2211935	6.3448	550	4631	17346	4021.7	62.318	False
GCA_035509275.1	agree_clean	99.91637	1.0528535	HQ	95.27	3.7	HQ	5989716	6.7774	246	38385	164496	24348.4	67.027	False
GCA_035511355.1	neither_hq	62.84974	0.016874075	MQ	78.89	2.75	MQ	3407119	6.5324	562	7428	33422	6062.5	71.343	False
GCA_035513115.1	neither_hq	58.18269	1.6929895	MQ	87.13	4.56	MQ	2221611	6.3467	257	12249	45976	8644.4	69.534	False
GCA_035517775.1	agree_clean	99.811874	0.8485973	HQ	92.33	2.31	HQ	4468943	6.6502	134	60760	196272	33350.3	61.095	False
GCA_035523935.1	neither_hq	87.59694	3.2828212	MQ	77.55	8.81	MQ	6447292	6.8094	601	15472	183593	10727.6	61.421	False
GCA_035526525.1	neither_hq	67.47857	0.06509721	MQ	86.92	5.45	MQ	2475698	6.3937	189	18668	56403	13098.9	70.408	False
GCA_035529375.1	agree_clean	99.881226	0.3369063	HQ	95.4	1.21	HQ	843625	5.9261	19	129809	353272	44401.3	38.792	False
GCA_035547775.1	agree_clean	99.71328	0.4094243	HQ	93.56	0.08	HQ	893716	5.9512	54	23565	48743	16550.3	50.738	False
GCA_035555755.1	neither_hq	62.419006	0.1647383	MQ	56.84	2.2	MQ	2335281	6.3683	678	3808	17610	3444.4	63.717	False
GCA_035556475.1	agree_clean	99.93436	0.21564364	HQ	99.5	2.23	HQ	4333466	6.6368	148	44559	158834	29280.2	65.522	False
GCA_035568395.1	agree_clean	96.22838	0.17223358	HQ	99.85	0.86	HQ	4066114	6.6092	14	396014	1955774	290436.7	44.495	False
GCA_035601835.1	disagreement_141	80.189095	14.553431	LQ	98.23	0.11	HQ	2565881	6.4092	18	228804	597322	142548.9	63.509	True
GCA_035635925.1	neither_hq	56.926506	0.008803606	MQ	69.8	3.73	MQ	3413037	6.5331	784	5369	20539	4353.4	67.096	False
GCA_035761685.1	neither_hq	52.964504	0.99300146	MQ	58.83	2.05	MQ	1837195	6.2642	296	7589	19566	6206.7	69.382	False
GCA_036004525.1	neither_hq	69.58294	5.031362	MQ	71.88	2.46	MQ	2892494	6.4613	136	37081	112479	21268.3	70.015	False
GCA_036126015.1	neither_hq	62.085777	0.46429336	MQ	65.5	1.41	MQ	901137	5.9548	177	5575	20481	5091.2	35.838	False
GCA_036172385.1	neither_hq	61.535164	0.026011467	MQ	63.16	2.44	MQ	1839067	6.2646	192	10460	31775	9578.5	36.035	False
GCA_036380175.1	v5hq_only	99.61882	3.216055	HQ	83.95	8.78	MQ	6059171	6.7824	1351	5110	23567	4485.0	73.412	True
GCA_036387215.1	v5hq_only	99.97726	0.5422205	HQ	87.54	5.67	MQ	3057251	6.4853	444	9745	84734	6885.7	66.332	True
GCA_036387965.1	disagreement_141	81.47278	0.43416917	MQ	92.98	3.39	HQ	4156919	6.6188	685	8753	41654	6068.5	38.033	True
GCA_036454225.1	agree_clean	99.78542	1.0749966	HQ	97.59	0.87	HQ	2109743	6.3242	10	1153841	1153841	210974.3	63.191	False
GCA_036479895.1	neither_hq	83.54355	6.443328	MQ	79.9	1.68	MQ	2287233	6.3593	309	9617	54138	7402.0	39.374	False
GCA_036481315.1	agree_clean	99.848206	4.837048	HQ	94.22	2.83	HQ	3343458	6.5242	265	18318	105020	12616.8	47.033	False
GCA_036501045.1	agree_clean	99.03834	0.15933216	HQ	96.23	4.94	HQ	5770505	6.7612	408	23848	89054	14143.4	58.176	False
GCA_036504175.1	neither_hq	75.57918	0.27164817	MQ	82.03	2.89	MQ	3157773	6.4994	388	12709	61408	8138.6	72.5	False
GCA_036504555.1	agree_clean	98.95835	1.3138026	HQ	98.43	4.3	HQ	5244749	6.7197	322	27353	144400	16288.0	42.677	False
GCA_036513235.1	neither_hq	75.26907	0.9296298	MQ	77.28	1.14	MQ	3403766	6.532	806	4486	18168	4223.0	36.402	False
GCA_036550795.1	agree_clean	99.976074	1.888445	HQ	98.09	0.0	HQ	2239824	6.3502	92	50302	176406	24345.9	53.598	False
GCA_036638955.1	disagreement_141	89.15718	0.4679054	MQ	94.94	0.41	HQ	3800672	6.5799	59	107360	351424	64418.2	48.056	True
GCA_036645095.1	neither_hq	86.389915	0.0039964914	MQ	82.33	1.95	MQ	3133034	6.496	262	21746	65708	11958.1	57.915	False
GCA_036645815.1	neither_hq	86.81778	0.26997924	MQ	74.75	0.16	MQ	1054710	6.0231	40	48910	137289	26367.8	30.55	False
GCA_036666455.1	disagreement_141	87.22237	1.8401891	MQ	93.25	0.69	HQ	2057459	6.3133	95	33882	125464	21657.5	32.445	True
GCA_036718835.1	agree_clean	99.95636	0.114783645	HQ	99.9	0.22	HQ	1886076	6.2756	23	113439	298130	82003.3	53.774	False
GCA_036724015.1	disagreement_141	72.55689	1.4502823	MQ	98.9	1.67	HQ	2505319	6.3989	265	13723	55710	9454.0	37.807	True
GCA_036753785.1	agree_clean	99.899376	0.050216913	HQ	97.42	2.01	HQ	2400617	6.3803	186	17242	53032	12906.5	50.648	False
GCA_036772475.1	disagreement_141	85.269714	0.086310506	MQ	93.32	0.17	HQ	2894137	6.4615	72	85658	238414	40196.3	49.184	True
GCA_036772595.1	neither_hq	60.190918	0.15731156	MQ	65.71	2.82	MQ	1329525	6.1237	467	3089	13144	2846.9	34.452	False
GCA_036788935.1	neither_hq	84.25002	0.042051077	MQ	79.95	3.27	MQ	2840726	6.4534	125	32343	112655	22725.8	47.967	False
GCA_036794495.1	disagreement_141	71.75981	5.736023	MQ	95.43	3.6	HQ	2207610	6.3439	85	46718	122958	25971.9	62.821	True
GCA_036797105.1	agree_clean	99.767784	1.7726988	HQ	99.64	0.87	HQ	1101585	6.042	18	915683	915683	61199.2	46.927	False
GCA_036833475.1	neither_hq	71.53644	0.5671978	MQ	68.54	4.08	MQ	4886113	6.689	1335	4220	21171	3660.0	75.874	False
GCA_037143955.1	disagreement_141	82.787	13.499811	LQ	90.1	3.16	HQ	2153551	6.3332	326	9868	46476	6606.0	62.892	True
GCA_037231935.1	neither_hq	77.6709	0.5042583	MQ	66.22	2.21	MQ	1145022	6.0588	409	3362	10675	2799.6	26.593	False
GCA_037235235.1	agree_clean	95.9298	0.3533095	HQ	98.8	2.7	HQ	1312561	6.1181	70	43316	91530	18750.9	27.832	False
GCA_037237185.1	neither_hq	81.45747	0.068071485	MQ	86.92	3.75	MQ	2017545	6.3048	498	5365	23197	4051.3	61.771	False
GCA_037245005.1	v5hq_only	98.22978	0.0057458878	HQ	84.04	1.91	MQ	1738993	6.2403	386	6193	19187	4505.2	61.294	True
GCA_037250815.1	agree_clean	99.92105	0.13597906	HQ	94.0	0.69	HQ	1829810	6.2624	158	17246	50954	11581.1	57.388	False
GCA_037293335.1	agree_clean	99.86314	0.56798756	HQ	91.57	3.12	HQ	2628091	6.4196	677	5370	24766	3882.0	48.177	False
GCA_037349625.1	neither_hq	76.71037	0.0035077333	MQ	78.12	0.21	MQ	2276438	6.3573	430	8204	36072	5294.0	47.923	False
GCA_037427385.1	v5hq_only	99.2842	0.03710389	HQ	88.93	2.55	MQ	2503268	6.3985	435	8654	31261	5754.6	60.533	True
GCA_037429105.1	neither_hq	67.01083	0.0034958124	MQ	60.54	0.87	MQ	1241348	6.0939	547	2509	12447	2269.4	61.664	False
GCA_037444405.1	agree_clean	99.84654	0.12230277	HQ	98.9	1.44	HQ	2683681	6.4287	40	159462	273134	67092.0	62.509	False
GCA_038078495.1	neither_hq	53.451096	3.7439795	MQ	84.13	0.88	MQ	545769	5.737	67	9893	31200	8145.8	45.989	False
GCA_038102965.1	neither_hq	87.23558	0.94207525	MQ	71.47	1.14	MQ	2395362	6.3794	857	2850	14839	2795.1	47.776	False
GCA_038108155.1	agree_clean	99.55616	1.2274146	HQ	96.82	4.03	HQ	2268489	6.3557	139	37573	133032	16320.1	30.682	False
GCA_038111675.1	v5hq_only	99.67	4.541752	HQ	80.55	1.55	MQ	2659732	6.4248	320	14756	63488	8311.7	53.858	True
GCA_038115005.1	agree_clean	99.80975	0.07035136	HQ	92.73	4.3	HQ	2441315	6.3876	326	12712	62226	7488.7	53.874	False
GCA_038115435.1	neither_hq	63.52534	0.41095912	MQ	64.52	0.03	MQ	1069240	6.0291	44	30163	77182	24300.9	37.177	False
GCA_038133705.1	neither_hq	60.839474	8.121702	MQ	84.48	1.1	MQ	2563369	6.4088	393	11729	62080	6522.6	54.481	False
GCA_038136115.1	neither_hq	50.944775	0.008785725	MQ	79.47	0.69	MQ	756543	5.8788	212	4052	13370	3568.6	33.161	False
GCA_038246785.1	disagreement_141	68.34118	2.9494822	MQ	96.66	1.04	HQ	3405052	6.5321	84	69285	167656	40536.3	73.017	True
GCA_039039885.1	v5hq_only	99.97149	1.6694218	HQ	95.71	5.3	MQ	3126052	6.495	77	303351	513792	40598.1	58.461	True
GCA_039200565.1	agree_clean	99.252914	3.7528992	HQ	94.21	1.14	HQ	7507890	6.8755	560	18074	96949	13406.9	37.453	False
GCA_039630445.1	agree_clean	99.94539	0.008496642	HQ	97.33	1.29	HQ	2714412	6.4337	190	20812	65942	14286.4	60.154	False
GCA_039649125.1	neither_hq	81.05362	4.6381145	MQ	87.3	5.1	MQ	4932095	6.693	377	17751	65845	13082.5	65.819	False
GCA_039810665.1	agree_clean	94.19679	1.1067986	HQ	95.97	0.26	HQ	3644877	6.5617	83	98396	307707	43914.2	34.437	False
GCA_039925865.1	disagreement_141	70.96335	1.8668145	MQ	94.4	0.49	HQ	3104186	6.4919	342	11818	52694	9076.6	34.507	True
GCA_039932795.1	v5hq_only	99.75317	0.5700052	HQ	89.49	2.18	MQ	4342294	6.6377	348	17145	63792	12477.9	51.923	True
GCA_040388865.1	neither_hq	76.802155	3.3200355	MQ	86.79	0.14	MQ	2202739	6.343	42	92482	176983	52446.2	63.96	False
GCA_040506335.1	agree_clean	99.90329	0.30725896	HQ	100.0	0.8	HQ	4501209	6.6533	136	60491	205441	33097.1	52.531	False
GCA_040510255.1	neither_hq	83.15279	0.23806989	MQ	85.34	3.49	MQ	3479894	6.5416	322	15566	63438	10807.1	56.178	False
GCA_040797425.1	disagreement_141	99.48987	5.974123	MQ	100.0	2.29	HQ	3660398	6.5635	145	53258	133276	25244.1	68.465	True
GCA_041166265.1	neither_hq	55.312176	10.480398	LQ	45.58	1.59	LQ	2385551	6.3776	471	5370	30862	5064.9	67.525	False
GCA_041184245.1	v5hq_only	99.85796	0.34843087	HQ	87.23	5.04	MQ	2203315	6.3431	193	18469	75161	11416.1	33.782	True
GCA_041241435.1	agree_clean	92.59628	0.4394263	HQ	96.95	3.33	HQ	2773499	6.443	177	21694	93665	15669.5	66.294	False
GCA_041241815.1	disagreement_141	83.19635	0.04364252	MQ	90.95	2.23	HQ	1722530	6.2362	126	18131	69519	13670.9	38.478	True
GCA_041329955.1	agree_clean	99.941864	0.8534223	HQ	91.86	0.21	HQ	2874844	6.4586	27	181901	304037	106475.7	54.678	False
GCA_041331335.1	agree_clean	99.89093	0.7070601	HQ	99.99	0.45	HQ	2241931	6.3506	4	776145	989762	560482.8	56.454	False
GCA_041336395.1	neither_hq	76.86208	2.406466	MQ	82.84	0.64	MQ	2535017	6.404	8	373985	832682	316877.1	45.291	False
GCA_041389865.1	neither_hq	84.704895	0.07652938	MQ	63.1	0.38	MQ	6022054	6.7797	251	36490	142968	23992.2	71.417	False
GCA_041484745.1	neither_hq	61.120094	5.226195	MQ	68.63	1.5	MQ	2163984	6.3353	252	10038	32842	8587.2	54.434	False
GCA_041546445.1	neither_hq	60.11406	0.014126301	MQ	58.75	5.39	MQ	1609500	6.2067	940	1762	6675	1712.2	64.822	False
GCA_041560395.1	neither_hq	53.989475	0.34724176	MQ	54.86	2.67	MQ	1315295	6.119	507	2649	8503	2594.3	65.191	False
GCA_041562455.1	neither_hq	70.296875	0.2311498	MQ	77.15	5.45	MQ	1902237	6.2793	619	3293	14456	3073.1	65.082	False
GCA_041575815.1	neither_hq	54.002808	0.105917454	MQ	46.39	2.69	LQ	1987617	6.2983	362	5949	19558	5490.7	69.539	False
GCA_041582515.1	neither_hq	51.78785	0.0008314848	MQ	63.98	3.96	MQ	1685880	6.2268	394	4996	22691	4278.9	65.432	False
GCA_041586535.1	disagreement_141	64.70879	3.27836	MQ	96.48	1.44	HQ	3824862	6.5826	239	22059	107544	16003.6	42.701	True
GCA_041612575.1	neither_hq	66.68813	0.8415371	MQ	79.77	7.02	MQ	2047746	6.3113	411	6288	29923	4982.4	63.544	False
GCA_041616275.1	neither_hq	97.513954	8.764735	MQ	78.39	9.69	MQ	4731630	6.675	1198	4445	21606	3949.6	50.061	False
GCA_041635915.1	neither_hq	99.13616	9.39613	MQ	65.27	7.49	MQ	4488067	6.6521	1116	4672	25571	4021.6	56.126	False
GCA_041655595.1	disagreement_141	72.85508	0.15984178	MQ	93.5	1.2	HQ	2088801	6.3199	169	16164	70070	12359.8	42.288	True
GCA_041674285.1	agree_clean	97.67197	4.211256	HQ	96.4	0.02	HQ	813783	5.9105	13	87594	230248	62598.7	38.048	False
GCA_041686735.1	agree_clean	99.933914	1.5553355	HQ	100.0	0.79	HQ	3471147	6.5405	92	61289	345364	37729.9	44.709	False
GCA_041691375.1	neither_hq	56.623516	1.6083628	MQ	70.36	0.52	MQ	4568835	6.6598	1098	4979	43246	4161.1	73.735	False
GCA_041742335.1	agree_clean	99.82855	0.10266602	HQ	94.68	0.29	HQ	4527968	6.6559	116	60890	133809	39034.2	57.565	False
GCA_041781395.1	disagreement_141	82.7688	0.06915629	MQ	92.09	0.07	HQ	2088110	6.3198	131	21394	79305	15939.8	37.444	True
GCA_041818175.1	neither_hq	82.46773	0.6463289	MQ	83.35	2.31	MQ	1348658	6.1299	143	11748	45676	9431.2	44.028	False
GCA_041827985.1	neither_hq	76.40079	0.6814003	MQ	82.23	7.41	MQ	1921467	6.2836	288	7846	30070	6671.8	38.168	False
GCA_041831705.1	neither_hq	61.32906	0.003066659	MQ	68.5	6.19	MQ	1270243	6.1039	69	37149	164662	18409.3	40.601	False
GCA_041835305.1	neither_hq	70.74801	0.12071133	MQ	58.2	6.65	MQ	2294938	6.3608	463	5176	23292	4956.7	40.677	False
GCA_041840615.1	v5hq_only	99.918	0.10792315	HQ	68.53	0.39	MQ	1096421	6.04	140	10044	37448	7831.6	31.772	True
GCA_041855225.1	agree_clean	99.9707	0.06979108	HQ	94.25	1.15	HQ	1980962	6.2969	85	42329	122939	23305.4	43.315	False
GCA_042641055.1	neither_hq	73.67936	0.034880638	MQ	74.56	1.87	MQ	1843574	6.2657	510	4127	11625	3614.9	43.364	False
GCA_043425335.1	agree_clean	95.39992	1.4171749	HQ	96.54	4.58	HQ	2360436	6.373	255	14227	70648	9256.6	41.802	False
GCA_043557685.1	disagreement_141	84.93734	0.37379563	MQ	92.42	1.58	HQ	2615191	6.4175	319	10084	42385	8198.1	33.424	True
GCA_043721155.1	neither_hq	76.01668	0.24912953	MQ	72.09	1.57	MQ	4088143	6.6115	1224	3664	16267	3340.0	61.616	False
GCA_043747205.1	disagreement_141	79.73966	0.28936267	MQ	95.78	4.71	HQ	2959920	6.4713	472	12357	47292	6271.0	31.086	True
GCA_043747815.1	neither_hq	83.77225	43.81188	LQ	96.37	8.22	MQ	10051293	7.0022	269	90313	383886	37365.4	65.906	False
GCA_043786045.1	neither_hq	71.289154	11.254957	LQ	71.25	1.44	MQ	699747	5.8449	157	4942	17474	4457.0	38.541	False
GCA_043788545.1	disagreement_141	99.409546	6.054342	MQ	99.35	0.05	HQ	4870130	6.6875	167	46754	207958	29162.5	44.335	True
GCA_043812555.1	neither_hq	72.06967	0.12500286	MQ	88.79	2.96	MQ	598401	5.777	44	20596	47258	13600.0	36.557	False
GCA_043813215.1	disagreement_141	69.82423	3.599155	MQ	95.29	0.49	HQ	612632	5.7872	44	23799	41878	13923.5	39.375	True
GCA_044343935.1	agree_clean	91.00907	0.02528727	HQ	95.01	0.31	HQ	1378459	6.1394	37	55468	135410	37255.6	46.0	False
GCA_044344765.1	disagreement_141	63.872627	15.361121	LQ	93.3	1.35	HQ	3596205	6.5558	307	15862	44573	11714.0	69.87	True
GCA_044369345.1	neither_hq	82.82767	16.917212	LQ	89.03	1.27	MQ	2714794	6.4337	501	6064	25504	5418.8	55.476	False
GCA_045119495.1	neither_hq	82.91873	1.0534883	MQ	83.11	3.8	MQ	1584867	6.2	75	46578	133678	21131.6	44.659	False
GCA_045430285.1	agree_clean	99.64133	1.1031777	HQ	92.67	0.01	HQ	4040293	6.6064	10	762379	1485201	404029.3	45.366	False
GCA_045540655.1	agree_clean	90.1372	3.4597933	HQ	94.05	1.87	HQ	1983668	6.2975	138	21744	65973	14374.4	55.729	False
GCA_045565895.1	agree_clean	99.87995	0.18611848	HQ	99.97	0.05	HQ	1732532	6.2387	11	241815	382890	157502.9	35.377	False
GCA_045601765.1	v5hq_only	95.860214	0.021347404	HQ	77.15	0.11	MQ	977099	5.9899	62	22168	56799	15759.7	40.825	True
GCA_045603085.1	v5hq_only	99.91502	4.511428	HQ	82.27	1.29	MQ	2682813	6.4286	143	27000	91650	18760.9	53.047	True
GCA_045616305.1	neither_hq	83.84759	0.029936433	MQ	82.33	0.19	MQ	2159725	6.3344	112	33083	118630	19283.3	38.727	False
GCA_045642365.1	neither_hq	53.94987	0.2799362	MQ	75.89	2.28	MQ	839545	5.924	146	6847	19661	5750.3	37.361	False
GCA_045644425.1	agree_clean	92.67854	1.4901161e-05	HQ	94.97	0.09	HQ	2429506	6.3855	49	95205	240961	49581.8	46.371	False
GCA_046048495.1	neither_hq	87.49983	0.55359304	MQ	85.77	3.94	MQ	1338983	6.1268	206	7386	40017	6499.9	45.336	False
GCA_046063625.1	disagreement_141	88.17737	0.042948127	MQ	93.73	0.57	HQ	4635650	6.6661	552	10901	49505	8397.9	37.699	True
GCA_046080885.1	agree_clean	99.28527	1.132217	HQ	98.77	0.08	HQ	1797015	6.2546	40	66323	222087	44925.4	41.079	False
GCA_046081265.1	v5hq_only	93.428635	0.6399244	HQ	91.43	7.22	MQ	2667694	6.4261	906	3580	20710	2944.5	69.622	True
GCA_046093765.1	v5hq_only	96.73546	0.018197298	HQ	87.93	15.02	LQ	3135711	6.4963	649	5810	25834	4831.6	65.271	True
GCA_046093905.1	agree_clean	93.80839	3.0603023	HQ	92.35	4.59	HQ	2795881	6.4465	464	8765	32536	6025.6	59.436	False
GCA_046160275.1	disagreement_141	91.71346	29.836962	LQ	93.87	4.26	HQ	5881720	6.7695	782	9510	43009	7521.4	37.824	True
GCA_046302235.1	disagreement_141	88.575096	0.13864636	MQ	93.76	0.49	HQ	2566202	6.4093	475	7899	61938	5402.5	68.586	True
GCA_046305415.1	agree_clean	99.82922	0.34699738	HQ	92.77	2.83	HQ	3454779	6.5384	756	6630	33789	4569.8	66.957	False
GCA_046309535.1	agree_clean	90.34622	0.14740825	HQ	99.89	0.26	HQ	4794609	6.6808	434	16839	87920	11047.5	42.269	False
GCA_046314075.1	neither_hq	83.83113	0.17542541	MQ	68.29	3.53	MQ	4706852	6.6727	2463	1981	7037	1911.0	71.101	False
GCA_046384805.1	agree_clean	97.049164	0.11541247	HQ	97.07	0.05	HQ	2731934	6.4365	93	53760	214279	29375.6	48.751	False
GCA_046705865.1	neither_hq	59.19633	12.489915	LQ	66.13	3.08	MQ	3459464	6.539	1031	3670	14546	3355.4	66.318	False
GCA_046757765.1	disagreement_141	97.883835	5.975813	MQ	91.67	4.7	HQ	5642785	6.7515	698	10924	54670	8084.2	59.167	True
GCA_046952625.1	agree_clean	99.88957	0.43010116	HQ	100.0	1.63	HQ	2950622	6.4699	26	176484	504363	113485.5	44.045	False
GCA_046961595.1	neither_hq	85.615524	0.026264787	MQ	86.91	0.8	MQ	2458919	6.3907	200	20310	87276	12294.6	47.466	False
GCA_046994035.1	agree_clean	99.78422	3.1470628	HQ	97.28	3.83	HQ	3806517	6.5805	18	375736	720684	211473.2	42.74	False
GCA_047178705.1	neither_hq	86.75574	3.874302e-05	MQ	79.48	0.19	MQ	1782029	6.2509	131	17803	56548	13603.3	50.116	False
GCA_047609145.1	neither_hq	95.03578	15.354842	LQ	84.16	5.95	MQ	5503432	6.7406	345	22488	80935	15952.0	48.317	False
GCA_047723295.1	agree_clean	99.9581	1.8270195	HQ	99.99	0.02	HQ	2238666	6.35	142	35675	122085	15765.3	46.374	False
GCA_048168485.1	neither_hq	70.764305	0.005853176	MQ	73.49	0.46	MQ	2300351	6.3618	447	5518	19362	5146.2	43.871	False
GCA_048316855.1	v5hq_only	91.95888	0.50982535	HQ	88.31	0.82	MQ	2052341	6.3122	46	79956	178902	44616.1	60.247	True
GCA_048319185.1	agree_clean	99.93089	0.26269853	HQ	100.0	0.72	HQ	2897732	6.4621	22	214163	360892	131715.1	43.005	False
GCA_048330115.1	neither_hq	97.09273	33.537792	LQ	100.0	8.11	MQ	4990885	6.6982	499	26349	143798	10001.8	37.263	False
GCA_048357835.1	neither_hq	76.9151	0.3369391	MQ	77.65	1.02	MQ	1779515	6.2503	382	5809	26362	4658.4	60.559	False
GCA_048366255.1	v5hq_only	99.93557	0.27639568	HQ	88.33	4.51	MQ	2093209	6.3208	435	6982	52282	4812.0	60.334	True
