accession	domain	family	protein_1	protein_2	contig_1	contig_2	same_contig	hmm_span_1	hmm_span_2	hmm_reciprocal_overlap	hmm_coverage_1	hmm_coverage_2	passes_split_gene_control	aa_identity	cohort
GCA_043747205.1	bacteria	infC	JAYTPO010000062.1_4	JAYTPO010000237.1_2	JAYTPO010000062.1	JAYTPO010000237.1	False	30-170	35-170	1.0	0.8294	0.8	True	0.8824	disagreement_141
GCA_043747205.1	bacteria	pheT_bact	JAYTPO010000109.1_1	JAYTPO010000108.1_1	JAYTPO010000109.1	JAYTPO010000108.1	False	1-741	1-741	1.0	0.9286	0.9286	True	0.9746	disagreement_141
GCA_043747205.1	bacteria	rplT_bact	JAYTPO010000055.1_3	JAYTPO010000062.1_6	JAYTPO010000055.1	JAYTPO010000062.1	False	1-114	1-114	1.0	1.0	1.0	True	0.9123	disagreement_141
GCA_043747205.1	bacteria	rplT_bact	JAYTPO010000055.1_3	JAYTPO010000237.1_4	JAYTPO010000055.1	JAYTPO010000237.1	False	1-114	1-114	1.0	1.0	1.0	True	0.9386	disagreement_141
GCA_043747205.1	bacteria	rplT_bact	JAYTPO010000062.1_6	JAYTPO010000237.1_4	JAYTPO010000062.1	JAYTPO010000237.1	False	1-114	1-114	1.0	1.0	1.0	True	0.9737	disagreement_141
GCA_043747205.1	bacteria	rpmI_bact	JAYTPO010000062.1_5	JAYTPO010000055.1_4	JAYTPO010000062.1	JAYTPO010000055.1	False	1-61	1-61	1.0	0.9683	0.9683	True	0.9672	disagreement_141
GCA_043747205.1	bacteria	rpmI_bact	JAYTPO010000062.1_5	JAYTPO010000237.1_3	JAYTPO010000062.1	JAYTPO010000237.1	False	1-61	3-61	1.0	0.9683	0.9365	True	0.9492	disagreement_141
GCA_043747205.1	bacteria	rpmI_bact	JAYTPO010000055.1_4	JAYTPO010000237.1_3	JAYTPO010000055.1	JAYTPO010000237.1	False	1-61	3-61	1.0	0.9683	0.9365	True	0.9831	disagreement_141
GCA_043747205.1	bacteria	rpsG_bact	JAYTPO010000156.1_12	JAYTPO010000275.1_10	JAYTPO010000156.1	JAYTPO010000275.1	False	1-153	1-153	1.0	0.9935	0.9935	True	0.9551	disagreement_141
GCA_043747205.1	bacteria	rpsL_bact	JAYTPO010000275.1_11	JAYTPO010000156.1_11	JAYTPO010000275.1	JAYTPO010000156.1	False	1-123	1-123	1.0	0.9919	0.9919	True	1.0	disagreement_141
GCA_045540655.1	bacteria	guanyl_kin	JAZQHP010000076.1_6	JAZQHP010000030.1_7	JAZQHP010000076.1	JAZQHP010000030.1	False	1-179	2-179	1.0	0.9944	0.9889	True	0.3636	agree_clean
GCA_045540655.1	bacteria	rpoB	JAZQHP010000081.1_2	JAZQHP010000083.1_1	JAZQHP010000081.1	JAZQHP010000083.1	False	296-892	290-892	1.0	0.4822	0.4871	True	0.8663	agree_clean
GCA_044344765.1	bacteria	fmt	JBIJCJ010000133.1_5	JBIJCJ010000044.1_9	JBIJCJ010000133.1	JBIJCJ010000044.1	False	2-304	6-305	0.9967	0.9619	0.9524	True	0.6928	disagreement_141
GCA_046093905.1	bacteria	secE_bact	JBJTGN010000077.1_2	JBJTGN010000099.1_2	JBJTGN010000077.1	JBJTGN010000099.1	False	3-55	2-54	0.9811	0.9298	0.9298	True	0.5192	agree_clean
GCA_046305415.1	bacteria	PGK	JBKCCK010000545.1_28	JBKCCK010000016.1_1	JBKCCK010000545.1	JBKCCK010000016.1	False	2-337	339-382	0.0	0.8796	0.1152	False	0.5111	agree_clean
GCA_046302235.1	bacteria	L21	JBKCIO010000233.1_3	JBKCIO010000469.1_1	JBKCIO010000233.1	JBKCIO010000469.1	False	1-101	40-100	1.0	1.0	0.604	True	0.7869	disagreement_141
GCA_046302235.1	bacteria	L27	JBKCIO010000233.1_2	JBKCIO010000469.1_2	JBKCIO010000233.1	JBKCIO010000469.1	False	1-82	1-82	1.0	0.988	0.988	True	0.8929	disagreement_141
GCA_046302235.1	bacteria	TIGR00043	JBKCIO010000293.1_1	JBKCIO010000184.1_1	JBKCIO010000293.1	JBKCIO010000184.1	False	28-141	81-141	1.0	0.7808	0.4178	True	0.918	disagreement_141
GCA_046952625.1	bacteria	TIGR00006	JBKUJO010000007.1_66	JBKUJO010000001.1_42	JBKUJO010000007.1	JBKUJO010000001.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3621	agree_clean
GCA_046994035.1	bacteria	TIGR00006	JBKXCZ010000015.1_621	JBKXCZ010000014.1_76	JBKXCZ010000015.1	JBKXCZ010000014.1	False	5-309	6-308	1.0	0.9839	0.9774	True	0.3507	agree_clean
GCA_046994035.1	bacteria	ruvB	JBKXCZ010000015.1_451	JBKXCZ010000008.1_375	JBKXCZ010000015.1	JBKXCZ010000008.1	False	2-304	3-300	1.0	0.9934	0.977	True	0.4899	agree_clean
GCA_046757765.1	bacteria	PGK	JBHHYX010000030.1_12	JBHHYX010000452.1_1	JBHHYX010000030.1	JBHHYX010000452.1	False	1-381	1-382	1.0	0.9974	1.0	True	0.5491	disagreement_141
GCA_046757765.1	bacteria	TIGR00006	JBHHYX010000025.1_10	JBHHYX010000528.1_2	JBHHYX010000025.1	JBHHYX010000528.1	False	4-309	6-309	1.0	0.9871	0.9806	True	0.6073	disagreement_141
GCA_046757765.1	bacteria	secG	JBHHYX010000030.1_17	JBHHYX010000452.1_3	JBHHYX010000030.1	JBHHYX010000452.1	False	3-72	2-73	1.0	0.9589	0.9863	True	0.6571	disagreement_141
GCA_046160275.1	bacteria	NusA	JBJXHA010000761.1_2	JBJXHA010000174.1_2	JBJXHA010000761.1	JBJXHA010000174.1	False	2-339	2-338	1.0	0.9941	0.9912	True	0.5503	disagreement_141
GCA_048319185.1	bacteria	TIGR00006	DBFEAJ010000002.1_148	DBFEAJ010000016.1_72	DBFEAJ010000002.1	DBFEAJ010000016.1	False	5-308	6-309	0.9967	0.9806	0.9806	True	0.3772	agree_clean
GCA_048428545.1	bacteria	RNAse_H_YqgF	DBFOQF010000001.1_11	DBFOQF010000101.1_15	DBFOQF010000001.1	DBFOQF010000101.1	False	1-130	1-130	1.0	1.0	1.0	True	0.8538	disagreement_141
GCA_048428545.1	bacteria	alaS	DBFOQF010000001.1_12	DBFOQF010000101.1_14	DBFOQF010000001.1	DBFOQF010000101.1	False	1-847	1-847	1.0	1.0	1.0	True	0.9121	disagreement_141
GCA_049510975.1	bacteria	PGK	JBEKYM010000007.1_4	JBEKYM010000011.1_58	JBEKYM010000007.1	JBEKYM010000011.1	False	106-380	118-355	1.0	0.7199	0.623	True	0.4081	agree_clean
GCA_049510975.1	bacteria	ileS	JBEKYM010000006.1_10	JBEKYM010000001.1_44	JBEKYM010000006.1	JBEKYM010000001.1	False	16-850	2-754	0.9814	0.9698	0.8746	True	0.4405	agree_clean
GCA_049510975.1	bacteria	secE_bact	JBEKYM010000003.1_54	JBEKYM010000003.1_55	JBEKYM010000003.1	JBEKYM010000003.1	True	2-57	2-57	1.0	0.9825	0.9825	True	0.8571	agree_clean
GCA_049840515.1	bacteria	RNAse_H_YqgF	JASGKW010000019.1_27	JASGKW010000019.1_26	JASGKW010000019.1	JASGKW010000019.1	True	1-89	89-130	0.0238	0.6846	0.3231	False	0.2381	disagreement_141
GCA_049840515.1	bacteria	TIGR00006	JASGKW010000011.1_207	JASGKW010000002.1_47	JASGKW010000011.1	JASGKW010000002.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3793	disagreement_141
GCA_049581465.1	bacteria	PGK	JBAUSA010000758.1_7	JBAUSA010000455.1_3	JBAUSA010000758.1	JBAUSA010000455.1	False	147-382	3-88	0.0	0.6178	0.2251	False	0.3103	agree_clean
GCA_051656445.1	bacteria	Ribosomal_S9	JBOGBX010000326.1_1	JBOGBX010000344.1_1	JBOGBX010000326.1	JBOGBX010000344.1	False	39-121	1-30	0.0	0.686	0.2479	False	0.1333	disagreement_141
GCA_049324695.1	bacteria	PGK	JBMOMJ010000016.1_59	JBMOMJ010000039.1_91	JBMOMJ010000016.1	JBMOMJ010000039.1	False	1-382	1-381	1.0	1.0	0.9974	True	0.3777	disagreement_141
GCA_052271025.1	bacteria	TIGR00006	DAVZMT010000015.1_36	DAVZMT010000051.1_8	DAVZMT010000015.1	DAVZMT010000051.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3621	agree_clean
GCA_054040315.1	bacteria	hisS	JBPKZF010000012.1_16	JBPKZF010000029.1_4	JBPKZF010000012.1	JBPKZF010000029.1	False	2-405	3-405	1.0	0.9951	0.9926	True	0.3316	disagreement_141
GCA_051270635.1	bacteria	TIGR00006	JBNMNB010000142.1_16	JBNMNB010000018.1_24	JBNMNB010000142.1	JBNMNB010000018.1	False	6-309	6-307	1.0	0.9806	0.9742	True	0.3825	disagreement_141
GCA_053492575.1	bacteria	hisS	JBRCBR010000134.1_26	JBRCBR010000089.1_95	JBRCBR010000134.1	JBRCBR010000089.1	False	1-405	2-403	1.0	0.9975	0.9901	True	0.3358	agree_clean
GCA_900540455.1	bacteria	Ribosomal_S9	UQGD01000058.1_8	UQGD01000017.1_1	UQGD01000058.1	UQGD01000017.1	False	15-121	1-30	0.5333	0.8843	0.2479	False	1.0	agree_clean
GCA_900540455.1	bacteria	alaS	UQGD01000012.1_46	UQGD01000010.1_53	UQGD01000012.1	UQGD01000010.1	False	1-847	97-846	1.0	1.0	0.8855	True	0.5631	agree_clean
GCA_900768675.1	bacteria	3a0501s007	CAAGDT010000017.1_16	CAAGDT010000177.1_35	CAAGDT010000017.1	CAAGDT010000177.1	False	1-412	1-412	1.0	0.9952	0.9952	True	0.723	agree_clean
GCA_900768675.1	bacteria	L18_bact	CAAGDT010000017.1_12	CAAGDT010000177.1_31	CAAGDT010000017.1	CAAGDT010000177.1	False	2-114	2-114	1.0	0.9912	0.9912	True	0.7857	agree_clean
GCA_900768675.1	bacteria	L29	CAAGDT010000017.1_4	CAAGDT010000177.1_23	CAAGDT010000017.1	CAAGDT010000177.1	False	1-56	1-56	1.0	1.0	1.0	True	0.8214	agree_clean
GCA_900768675.1	bacteria	L6_bact	CAAGDT010000177.1_30	CAAGDT010000017.1_11	CAAGDT010000177.1	CAAGDT010000017.1	False	1-175	1-175	1.0	1.0	1.0	True	0.8	agree_clean
GCA_900768675.1	bacteria	Ribosomal_L5	CAAGDT010000177.1_27	CAAGDT010000017.1_8	CAAGDT010000177.1	CAAGDT010000017.1	False	1-57	1-57	1.0	1.0	1.0	True	0.8246	agree_clean
GCA_900768675.1	bacteria	Ribosomal_S8	CAAGDT010000017.1_10	CAAGDT010000177.1_29	CAAGDT010000017.1	CAAGDT010000177.1	False	1-126	1-126	1.0	1.0	1.0	True	0.8672	agree_clean
GCA_900768675.1	bacteria	ksgA	CAAGDT010000250.1_2	CAAGDT010000112.1_8	CAAGDT010000250.1	CAAGDT010000112.1	False	1-255	1-176	1.0	0.9961	0.6875	True	0.9781	agree_clean
GCA_900768675.1	bacteria	rplN_bact	CAAGDT010000017.1_6	CAAGDT010000177.1_25	CAAGDT010000017.1	CAAGDT010000177.1	False	1-122	1-122	1.0	1.0	1.0	True	0.9344	agree_clean
GCA_900768675.1	bacteria	rplO_bact	CAAGDT010000017.1_15	CAAGDT010000177.1_34	CAAGDT010000017.1	CAAGDT010000177.1	False	1-143	1-143	1.0	0.9931	0.9931	True	0.7832	agree_clean
GCA_900768675.1	bacteria	rplP_bact	CAAGDT010000177.1_22	CAAGDT010000017.1_3	CAAGDT010000177.1	CAAGDT010000017.1	False	1-126	1-126	1.0	1.0	1.0	True	0.9127	agree_clean
GCA_900768675.1	bacteria	rplV_bact	CAAGDT010000017.1_1	CAAGDT010000177.1_20	CAAGDT010000017.1	CAAGDT010000177.1	False	1-103	1-103	1.0	1.0	1.0	True	0.8155	agree_clean
GCA_900768675.1	bacteria	rplX_bact	CAAGDT010000017.1_7	CAAGDT010000177.1_26	CAAGDT010000017.1	CAAGDT010000177.1	False	2-103	2-103	1.0	0.9808	0.9808	True	0.76	agree_clean
GCA_900768675.1	bacteria	rpsC_bact	CAAGDT010000177.1_21	CAAGDT010000017.1_2	CAAGDT010000177.1	CAAGDT010000017.1	False	1-210	1-210	1.0	0.9906	0.9906	True	0.8286	agree_clean
GCA_900768675.1	bacteria	rpsE_bact	CAAGDT010000017.1_13	CAAGDT010000177.1_32	CAAGDT010000017.1	CAAGDT010000177.1	False	3-156	3-156	1.0	0.9872	0.9872	True	0.9286	agree_clean
GCA_900768675.1	bacteria	uS17_bact	CAAGDT010000017.1_5	CAAGDT010000177.1_24	CAAGDT010000017.1	CAAGDT010000177.1	False	1-72	1-72	1.0	1.0	1.0	True	0.9167	agree_clean
GCA_902483105.1	bacteria	dnaG	CABTBY010000007.1_32	CABTBY010000018.1_29	CABTBY010000007.1	CABTBY010000018.1	False	1-413	4-413	1.0	0.9976	0.9903	True	0.3341	agree_clean
GCA_903852135.1	bacteria	RNAse_H_YqgF	CAINQE010000211.1_1	CAINQE010000163.1_1	CAINQE010000211.1	CAINQE010000163.1	False	1-129	1-98	1.0	0.9923	0.7538	True	0.9694	disagreement_141
GCA_903878475.1	bacteria	PGK	CAIRHQ010000213.1_6	CAIRHQ010000243.1_5	CAIRHQ010000213.1	CAIRHQ010000243.1	False	2-382	3-382	1.0	0.9974	0.9948	True	0.7676	agree_clean
GCA_903898695.1	bacteria	TIGR00006	CAIUGK010000043.1_25	CAIUGK010000013.1_72	CAIUGK010000043.1	CAIUGK010000013.1	False	6-309	6-307	1.0	0.9806	0.9742	True	0.3542	disagreement_141
GCA_903908245.1	bacteria	TIGR00006	CAIVRE010000018.1_36	CAIVRE010000011.1_37	CAIVRE010000018.1	CAIVRE010000011.1	False	6-309	6-310	1.0	0.9806	0.9839	True	0.3737	agree_clean
GCA_905198135.1	bacteria	dnaG	CAJKBM010000008.1_46	CAJKBM010000011.1_21	CAJKBM010000008.1	CAJKBM010000011.1	False	2-412	7-399	1.0	0.9928	0.9493	True	0.3359	agree_clean
GCA_903887525.1	bacteria	rpsJ_bact	CAISQC010000166.1_2	CAISQC010000113.1_26	CAISQC010000166.1	CAISQC010000113.1	False	1-99	1-98	1.0	1.0	0.9899	True	0.6531	agree_clean
GCA_910577175.1	bacteria	rpoA	CAJTLU010000025.1_9	CAJTLU010000016.1_29	CAJTLU010000025.1	CAJTLU010000016.1	False	1-296	1-297	1.0	0.9933	0.9966	True	0.8243	agree_clean
GCA_910577175.1	bacteria	rpsD_bact	CAJTLU010000025.1_10	CAJTLU010000016.1_30	CAJTLU010000025.1	CAJTLU010000016.1	False	5-200	3-200	1.0	0.98	0.99	True	0.733	agree_clean
GCA_910577175.1	bacteria	uS11_bact	CAJTLU010000016.1_31	CAJTLU010000025.1_11	CAJTLU010000016.1	CAJTLU010000025.1	False	1-117	1-117	1.0	1.0	1.0	True	0.9231	agree_clean
GCA_910577175.1	bacteria	uS13_bact	CAJTLU010000016.1_32	CAJTLU010000025.1_12	CAJTLU010000016.1	CAJTLU010000025.1	False	1-113	1-113	1.0	1.0	1.0	True	0.8142	agree_clean
GCA_910577855.1	bacteria	TIGR00006	CAJTNQ010000057.1_11	CAJTNQ010000007.1_3	CAJTNQ010000057.1	CAJTNQ010000007.1	False	5-309	6-307	1.0	0.9839	0.9742	True	0.3741	agree_clean
GCA_903948385.1	bacteria	PGK	CAJAYP010000320.1_1	CAJAYP010000002.1_1	CAJAYP010000320.1	CAJAYP010000002.1	False	1-321	317-382	0.0758	0.8403	0.1728	False	0.4179	agree_clean
GCA_903948385.1	bacteria	rpoB	CAJAYP010000535.1_1	CAJAYP010000150.1_1	CAJAYP010000535.1	CAJAYP010000150.1	False	2-653	698-1238	0.0	0.5267	0.437	False	0.2315	agree_clean
GCA_934294665.1	bacteria	leuS_bact	CAKRAD010000013.1_13	CAKRAD010000007.1_58	CAKRAD010000013.1	CAKRAD010000007.1	False	6-842	1-842	1.0	0.9929	0.9988	True	0.4699	agree_clean
GCA_934876215.1	bacteria	TIGR00006	CAKXKJ010000021.1_16	CAKXKJ010000002.1_23	CAKXKJ010000021.1	CAKXKJ010000002.1	False	5-309	6-307	1.0	0.9839	0.9742	True	0.4231	agree_clean
GCA_937897955.1	bacteria	L21	CALCOT010000143.1_14	CALCOT010000083.1_35	CALCOT010000143.1	CALCOT010000083.1	False	1-100	1-99	1.0	0.9901	0.9802	True	0.9394	disagreement_141
GCA_938038695.1	bacteria	guanyl_kin	CALHTG010000087.1_1	CALHTG010000015.1_3	CALHTG010000087.1	CALHTG010000015.1	False	1-179	1-178	1.0	0.9944	0.9889	True	0.4663	disagreement_141
GCA_944324785.1	bacteria	guanyl_kin	CALUXQ010000033.1_41	CALUXQ010000007.1_31	CALUXQ010000033.1	CALUXQ010000007.1	False	1-179	2-179	1.0	0.9944	0.9889	True	0.4078	agree_clean
GCA_945881845.1	bacteria	PGK	CAMCVN010000019.1_37	CAMCVN010000004.1_2	CAMCVN010000019.1	CAMCVN010000004.1	False	2-381	2-381	1.0	0.9948	0.9948	True	0.9521	disagreement_141
GCA_946415095.1	bacteria	TIGR00006	CAMKRC010000019.1_23	CAMKRC010000001.1_59	CAMKRC010000019.1	CAMKRC010000001.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3414	agree_clean
GCA_947061575.1	bacteria	rpsB_bact	CAMSNW010000029.1_1	CAMSNW010000015.1_1	CAMSNW010000029.1	CAMSNW010000015.1	False	35-224	1-51	0.3333	0.8444	0.2267	False	0.3469	agree_clean
GCA_947085045.1	bacteria	S15_bact	CAMTUU010000013.1_78	CAMTUU010000002.1_2	CAMTUU010000013.1	CAMTUU010000002.1	False	3-86	2-86	1.0	0.9767	0.9884	True	0.869	disagreement_141
GCA_947378535.1	bacteria	TIGR00006	CANCKI010000114.1_4	CANCKI010000171.1_4	CANCKI010000114.1	CANCKI010000171.1	False	22-309	22-309	1.0	0.929	0.929	True	0.9617	agree_clean
GCA_947473205.1	bacteria	TIGR00006	CANJBP010000007.1_69	CANJBP010000021.1_8	CANJBP010000007.1	CANJBP010000021.1	False	6-309	6-309	1.0	0.9806	0.9806	True	0.3428	agree_clean
GCA_947626165.1	bacteria	L21	CANQRG010000003.1_12	CANQRG010000002.1_68	CANQRG010000003.1	CANQRG010000002.1	False	1-100	1-61	1.0	0.9901	0.604	True	0.9344	disagreement_141
GCA_948531775.1	bacteria	S20	CAOTNR010000009.1_67	CAOTNR010000044.1_1	CAOTNR010000009.1	CAOTNR010000044.1	False	40-84	1-39	0.0	0.5357	0.4643	False	0.25	agree_clean
GCA_948532585.1	bacteria	L27	CAOTQE010000046.1_2	CAOTQE010000017.1_10	CAOTQE010000046.1	CAOTQE010000017.1	False	1-82	1-82	1.0	0.988	0.988	True	0.8765	agree_clean
GCA_948532585.1	bacteria	PGK	CAOTQE010000007.1_85	CAOTQE010000082.1_1	CAOTQE010000007.1	CAOTQE010000082.1	False	1-382	117-172	1.0	1.0	0.1466	False	0.8136	agree_clean
GCA_948532585.1	bacteria	PGK	CAOTQE010000007.1_85	CAOTQE010000082.1_2	CAOTQE010000007.1	CAOTQE010000082.1	False	1-382	220-297	1.0	1.0	0.2042	False	0.7595	agree_clean
GCA_948532585.1	bacteria	PGK	CAOTQE010000082.1_1	CAOTQE010000082.1_2	CAOTQE010000082.1	CAOTQE010000082.1	True	117-172	220-297	0.0	0.1466	0.2042	False	0.2203	agree_clean
GCA_948532585.1	bacteria	prfB	CAOTQE010000002.1_118	CAOTQE010000042.1_5	CAOTQE010000002.1	CAOTQE010000042.1	False	2-353	34-353	1.0	0.9972	0.9065	True	0.9169	agree_clean
GCA_948532585.1	bacteria	rpsJ_bact	CAOTQE010000010.1_17	CAOTQE010000047.1_3	CAOTQE010000010.1	CAOTQE010000047.1	False	1-99	1-99	1.0	1.0	1.0	True	0.9293	agree_clean
GCA_948565335.1	bacteria	dnaG	CAOYMU010000001.1_218	CAOYMU010000001.1_251	CAOYMU010000001.1	CAOYMU010000001.1	True	2-413	1-336	0.997	0.9952	0.8116	True	0.351	agree_clean
GCA_948592635.1	bacteria	dnaG	CAPCNW010000022.1_1	CAPCNW010000048.1_4	CAPCNW010000022.1	CAPCNW010000048.1	False	1-413	1-412	1.0	0.9976	0.9952	True	0.3127	agree_clean
GCA_948592635.1	bacteria	dnaG	CAPCNW010000022.1_1	CAPCNW010000016.1_1	CAPCNW010000022.1	CAPCNW010000016.1	False	1-413	1-309	1.0	0.9976	0.7464	True	0.3808	agree_clean
GCA_948592635.1	bacteria	dnaG	CAPCNW010000048.1_4	CAPCNW010000016.1_1	CAPCNW010000048.1	CAPCNW010000016.1	False	1-412	1-309	1.0	0.9952	0.7464	True	0.4202	agree_clean
GCA_948614825.1	bacteria	PGK	CAPFVV010000003.1_1	CAPFVV010000001.1_1	CAPFVV010000003.1	CAPFVV010000001.1	False	1-220	204-382	0.095	0.5759	0.4686	False	0.2909	agree_clean
GCA_948614825.1	bacteria	dnaG	CAPFVV010000003.1_124	CAPFVV010000003.1_156	CAPFVV010000003.1	CAPFVV010000003.1	True	2-413	1-336	0.997	0.9952	0.8116	True	0.351	agree_clean
GCA_948675425.1	bacteria	lysidine_TilS_N	CAPOUO010000054.1_3	CAPOUO010000027.1_17	CAPOUO010000054.1	CAPOUO010000027.1	False	2-189	1-185	0.9946	0.9947	0.9788	True	0.2472	agree_clean
GCA_948675425.1	bacteria	rplN_bact	CAPOUO010000060.1_1	CAPOUO010000024.1_24	CAPOUO010000060.1	CAPOUO010000024.1	False	22-122	1-86	0.7558	0.8279	0.7049	True	1.0	agree_clean
GCA_948669905.1	bacteria	Ribosomal_S9	CAPNZA010000006.1_8	CAPNZA010000001.1_48	CAPNZA010000006.1	CAPNZA010000001.1	False	1-121	1-121	1.0	1.0	1.0	True	0.7107	agree_clean
GCA_948669905.1	bacteria	rplM_bact	CAPNZA010000006.1_9	CAPNZA010000001.1_49	CAPNZA010000006.1	CAPNZA010000001.1	False	5-140	5-140	1.0	0.9645	0.9645	True	0.5725	agree_clean
GCA_948669905.1	bacteria	rpsB_bact	CAPNZA010000001.1_47	CAPNZA010000006.1_6	CAPNZA010000001.1	CAPNZA010000006.1	False	3-224	7-224	1.0	0.9867	0.9689	True	0.7752	agree_clean
GCA_948669905.1	bacteria	tsf	CAPNZA010000001.1_46	CAPNZA010000006.1_5	CAPNZA010000001.1	CAPNZA010000006.1	False	8-270	2-272	1.0	0.8976	0.9249	True	0.5283	agree_clean
GCA_948704125.1	bacteria	guanyl_kin	CAPTAV010000220.1_13	CAPTAV010000113.1_6	CAPTAV010000220.1	CAPTAV010000113.1	False	1-179	1-179	1.0	0.9944	0.9944	True	0.486	agree_clean
GCA_948866415.1	bacteria	TIGR00006	CAQQWI010000142.1_4	CAQQWI010000036.1_14	CAQQWI010000142.1	CAQQWI010000036.1	False	5-309	6-307	1.0	0.9839	0.9742	True	0.3715	agree_clean
GCA_948784995.1	bacteria	L3_bact	CAQEZV010000004.1_127	CAQEZV010000057.1_1	CAQEZV010000004.1	CAQEZV010000057.1	False	1-201	1-201	1.0	0.995	0.995	True	0.8607	agree_clean
GCA_948784995.1	bacteria	Ribosomal_L23	CAQEZV010000004.1_129	CAQEZV010000057.1_3	CAQEZV010000004.1	CAQEZV010000057.1	False	4-86	2-86	1.0	0.9651	0.9884	True	0.7045	agree_clean
GCA_948784995.1	bacteria	rplB_bact	CAQEZV010000057.1_4	CAQEZV010000004.1_130	CAQEZV010000057.1	CAQEZV010000004.1	False	1-275	1-275	1.0	1.0	1.0	True	0.9084	agree_clean
GCA_948784995.1	bacteria	rplD_bact	CAQEZV010000004.1_128	CAQEZV010000057.1_2	CAQEZV010000004.1	CAQEZV010000057.1	False	2-187	2-186	1.0	0.9894	0.984	True	0.7903	agree_clean
GCA_948784995.1	bacteria	rpsS_bact	CAQEZV010000057.1_5	CAQEZV010000004.1_131	CAQEZV010000057.1	CAQEZV010000004.1	False	1-89	1-89	1.0	0.9674	0.9674	True	0.9101	agree_clean
GCA_948945125.1	bacteria	dnaG	CARBHG010000039.1_59	CARBHG010000006.1_131	CARBHG010000039.1	CARBHG010000006.1	False	2-412	1-412	1.0	0.9928	0.9952	True	0.3308	agree_clean
GCA_948994475.1	bacteria	guanyl_kin	CARIJO010000023.1_28	CARIJO010000002.1_136	CARIJO010000023.1	CARIJO010000002.1	False	2-178	3-179	0.9944	0.9833	0.9833	True	0.4358	agree_clean
GCA_949052265.1	bacteria	guanyl_kin	CARQXJ010000022.1_11	CARQXJ010000003.1_74	CARQXJ010000022.1	CARQXJ010000003.1	False	2-178	3-179	0.9944	0.9833	0.9833	True	0.4358	agree_clean
GCA_949347405.1	bacteria	L11_bact	CASHAK010000002.1_5	CASHAK010000008.1_16	CASHAK010000002.1	CASHAK010000008.1	False	1-139	1-139	1.0	0.9929	0.9929	True	0.9565	agree_clean
GCA_949347405.1	bacteria	L12	CASHAK010000002.1_8	CASHAK010000008.1_13	CASHAK010000002.1	CASHAK010000008.1	False	2-125	2-125	1.0	0.992	0.992	True	0.9268	agree_clean
GCA_949347405.1	bacteria	Ribosomal_L10	CASHAK010000002.1_7	CASHAK010000008.1_14	CASHAK010000002.1	CASHAK010000008.1	False	1-97	1-99	1.0	0.97	0.99	True	0.701	agree_clean
GCA_949347405.1	bacteria	nusG	CASHAK010000002.1_4	CASHAK010000008.1_17	CASHAK010000002.1	CASHAK010000008.1	False	1-171	1-171	1.0	0.9942	0.9942	True	0.7314	agree_clean
GCA_949347405.1	bacteria	rplA_bact	CASHAK010000002.1_6	CASHAK010000008.1_15	CASHAK010000002.1	CASHAK010000008.1	False	1-226	1-226	1.0	0.9956	0.9956	True	0.8805	agree_clean
GCA_949347405.1	bacteria	rpoB	CASHAK010000008.1_12	CASHAK010000002.1_9	CASHAK010000008.1	CASHAK010000002.1	False	3-1238	3-1238	1.0	0.9984	0.9984	True	0.8961	agree_clean
GCA_949477195.1	bacteria	RNAse_H_YqgF	CASXMH010000033.1_10	CASXMH010000075.1_6	CASXMH010000033.1	CASXMH010000075.1	False	1-130	2-129	1.0	1.0	0.9846	True	0.272	agree_clean
GCA_949477195.1	bacteria	hisS	CASXMH010000075.1_8	CASXMH010000043.1_18	CASXMH010000075.1	CASXMH010000043.1	False	1-405	3-404	1.0	0.9975	0.9901	True	0.273	agree_clean
GCA_950097065.1	bacteria	PGK	CATNCR010000001.1_225	CATNCR010000022.1_13	CATNCR010000001.1	CATNCR010000022.1	False	1-382	2-381	1.0	1.0	0.9948	True	0.3919	agree_clean
GCA_949740115.1	bacteria	Ribosomal_S9	CATJGZ010000050.1_1	CATJGZ010000036.1_1	CATJGZ010000050.1	CATJGZ010000036.1	False	66-121	1-52	0.0	0.4628	0.4298	False	0.1923	agree_clean
GCA_949740115.1	bacteria	dnaG	CATJGZ010000121.1_8	CATJGZ010000082.1_22	CATJGZ010000121.1	CATJGZ010000082.1	False	1-413	2-410	1.0	0.9976	0.9879	True	0.4194	agree_clean
GCA_963599035.1	bacteria	TIGR00006	CAVBVL010000004.1_107	CAVBVL010000051.1_3	CAVBVL010000004.1	CAVBVL010000051.1	False	5-309	6-307	1.0	0.9839	0.9742	True	0.3706	agree_clean
GCA_963610445.1	bacteria	guanyl_kin	CAVDNY010000004.1_22	CAVDNY010000066.1_13	CAVDNY010000004.1	CAVDNY010000066.1	False	1-179	2-179	1.0	0.9944	0.9889	True	0.4078	agree_clean
GCA_963706305.1	bacteria	PGK	OY970152.1_1993	OY970152.1_2617	OY970152.1	OY970152.1	True	107-380	106-380	1.0	0.7173	0.7199	True	0.5242	agree_clean
GCA_963741015.1	bacteria	PGK	CAVUGP010000006.1_398	CAVUGP010000006.1_399	CAVUGP010000006.1	CAVUGP010000006.1	True	1-296	299-382	0.0	0.7749	0.2199	False	0.3902	agree_clean
