accession	domain	n_proteins	n_scg_detected	n_scg_hits	n_scg_profiles	error
GCA_905478435.1	Bacteria	1519	66	66	85	
GCA_948518875.1	Bacteria	1558	71	71	85	
GCA_030425825.1	Bacteria	1882	85	85	85	
GCA_029981945.1	Archaea	1942	126	129	128	
GCA_949109945.1	Bacteria	1714	84	84	85	
GCA_949486985.1	Bacteria	2090	84	86	85	
GCA_948521015.1	Bacteria	1492	80	80	85	
GCA_934757855.1	Bacteria	891	80	80	85	
GCA_963526025.1	Bacteria	1742	39	40	85	
GCA_900552755.1	Bacteria	1875	79	79	85	
GCA_003445895.1	Bacteria	1856	57	60	85	
GCA_936933995.1	Bacteria	1455	85	85	85	
GCA_037925095.1	Bacteria	1877	60	65	85	
GCA_945828855.1	Bacteria	1534	74	78	85	
GCA_038132055.1	Bacteria	2116	73	73	85	
GCA_949470185.1	Bacteria	1491	70	70	85	
GCA_943325125.2	Bacteria	1135	77	77	85	
GCA_963537045.1	Bacteria	1915	76	76	85	
GCA_017441295.1	Bacteria	1821	76	76	85	
GCA_027412595.1	Bacteria	2014	59	59	85	
GCA_949288345.1	Bacteria	1561	82	83	85	
GCA_947626605.1	Bacteria	1536	84	84	85	
GCA_002784415.1	Bacteria	1696	83	83	85	
GCA_947347175.1	Bacteria	2174	68	68	85	
GCA_038883135.1	Archaea	1143	101	103	128	
GCA_026416795.1	Bacteria	1573	78	78	85	
GCA_963612115.1	Bacteria	1869	83	84	85	
GCA_947377725.1	Bacteria	1268	51	52	85	
GCA_017642355.1	Bacteria	1612	66	67	85	
GCA_937965575.1	Bacteria	1447	84	84	85	
GCA_947061705.1	Bacteria	1892	78	78	85	
GCA_951800775.1	Bacteria	1501	85	85	85	
GCA_948757025.1	Bacteria	1690	82	82	85	
GCA_017936615.1	Bacteria	1592	67	67	85	
GCA_963693705.1	Bacteria	1598	65	65	85	
GCA_903838035.1	Bacteria	1394	54	56	85	
GCA_022649675.1	Bacteria	1487	80	80	85	
GCA_902597335.1	Bacteria	1340	74	74	85	
GCA_949526195.1	Bacteria	1404	74	74	85	
GCA_947367285.1	Bacteria	1530	84	84	85	
GCA_027334925.1	Bacteria	1738	75	75	85	
GCA_949361155.1	Bacteria	1403	55	55	85	
GCA_017528215.1	Bacteria	1680	79	79	85	
GCA_958417415.1	Bacteria	1120	83	84	85	
GCA_020061685.1	Bacteria	1425	68	69	85	
GCA_958349305.1	Bacteria	1596	83	83	85	
GCA_958453575.1	Bacteria	1611	62	62	85	
GCA_948916555.1	Bacteria	1495	46	47	85	
GCA_017988525.1	Bacteria	1611	63	63	85	
GCA_947389165.1	Bacteria	1400	49	49	85	
GCA_963547815.1	Bacteria	1168	82	82	85	
GCA_963659335.1	Bacteria	1605	64	64	85	
GCA_902470815.1	Bacteria	1484	70	70	85	
GCA_902491275.1	Bacteria	1501	76	76	85	
GCA_015491575.1	Bacteria	2182	78	78	85	
GCA_949468035.1	Bacteria	1486	84	84	85	
GCA_949464935.1	Bacteria	2048	50	51	85	
GCA_041670105.1	Bacteria	2516	81	81	85	
GCA_900321265.1	Bacteria	1875	74	74	85	
GCA_027317445.1	Bacteria	2539	74	74	85	
GCA_018370775.1	Bacteria	2385	83	83	85	
GCA_948936305.1	Bacteria	2675	84	84	85	
GCA_947651585.1	Bacteria	2581	34	35	85	
GCA_902798485.1	Bacteria	1974	85	86	85	
GCA_902787835.1	Bacteria	2353	47	47	85	
GCA_948886075.1	Bacteria	2828	67	67	85	
GCA_949061045.1	Bacteria	2048	84	84	85	
GCA_938074425.1	Bacteria	2750	72	72	85	
GCA_945865625.1	Bacteria	1978	80	80	85	
GCA_028721945.1	Bacteria	2194	78	84	85	
GCA_943323535.2	Bacteria	2286	78	78	85	
GCA_948976895.1	Bacteria	2043	49	49	85	
GCA_037244165.1	Bacteria	2275	81	81	85	
GCA_934835865.1	Bacteria	1960	82	82	85	
GCA_948711585.1	Bacteria	2266	84	84	85	
GCA_902469175.1	Bacteria	2296	70	70	85	
GCA_948825485.1	Bacteria	2343	74	74	85	
GCA_948828035.1	Bacteria	2898	48	48	85	
GCA_015261925.1	Bacteria	2155	55	56	85	
GCA_949409035.1	Bacteria	2831	54	54	85	
GCA_019116385.1	Bacteria	2798	78	78	85	
GCA_032114375.1	Bacteria	2150	85	85	85	
GCA_948606995.1	Bacteria	2205	84	84	85	
GCA_036567885.1	Bacteria	2330	48	48	85	
GCA_019137015.1	Bacteria	2178	79	79	85	
GCA_958440575.1	Bacteria	1915	54	55	85	
GCA_021201105.1	Bacteria	2997	60	60	85	
GCA_963632215.1	Bacteria	1798	81	81	85	
GCA_003525405.1	Bacteria	2512	74	75	85	
GCA_903873565.1	Bacteria	2609	80	81	85	
GCA_037342125.1	Bacteria	2796	85	87	85	
GCA_041396185.1	Bacteria	3006	80	80	85	
GCA_963616455.1	Bacteria	2097	85	85	85	
GCA_948891325.1	Bacteria	2229	85	85	85	
GCA_029338675.1	Bacteria	2667	84	85	85	
GCA_028709585.1	Bacteria	2331	84	85	85	
GCA_036799965.1	Bacteria	2103	28	28	85	
GCA_041487875.1	Bacteria	2781	78	78	85	
GCA_013335115.1	Bacteria	1985	84	84	85	
GCA_027403055.1	Bacteria	2715	81	82	85	
GCA_022769635.1	Bacteria	2183	64	64	85	
GCA_017440825.1	Bacteria	1978	66	66	85	
GCA_038233495.1	Bacteria	3015	73	74	85	
GCA_905207555.1	Bacteria	2541	85	85	85	
GCA_948813215.1	Bacteria	2736	84	84	85	
GCA_948678905.1	Bacteria	2381	84	84	85	
GCA_949395265.1	Bacteria	1743	44	46	85	
GCA_902485785.1	Bacteria	1762	81	81	85	
GCA_903863665.1	Bacteria	2409	78	78	85	
GCA_014870105.1	Bacteria	1950	85	85	85	
GCA_903891765.1	Bacteria	2064	72	72	85	
GCA_022783985.1	Bacteria	2110	80	82	85	
GCA_013286165.1	Bacteria	1899	62	62	85	
GCA_022653355.1	Bacteria	2387	80	80	85	
GCA_030148865.1	Bacteria	2596	71	72	85	
GCA_949384945.1	Bacteria	1903	53	53	85	
GCA_902765995.1	Bacteria	2235	52	55	85	
GCA_903929785.1	Bacteria	2287	72	73	85	
GCA_020035205.1	Bacteria	2513	71	71	85	
GCA_948746485.1	Bacteria	2292	75	75	85	
GCA_027293445.1	Bacteria	2639	70	72	85	
GCA_948979815.1	Bacteria	2280	53	53	85	
GCA_945871065.1	Bacteria	2508	83	84	85	
GCA_041167885.1	Bacteria	2663	84	84	85	
GCA_027402595.1	Bacteria	2887	77	77	85	
GCA_026987255.1	Bacteria	2580	85	86	85	
GCA_947447815.1	Bacteria	1998	65	65	85	
GCA_022773685.1	Bacteria	2034	79	80	85	
GCA_001643475.1	Bacteria	2974	67	75	85	
GCA_035347295.1	Bacteria	2528	80	80	85	
GCA_949024695.1	Bacteria	2517	58	59	85	
GCA_036832375.1	Bacteria	1743	84	84	85	
GCA_946403745.1	Bacteria	2171	76	76	85	
GCA_949552015.1	Bacteria	2541	38	39	85	
GCA_027065775.1	Bacteria	2699	79	79	85	
GCA_902468805.1	Bacteria	1924	83	83	85	
GCA_031554855.1	Bacteria	2042	43	43	85	
GCA_041169105.1	Bacteria	2732	72	76	85	
GCA_948877805.1	Bacteria	1844	85	86	85	
GCA_930987535.1	Bacteria	2067	79	79	85	
GCA_946403075.1	Bacteria	1877	80	80	85	
GCA_018066245.1	Bacteria	1965	84	84	85	
GCA_002329245.1	Bacteria	2560	67	68	85	
GCA_905207575.1	Bacteria	1896	84	85	85	
GCA_949295175.1	Bacteria	1855	82	82	85	
GCA_022563075.1	Bacteria	3082	56	56	85	
GCA_945871915.1	Bacteria	1931	80	80	85	
GCA_934306055.1	Bacteria	2174	85	85	85	
GCA_041587615.1	Bacteria	2916	35	35	85	
GCA_948510055.1	Bacteria	1916	51	52	85	
GCA_003219945.1	Bacteria	2527	66	71	85	
GCA_028064475.1	Bacteria	2831	72	72	85	
GCA_035566535.1	Bacteria	2314	77	79	85	
GCA_948508255.1	Bacteria	2265	45	45	85	
GCA_035526705.1	Bacteria	2629	80	95	85	
GCA_021740085.1	Bacteria	2146	77	77	85	
GCA_947002165.1	Bacteria	2140	82	84	85	
GCA_948882025.1	Bacteria	2084	84	84	85	
GCA_949033175.1	Bacteria	1782	85	85	85	
GCA_963621625.1	Bacteria	2435	72	78	85	
GCA_020635455.1	Bacteria	2244	78	78	85	
GCA_900539015.1	Bacteria	2615	84	86	85	
GCA_963627955.1	Bacteria	2214	85	85	85	
GCA_902783615.1	Bacteria	2266	39	42	85	
GCA_947311125.1	Bacteria	2385	79	79	85	
GCA_947467405.1	Bacteria	3003	77	79	85	
GCA_016282325.1	Bacteria	2290	79	80	85	
GCA_027482225.1	Bacteria	2298	85	85	85	
GCA_905371455.1	Bacteria	2696	80	80	85	
GCA_037368205.1	Bacteria	1918	82	82	85	
GCA_015257995.1	Bacteria	2218	85	85	85	
GCA_948804075.1	Bacteria	2037	54	54	85	
GCA_036659495.1	Bacteria	2051	55	56	85	
GCA_027342785.1	Bacteria	2752	69	71	85	
GCA_900541045.1	Bacteria	1820	84	84	85	
GCA_948738515.1	Bacteria	1638	55	55	85	
GCA_036341715.1	Bacteria	2120	70	70	85	
GCA_038534255.1	Bacteria	2989	60	62	85	
GCA_943842145.1	Bacteria	2379	59	59	85	
GCA_035454925.1	Archaea	2199	119	119	128	
GCA_948561985.1	Bacteria	2333	75	76	85	
GCA_949101285.1	Bacteria	2512	81	81	85	
GCA_030840455.1	Bacteria	1968	52	52	85	
GCA_949431295.1	Bacteria	1973	71	71	85	
GCA_902764695.1	Bacteria	2699	62	62	85	
GCA_948792525.1	Bacteria	1693	70	77	85	
GCA_946553155.1	Bacteria	2017	84	84	85	
GCA_018264995.1	Bacteria	2102	63	65	85	
GCA_948467145.1	Bacteria	1818	83	83	85	
GCA_948846525.1	Bacteria	2302	74	75	85	
GCA_948916875.1	Bacteria	2755	83	83	85	
GCA_022782865.1	Bacteria	1993	85	85	85	
GCA_003564375.1	Bacteria	2370	83	84	85	
GCA_002305235.1	Bacteria	2242	46	46	85	
GCA_022786825.1	Bacteria	2358	85	85	85	
GCA_027414255.1	Bacteria	2106	68	69	85	
GCA_963541515.1	Bacteria	1916	84	84	85	
GCA_002477865.1	Bacteria	1844	48	49	85	
GCA_002406095.1	Bacteria	1983	77	77	85	
GCA_027429155.1	Bacteria	2343	80	80	85	
GCA_902464365.1	Bacteria	1889	79	80	85	
GCA_934660945.1	Bacteria	2592	83	83	85	
GCA_036127975.1	Bacteria	2279	75	76	85	
GCA_949032575.1	Bacteria	1971	78	78	85	
GCA_036625595.1	Archaea	3224	117	120	128	
GCA_023262305.1	Bacteria	3438	67	67	85	
GCA_949079495.1	Bacteria	2926	50	51	85	
GCA_902826385.1	Bacteria	3797	65	65	85	
GCA_002339305.1	Bacteria	3891	64	64	85	
GCA_013202315.1	Bacteria	2709	65	65	85	
GCA_027430255.1	Bacteria	2822	83	86	85	
GCA_030950285.1	Bacteria	2533	81	81	85	
GCA_963677685.1	Bacteria	3039	84	84	85	
GCA_964223915.1	Bacteria	3666	68	75	85	
GCA_963972305.1	Bacteria	2962	83	83	85	
GCA_027384365.1	Bacteria	3351	80	80	85	
GCA_948793895.1	Bacteria	3729	83	83	85	
GCA_903823375.1	Bacteria	3173	84	85	85	
GCA_038525525.1	Bacteria	3255	83	83	85	
GCA_943787205.1	Bacteria	3735	71	71	85	
GCA_017627135.1	Bacteria	2960	84	86	85	
GCA_001794965.1	Bacteria	3095	84	84	85	
GCA_039595535.1	Bacteria	4269	45	45	85	
GCA_022766095.1	Bacteria	3454	77	77	85	
GCA_963596435.1	Bacteria	3494	84	86	85	
GCA_002454595.1	Bacteria	4016	85	85	85	
GCA_949376765.1	Bacteria	2555	66	66	85	
GCA_913774135.1	Bacteria	4090	69	69	85	
GCA_041590075.1	Bacteria	3055	72	73	85	
GCA_030857225.1	Bacteria	3549	78	79	85	
GCA_949379125.1	Bacteria	3346	79	83	85	
GCA_001897365.1	Bacteria	4488	80	80	85	
GCA_030765535.1	Bacteria	2772	81	83	85	
GCA_948763275.1	Bacteria	2855	57	57	85	
GCA_041606495.1	Bacteria	3505	72	74	85	
GCA_032477735.1	Bacteria	3510	85	85	85	
GCA_949539455.1	Bacteria	3420	83	83	85	
GCA_948939145.1	Bacteria	3491	69	70	85	
GCA_027348805.1	Bacteria	3602	83	85	85	
GCA_039966435.1	Bacteria	4078	83	83	85	
GCA_029212485.1	Bacteria	3055	84	84	85	
GCA_948971635.1	Bacteria	3623	53	54	85	
GCA_946185545.1	Bacteria	2723	79	88	85	
GCA_032053125.1	Bacteria	4467	85	85	85	
GCA_036398695.1	Bacteria	3073	69	69	85	
GCA_948491185.1	Bacteria	3056	53	53	85	
GCA_945948195.1	Bacteria	3478	64	64	85	
GCA_937926955.1	Bacteria	2682	85	85	85	
GCA_903824325.1	Bacteria	4824	71	71	85	
GCA_041814785.1	Bacteria	3333	50	53	85	
GCA_019412015.1	Bacteria	3061	83	84	85	
GCA_039830635.1	Bacteria	3785	85	85	85	
GCA_002418405.1	Bacteria	4291	85	86	85	
GCA_003168175.1	Bacteria	3542	78	78	85	
GCA_023565505.1	Bacteria	3096	82	83	85	
GCA_948553595.1	Bacteria	4473	76	78	85	
GCA_022728655.1	Bacteria	3249	43	43	85	
GCA_947385245.1	Bacteria	3205	85	85	85	
GCA_040220075.1	Bacteria	3149	83	83	85	
GCA_016704085.1	Bacteria	4692	83	84	85	
GCA_948739055.1	Bacteria	3886	51	53	85	
GCA_948901665.1	Bacteria	3407	81	82	85	
GCA_949493505.1	Bacteria	2922	60	61	85	
GCA_937891245.1	Bacteria	4622	53	53	85	
GCA_948519865.1	Bacteria	3143	67	69	85	
GCA_020441525.1	Bacteria	2908	82	83	85	
GCA_913051215.1	Bacteria	3338	83	83	85	
GCA_949007155.1	Bacteria	3700	79	79	85	
GCA_949001135.1	Bacteria	2477	77	77	85	
GCA_020721445.1	Bacteria	2968	84	85	85	
GCA_903834765.1	Bacteria	3119	84	84	85	
GCA_025757565.1	Bacteria	2941	85	85	85	
GCA_950022625.1	Bacteria	4034	74	75	85	
GCA_018902715.1	Bacteria	3323	76	76	85	
GCA_913044135.1	Bacteria	2589	81	82	85	
GCA_041500265.1	Bacteria	3439	56	57	85	
GCA_029212365.1	Bacteria	3972	77	77	85	
GCA_945901085.1	Bacteria	3731	81	81	85	
GCA_000416005.1	Archaea	2660	99	99	128	
GCA_029936335.1	Bacteria	3003	67	67	85	
GCA_037443505.1	Bacteria	3664	59	59	85	
GCA_949095595.1	Bacteria	3896	85	85	85	
GCA_036563405.1	Bacteria	3449	61	68	85	
GCA_016712635.1	Bacteria	2918	84	84	85	
GCA_019118645.1	Bacteria	3393	60	66	85	
GCA_963422435.1	Bacteria	3876	78	78	85	
GCA_032123255.1	Bacteria	3587	80	80	85	
GCA_937141895.1	Bacteria	3220	70	73	85	
GCA_945859965.1	Bacteria	2778	75	76	85	
GCA_900320885.1	Bacteria	2745	45	47	85	
GCA_029866325.1	Bacteria	3960	85	86	85	
GCA_948521715.1	Bacteria	2875	78	78	85	
GCA_948833585.1	Bacteria	3810	54	55	85	
GCA_948629425.1	Bacteria	3151	80	80	85	
GCA_948916965.1	Bacteria	3545	84	84	85	
GCA_937923745.1	Bacteria	3457	77	77	85	
GCA_021324095.1	Bacteria	2881	84	84	85	
GCA_036702965.1	Bacteria	3618	68	70	85	
GCA_032579195.1	Bacteria	4368	62	62	85	
GCA_041686455.1	Bacteria	2718	81	81	85	
GCA_949384585.1	Bacteria	4406	78	80	85	
GCA_032075245.1	Bacteria	4205	85	85	85	
GCA_031374605.1	Bacteria	5191	76	77	85	
GCA_950073935.1	Bacteria	3043	80	81	85	
GCA_020048405.1	Bacteria	3639	78	78	85	
GCA_013001885.1	Bacteria	3035	84	84	85	
GCA_002388215.1	Bacteria	3407	61	61	85	
GCA_963677275.1	Bacteria	2942	84	84	85	
GCA_021824145.1	Bacteria	2894	83	83	85	
GCA_036810305.1	Bacteria	3955	72	74	85	
GCA_948969205.1	Bacteria	3407	84	84	85	
GCA_948486205.1	Bacteria	4119	76	77	85	
GCA_946496865.1	Bacteria	3464	61	63	85	
GCA_947494225.1	Bacteria	3897	85	85	85	
GCA_031995905.1	Bacteria	4382	85	85	85	
GCA_949082905.1	Bacteria	3551	81	82	85	
GCA_948835505.1	Bacteria	4056	78	79	85	
GCA_025359865.1	Bacteria	4913	81	82	85	
GCA_019359635.1	Bacteria	3400	83	83	85	
GCA_949437115.1	Bacteria	3373	81	81	85	
GCA_020720605.1	Bacteria	3445	80	82	85	
GCA_030040525.1	Bacteria	3088	63	64	85	
GCA_038242295.1	Bacteria	3609	53	53	85	
GCA_040119285.1	Bacteria	3212	63	63	85	
GCA_020848745.1	Bacteria	4440	80	82	85	
GCA_903926265.1	Bacteria	3026	73	74	85	
GCA_949002185.1	Bacteria	3789	85	85	85	
GCA_002721375.1	Bacteria	2525	72	76	85	
GCA_910577325.1	Bacteria	2982	82	82	85	
GCA_002388535.1	Bacteria	2840	59	59	85	
GCA_009883945.1	Bacteria	4424	52	52	85	
GCA_948650825.1	Bacteria	3246	84	84	85	
GCA_948672665.1	Bacteria	2791	70	73	85	
GCA_031365725.1	Bacteria	3558	84	84	85	
GCA_031119575.1	Bacteria	4975	65	69	85	
GCA_903889465.1	Bacteria	3342	82	83	85	
GCA_017509605.1	Bacteria	2658	83	84	85	
GCA_007130675.1	Bacteria	3871	81	82	85	
GCA_027040165.1	Bacteria	3138	82	82	85	
GCA_902762215.1	Bacteria	2817	64	64	85	
GCA_005800635.1	Bacteria	3171	57	57	85	
GCA_947167815.1	Bacteria	3296	79	79	85	
GCA_024742835.1	Bacteria	3017	82	84	85	
GCA_029219665.1	Bacteria	3231	85	86	85	
GCA_947258635.1	Bacteria	3862	64	64	85	
GCA_012960845.1	Bacteria	2860	79	80	85	
GCA_012271205.1	Bacteria	3035	80	80	85	
GCA_023415215.1	Bacteria	4310	84	85	85	
GCA_903885865.1	Bacteria	3777	52	53	85	
GCA_963934385.1	Bacteria	3205	79	79	85	
GCA_002787575.1	Bacteria	3327	83	83	85	
GCA_948598575.1	Bacteria	3645	78	78	85	
GCA_022823045.1	Bacteria	4568	80	94	85	
GCA_949282755.1	Bacteria	3239	85	86	85	
GCA_030246845.1	Bacteria	5330	85	85	85	
GCA_030646115.1	Bacteria	3534	84	84	85	
GCA_040395455.1	Bacteria	4467	55	55	85	
GCA_021202075.1	Bacteria	4880	85	85	85	
GCA_003242125.1	Bacteria	4899	84	84	85	
GCA_903960425.1	Bacteria	6363	81	81	85	
GCA_947041995.1	Bacteria	6161	84	84	85	
GCA_949080125.1	Bacteria	5166	83	89	85	
GCA_016871215.1	Bacteria	5011	81	81	85	
GCA_020072645.1	Bacteria	5634	83	83	85	
GCA_035428905.1	Bacteria	6037	76	76	85	
GCA_026399375.1	Bacteria	5473	49	49	85	
GCA_030149525.1	Bacteria	7613	81	84	85	
GCA_948628085.1	Bacteria	4506	82	82	85	
GCA_032582535.1	Bacteria	5315	61	63	85	
GCA_019459165.1	Bacteria	6013	70	70	85	
GCA_002473315.1	Bacteria	5459	81	81	85	
GCA_025358085.1	Bacteria	4916	83	84	85	
GCA_036488355.1	Bacteria	7757	56	57	85	
GCA_032483015.1	Bacteria	5650	66	66	85	
GCA_022842885.1	Bacteria	5372	83	84	85	
GCA_029238935.1	Bacteria	4826	83	88	85	
GCA_031538975.1	Bacteria	6370	85	85	85	
GCA_963668055.1	Bacteria	4189	82	82	85	
GCA_948475675.1	Bacteria	6611	83	84	85	
GCA_016190065.1	Bacteria	4611	56	56	85	
GCA_947499805.1	Bacteria	4426	84	84	85	
GCA_963677055.1	Bacteria	5749	81	81	85	
GCA_034126745.1	Bacteria	4194	85	86	85	
GCA_041488195.1	Bacteria	5954	81	81	85	
GCA_040007095.1	Bacteria	7185	76	78	85	
GCA_022840885.1	Bacteria	6197	83	83	85	
GCA_948963345.1	Bacteria	4767	57	57	85	
GCA_937896535.1	Bacteria	9020	82	82	85	
GCA_963631855.1	Bacteria	4378	72	72	85	
GCA_017115165.1	Bacteria	7542	84	85	85	
GCA_035547535.1	Bacteria	5339	85	85	85	
GCA_016182965.1	Bacteria	8343	82	82	85	
GCA_948634045.1	Bacteria	5504	76	77	85	
GCA_003533825.1	Bacteria	4914	51	51	85	
GCA_020073265.1	Bacteria	5778	85	87	85	
GCA_041817865.1	Bacteria	5963	66	67	85	
GCA_035628505.1	Bacteria	5424	77	78	85	
GCA_036744855.1	Bacteria	5709	83	84	85	
GCA_016795295.1	Bacteria	4474	83	83	85	
GCA_023418035.1	Bacteria	5411	76	76	85	
GCA_024226535.1	Bacteria	4577	80	84	85	
GCA_002684035.1	Bacteria	5131	85	114	85	
GCA_035254525.1	Bacteria	5122	58	58	85	
GCA_017996175.1	Bacteria	5082	56	57	85	
GCA_035275625.1	Bacteria	4742	79	80	85	
GCA_030430165.1	Bacteria	5510	82	82	85	
GCA_039942635.1	Bacteria	5002	82	82	85	
GCA_964220685.1	Bacteria	9761	85	86	85	
GCA_039812825.1	Bacteria	4347	83	83	85	
GCA_937952455.1	Bacteria	5618	66	66	85	
GCA_030595125.1	Bacteria	4731	82	82	85	
GCA_041740735.1	Bacteria	5334	81	82	85	
GCA_021771245.1	Bacteria	4656	83	84	85	
GCA_027486335.1	Bacteria	4959	73	74	85	
GCA_039988255.1	Bacteria	4969	84	84	85	
GCA_948813565.1	Bacteria	4337	50	52	85	
GCA_003140725.1	Bacteria	7027	77	81	85	
GCA_020431405.1	Bacteria	9608	82	82	85	
GCA_040375265.1	Bacteria	4430	48	50	85	
GCA_020634515.1	Bacteria	4589	85	85	85	
GCA_948542955.1	Bacteria	4904	76	76	85	
GCA_012961655.1	Bacteria	5558	69	69	85	
GCA_903913725.1	Bacteria	7550	83	83	85	
GCA_034142205.1	Bacteria	5191	62	64	85	
GCA_949071125.1	Bacteria	4731	83	84	85	
GCA_016707455.1	Bacteria	4936	82	82	85	
GCA_026397635.1	Bacteria	4639	82	83	85	
GCA_034140805.1	Bacteria	4297	43	43	85	
GCA_903896675.1	Bacteria	4561	74	75	85	
GCA_034530575.1	Bacteria	6952	85	87	85	
GCA_032114855.1	Bacteria	5190	40	40	85	
GCA_948814085.1	Bacteria	4693	82	82	85	
GCA_001899605.1	Bacteria	5124	84	84	85	
GCA_027623235.1	Bacteria	5398	74	75	85	
GCA_012719855.1	Bacteria	5086	53	54	85	
GCA_004017165.1	Bacteria	6388	84	84	85	
GCA_022616245.1	Bacteria	6012	78	79	85	
GCA_016718275.1	Bacteria	4827	79	79	85	
GCA_035318565.1	Bacteria	7259	62	65	85	
GCA_963667935.1	Bacteria	4895	84	84	85	
GCA_937977275.1	Bacteria	5116	59	60	85	
GCA_903835555.1	Bacteria	4730	81	84	85	
GCA_022821925.1	Bacteria	5980	76	76	85	
GCA_001769395.1	Bacteria	3858	83	84	85	
GCA_016197285.1	Bacteria	5510	75	75	85	
GCA_016721085.1	Bacteria	5125	80	80	85	
GCA_949056445.1	Bacteria	4700	83	84	85	
GCA_019424485.1	Bacteria	5406	85	86	85	
GCA_963674795.1	Bacteria	5309	81	81	85	
GCA_041396445.1	Bacteria	5071	84	84	85	
GCA_937139035.1	Bacteria	5674	61	69	85	
GCA_002332515.1	Bacteria	5688	44	48	85	
GCA_963675725.1	Bacteria	4554	81	81	85	
GCA_039194035.1	Bacteria	5913	76	78	85	
GCA_945897335.1	Bacteria	5131	73	73	85	
GCA_903872955.1	Bacteria	4306	84	84	85	
GCA_032548465.1	Bacteria	4739	85	86	85	
GCA_003225275.1	Bacteria	6119	74	74	85	
GCA_038040385.1	Bacteria	5091	85	86	85	
GCA_026692845.1	Bacteria	4149	79	80	85	
GCA_041744855.1	Bacteria	5035	77	80	85	
GCA_004016705.1	Bacteria	6489	84	84	85	
GCA_034151625.1	Bacteria	4521	85	86	85	
GCA_016709465.1	Bacteria	5059	78	78	85	
GCA_034133025.1	Bacteria	5447	74	75	85	
GCA_028281005.1	Bacteria	4920	84	85	85	
GCA_029561355.1	Bacteria	5385	81	84	85	
GCA_027489135.1	Bacteria	6129	52	53	85	
GCA_036821865.1	Bacteria	5042	84	84	85	
GCA_027483175.1	Bacteria	4839	80	83	85	
GCA_005046125.1	Bacteria	6625	84	85	85	
GCA_030149005.1	Bacteria	4506	63	64	85	
GCA_948761925.1	Bacteria	4874	66	67	85	
GCA_949383295.1	Bacteria	4496	74	80	85	
GCA_938033945.1	Bacteria	4446	81	81	85	
GCA_947503635.1	Bacteria	6415	84	84	85	
GCA_947460495.1	Bacteria	5595	84	86	85	
GCA_020254345.1	Bacteria	7612	85	85	85	
GCA_026398065.1	Bacteria	6649	71	71	85	
GCA_031419975.1	Bacteria	5587	80	85	85	
GCA_034152105.1	Bacteria	4939	83	83	85	
GCA_036916735.1	Bacteria	6430	85	86	85	
GCA_032502885.1	Bacteria	6348	83	83	85	
GCA_034138285.1	Bacteria	4448	84	84	85	
GCA_041394725.1	Bacteria	4730	81	81	85	
GCA_012034595.1	Bacteria	6982	81	82	85	
GCA_030693825.1	Bacteria	7694	84	85	85	
GCA_041391105.1	Bacteria	6973	67	68	85	
GCA_013791895.1	Bacteria	5546	84	84	85	
GCA_937906855.1	Bacteria	5836	79	80	85	
GCA_032569195.1	Bacteria	5190	85	85	85	
GCA_963975815.1	Bacteria	4479	85	85	85	
GCA_019510435.1	Bacteria	4931	83	83	85	
GCA_035530515.1	Bacteria	4475	77	77	85	
GCA_948901585.1	Bacteria	5199	76	76	85	
GCA_032009395.1	Bacteria	5000	83	83	85	
GCA_039936055.1	Bacteria	6297	49	51	85	
GCA_949066575.1	Bacteria	4401	74	74	85	
GCA_035712445.1	Bacteria	6316	83	83	85	
GCA_012744475.1	Bacteria	4465	83	84	85	
GCA_902485735.1	Bacteria	5108	80	80	85	
GCA_021816795.1	Bacteria	5479	78	81	85	
GCA_002471185.1	Bacteria	1791	55	55	85	
GCA_012963885.1	Bacteria	6208	82	83	85	
GCA_948537395.1	Bacteria	2706	28	28	85	
GCA_041800375.1	Bacteria	2090	44	44	85	
GCA_948828595.1	Bacteria	3399	82	84	85	
GCA_900541265.1	Bacteria	2360	77	77	85	
GCA_948799675.1	Bacteria	3173	54	54	85	
GCA_934864335.1	Bacteria	3860	67	68	85	
GCA_035331565.1	Bacteria	6509	85	86	85	
GCA_948811105.1	Bacteria	3717	77	77	85	
GCA_003249505.1	Bacteria	2422	40	40	85	
GCA_039943635.1	Bacteria	6379	74	75	85	
GCA_030842525.1	Bacteria	3763	73	73	85	
GCA_034131295.1	Bacteria	5027	84	98	85	
GCA_022718885.1	Bacteria	4833	82	82	85	
GCA_034124265.1	Bacteria	4307	59	59	85	
GCA_034128105.1	Bacteria	4587	39	39	85	
GCA_902465985.1	Bacteria	2353	53	54	85	
GCA_948626745.1	Bacteria	5465	85	85	85	
GCA_022738585.1	Bacteria	3858	79	80	85	
GCA_025757585.1	Bacteria	5041	85	85	85	
GCA_905211015.1	Bacteria	2500	77	77	85	
GCA_018265735.1	Bacteria	3207	47	47	85	
GCA_036784225.1	Bacteria	3421	34	34	85	
GCA_945607605.1	Bacteria	2154	83	83	85	
GCA_034147525.1	Bacteria	4619	84	84	85	
GCA_963559325.1	Bacteria	3704	77	78	85	
GCA_041809305.1	Bacteria	2330	45	48	85	
GCA_963586435.1	Bacteria	3876	61	62	85	
GCA_963677715.1	Bacteria	3181	85	85	85	
GCA_034135265.1	Bacteria	4734	49	49	85	
GCA_034150985.1	Bacteria	4496	84	84	85	
GCA_037228455.1	Bacteria	2194	34	34	85	
GCA_022747525.1	Bacteria	5490	77	77	85	
GCA_949518665.1	Bacteria	2205	33	33	85	
