distance	dominant	donor	n_donor_genes	n_rbh_orthologues	pct_donor_genes_orthologous
order	RS_GCF_019024305.1	RS_GCF_030209835.1	4778	1603	33.55
phylum	RS_GCF_019056515.1	GB_GCA_031296755.1	1968	390	19.82
family	RS_GCF_019056515.1	RS_GCF_003602235.1	4431	1704	38.46
genus	RS_GCF_019056515.1	RS_GCF_010634855.1	4068	2022	49.71
order	RS_GCF_019056515.1	RS_GCF_013359775.1	4330	1422	32.84
class	RS_GCF_019056515.1	RS_GCF_040632835.1	7056	1352	19.16
species	RS_GCF_019056515.1	RS_GCF_040702645.1	3685	3170	86.02
phylum	RS_GCF_019056515.1	RS_GCF_040910325.1	2125	402	18.92
order	RS_GCF_019265005.1	GB_GCA_008364705.1	5187	1598	30.81
species	RS_GCF_019265005.1	GB_GCA_040583595.1	4341	3892	89.66
phylum	RS_GCF_019265005.1	GB_GCA_900466845.1	4700	862	18.34
family	RS_GCF_019265005.1	RS_GCF_000148645.1	3800	2241	58.97
species	RS_GCF_019265005.1	RS_GCF_017580635.1	4499	3915	87.02
genus	RS_GCF_019265005.1	RS_GCF_024999325.1	4709	2975	63.18
class	RS_GCF_019265005.1	RS_GCF_040493635.1	6242	1614	25.86
class	RS_GCF_019969415.1	GB_GCA_022646985.1	4833	827	17.11
family	RS_GCF_019969415.1	GB_GCA_958451535.1	3169	861	27.17
phylum	RS_GCF_019969415.1	RS_GCF_013328835.1	4104	604	14.72
genus	RS_GCF_019969415.1	RS_GCF_023347255.1	2993	1925	64.32
species	RS_GCF_019969415.1	RS_GCF_027683805.1	3114	2363	75.88
order	RS_GCF_019969415.1	RS_GCF_041223285.1	3455	963	27.87
species	RS_GCF_020073725.1	RS_GCF_003415205.2	1731	1584	91.51
genus	RS_GCF_020073725.1	RS_GCF_018829705.1	1810	1385	76.52
species	RS_GCF_020073725.1	RS_GCF_021390995.1	1683	1534	91.15
class	RS_GCF_020073725.1	RS_GCF_031823135.1	6474	867	13.39
family	RS_GCF_020073725.1	RS_GCF_038150945.1	2778	1354	48.74
genus	RS_GCF_020073725.1	RS_GCF_038431845.1	1941	1588	81.81
phylum	RS_GCF_020073725.1	RS_GCF_041260805.1	8791	569	6.47
species	RS_GCF_020073725.1	RS_GCF_041450715.1	1847	1544	83.6
order	RS_GCF_020073725.1	RS_GCF_900508525.1	5322	1161	21.82
phylum	RS_GCF_020991185.1	RS_GCF_020097215.1	3970	503	12.67
family	RS_GCF_020991185.1	RS_GCF_023195585.1	3105	911	29.34
genus	RS_GCF_020991185.1	RS_GCF_025665255.1	1912	1176	61.51
species	RS_GCF_020991185.1	RS_GCF_029011455.1	1863	1552	83.31
class	RS_GCF_020991185.1	RS_GCF_900110315.1	5629	589	10.46
order	RS_GCF_020991185.1	RS_GCF_963523905.1	3090	818	26.47
species	RS_GCF_021010875.1	GB_GCA_001297145.1	2485	2027	81.57
phylum	RS_GCF_021010875.1	GB_GCA_963604655.1	2079	365	17.56
family	RS_GCF_021010875.1	RS_GCF_016907535.1	3646	1127	30.91
order	RS_GCF_021010875.1	RS_GCF_018831735.1	5566	987	17.73
species	RS_GCF_021010875.1	RS_GCF_018918985.1	2451	2102	85.76
genus	RS_GCF_021010875.1	RS_GCF_024105055.1	2441	1779	72.88
class	RS_GCF_021010875.1	RS_GCF_029893585.1	8350	1007	12.06
genus	RS_GCF_021117095.1	GB_GCA_013704765.1	5223	3746	71.72
phylum	RS_GCF_021117095.1	GB_GCA_900471355.1	6598	1292	19.58
class	RS_GCF_021117095.1	GB_GCA_905219325.2	5113	1288	25.19
species	RS_GCF_021117095.1	RS_GCF_023646515.1	4828	3977	82.37
order	RS_GCF_021117095.1	RS_GCF_024807575.1	4588	1701	37.07
family	RS_GCF_021117095.1	RS_GCF_900597865.2	6006	2338	38.93
phylum	RS_GCF_021122785.1	RS_GCF_002189005.1	3995	630	15.77
species	RS_GCF_021122785.1	RS_GCF_009184155.1	3111	2135	68.63
family	RS_GCF_021122785.1	RS_GCF_019731355.1	3591	1624	45.22
order	RS_GCF_021122785.1	RS_GCF_022507735.1	2899	1093	37.7
class	RS_GCF_021122785.1	RS_GCF_036223175.1	5530	1006	18.19
genus	RS_GCF_021122785.1	RS_GCF_039752135.1	2901	1777	61.25
genus	RS_GCF_023713025.1	GB_GCA_943913235.1	2479	1151	46.43
order	RS_GCF_023713025.1	RS_GCF_002929615.1	3819	899	23.54
phylum	RS_GCF_023713025.1	RS_GCF_003339915.1	2949	360	12.21
class	RS_GCF_023713025.1	RS_GCF_009720385.1	7927	798	10.07
family	RS_GCF_023713025.1	RS_GCF_030209755.1	4890	1022	20.9
phylum	RS_GCF_023713025.1	RS_GCF_900186505.1	2059	330	16.03
species	RS_GCF_023713025.1	RS_GCF_901875315.1	2112	1913	90.58
species	RS_GCF_023713025.1	RS_GCF_963456795.1	2145	1878	87.55
species	RS_GCF_023839265.1	RS_GCF_001826715.1	3167	2771	87.5
genus	RS_GCF_023839265.1	RS_GCF_002103235.2	2960	2673	90.3
genus	RS_GCF_023839265.1	RS_GCF_002522805.1	3118	2689	86.24
family	RS_GCF_023839265.1	RS_GCF_002894185.1	3382	1860	55.0
species	RS_GCF_023839265.1	RS_GCF_008754285.1	2968	2841	95.72
species	RS_GCF_023839265.1	RS_GCF_022500065.1	2978	2721	91.37
class	RS_GCF_023839265.1	RS_GCF_025519575.1	5716	1326	23.2
order	RS_GCF_023839265.1	RS_GCF_038898975.1	2808	1175	41.84
phylum	RS_GCF_023839265.1	RS_GCF_900166105.1	3912	860	21.98
phylum	RS_GCF_023921525.1	RS_GCF_021165815.1	4864	1012	20.81
class	RS_GCF_023921525.1	RS_GCF_027857215.1	5809	1682	28.96
species	RS_GCF_023921525.1	RS_GCF_032578615.1	4224	3632	85.98
genus	RS_GCF_023921525.1	RS_GCF_034567995.1	4801	3152	65.65
order	RS_GCF_023921525.1	RS_GCF_902158665.1	5580	1964	35.2
family	RS_GCF_023921525.1	RS_GCF_963678535.1	3661	1873	51.16
order	RS_GCF_024664155.1	GB_GCA_030683105.1	3915	1252	31.98
class	RS_GCF_024664155.1	RS_GCF_001429045.1	5640	1889	33.49
species	RS_GCF_024664155.1	RS_GCF_024663255.1	6009	5570	92.69
family	RS_GCF_024664155.1	RS_GCF_027529805.1	6008	2123	35.34
phylum	RS_GCF_024664155.1	RS_GCF_032488555.1	6886	1452	21.09
genus	RS_GCF_024664155.1	RS_GCF_036861765.1	7845	3744	47.72
family	RS_GCF_024758165.1	RS_GCF_000430765.1	4926	2544	51.64
class	RS_GCF_024758165.1	RS_GCF_001296435.1	6247	2319	37.12
phylum	RS_GCF_024758165.1	RS_GCF_001406255.1	2851	641	22.48
genus	RS_GCF_024758165.1	RS_GCF_014844095.1	5286	4238	80.17
order	RS_GCF_024758165.1	RS_GCF_019749295.1	5434	2616	48.14
species	RS_GCF_024758165.1	RS_GCF_040676505.1	5280	4394	83.22
family	RS_GCF_024998945.1	RS_GCF_000148645.1	3800	2202	57.95
species	RS_GCF_024998945.1	RS_GCF_024999325.1	4709	3706	78.7
genus	RS_GCF_024998945.1	RS_GCF_025653985.1	4751	3582	75.39
order	RS_GCF_024998945.1	RS_GCF_026614635.1	6031	1563	25.92
phylum	RS_GCF_024998945.1	RS_GCF_900114255.1	6178	869	14.07
class	RS_GCF_024998945.1	RS_GCF_902831665.1	6792	1156	17.02
family	RS_GCF_027683805.1	GB_GCA_958451535.1	3169	846	26.7
species	RS_GCF_027683805.1	RS_GCF_003324115.1	2799	2291	81.85
order	RS_GCF_027683805.1	RS_GCF_012923585.1	3395	888	26.16
phylum	RS_GCF_027683805.1	RS_GCF_019749295.1	5434	715	13.16
species	RS_GCF_027683805.1	RS_GCF_019969415.1	2901	2363	81.45
genus	RS_GCF_027683805.1	RS_GCF_023347255.1	2993	1921	64.18
class	RS_GCF_027683805.1	RS_GCF_041537325.1	3986	743	18.64
order	RS_GCF_029383305.1	RS_GCF_002863865.1	4199	1483	35.32
species	RS_GCF_029383305.1	RS_GCF_016308085.1	5254	4570	86.98
species	RS_GCF_029383305.1	RS_GCF_018383435.1	5230	4723	90.31
class	RS_GCF_029383305.1	RS_GCF_029962225.1	5508	1689	30.66
family	RS_GCF_029383305.1	RS_GCF_030122095.1	6389	2910	45.55
phylum	RS_GCF_029383305.1	RS_GCF_030585205.1	9066	1396	15.4
genus	RS_GCF_029383305.1	RS_GCF_900004795.1	5803	3425	59.02
species	RS_GCF_030010195.1	RS_GCF_002243365.1	7675	6087	79.31
phylum	RS_GCF_030010195.1	RS_GCF_003976075.1	6335	1497	23.63
genus	RS_GCF_030010195.1	RS_GCF_004306185.1	7454	5854	78.54
order	RS_GCF_030010195.1	RS_GCF_024807635.1	8819	2589	29.36
family	RS_GCF_030010195.1	RS_GCF_028888265.1	7240	3609	49.85
class	RS_GCF_030010195.1	RS_GCF_947498295.1	5305	1885	35.53
genus	RS_GCF_030292825.1	GB_GCA_001951515.1	4350	3405	78.28
class	RS_GCF_030292825.1	RS_GCF_001682945.1	6268	1610	25.69
order	RS_GCF_030292825.1	RS_GCF_002880015.1	4984	1740	34.91
phylum	RS_GCF_030292825.1	RS_GCF_026105885.2	6533	1043	15.97
species	RS_GCF_030292825.1	RS_GCF_030057455.1	4578	4028	87.99
family	RS_GCF_030292825.1	RS_GCF_030930005.1	5141	3004	58.43
species	RS_GCF_030547745.1	RS_GCF_001562195.1	3962	3696	93.29
genus	RS_GCF_030547745.1	RS_GCF_001757105.1	4231	2587	61.14
order	RS_GCF_030547745.1	RS_GCF_011683085.1	5328	1326	24.89
class	RS_GCF_030547745.1	RS_GCF_030167915.1	6500	1143	17.58
family	RS_GCF_030547745.1	RS_GCF_033548715.1	4368	1789	40.96
phylum	RS_GCF_030547745.1	RS_GCF_041262305.1	6487	899	13.86
family	RS_GCF_030717765.1	RS_GCF_004306595.1	7194	3277	45.55
species	RS_GCF_030717765.1	RS_GCF_013318355.2	5425	4701	86.65
order	RS_GCF_030717765.1	RS_GCF_024807635.1	8819	2152	24.4
genus	RS_GCF_030717765.1	RS_GCF_025560205.1	5622	4253	75.65
phylum	RS_GCF_030717765.1	RS_GCF_040064635.1	5115	1267	24.77
class	RS_GCF_030717765.1	RS_GCF_040221495.1	5180	1620	31.27
class	RS_GCF_032472435.1	GB_GCA_015058575.1	2641	880	33.32
species	RS_GCF_032472435.1	RS_GCF_002005185.1	1960	1757	89.64
phylum	RS_GCF_032472435.1	RS_GCF_008634075.2	4513	664	14.71
family	RS_GCF_032472435.1	RS_GCF_008658315.1	2213	1309	59.15
genus	RS_GCF_032472435.1	RS_GCF_018370505.1	1957	1577	80.58
order	RS_GCF_032472435.1	RS_GCF_963931005.1	2568	982	38.24
class	RS_GCF_032487555.1	GB_GCA_021741405.1	4392	1578	35.93
family	RS_GCF_032487555.1	GB_GCA_903878085.1	4278	2238	52.31
order	RS_GCF_032487555.1	RS_GCF_000282095.2	6692	2251	33.64
phylum	RS_GCF_032487555.1	RS_GCF_012102105.2	5358	1242	23.18
genus	RS_GCF_032487555.1	RS_GCF_030585205.1	9066	4175	46.05
species	RS_GCF_032487555.1	RS_GCF_032381215.1	7039	6207	88.18
family	RS_GCF_032488555.1	GB_GCA_903878085.1	4278	2231	52.15
order	RS_GCF_032488555.1	RS_GCF_004330635.1	7327	2305	31.46
class	RS_GCF_032488555.1	RS_GCF_005222145.1	6426	2087	32.48
phylum	RS_GCF_032488555.1	RS_GCF_009857445.1	5710	1334	23.36
genus	RS_GCF_032488555.1	RS_GCF_030585205.1	9066	4104	45.27
species	RS_GCF_032488555.1	RS_GCF_032487955.1	6881	6840	99.4
species	RS_GCF_032488555.1	RS_GCF_032489455.1	6853	6223	90.81
genus	RS_GCF_034929395.1	GB_GCA_905142485.1	4585	3624	79.04
order	RS_GCF_034929395.1	RS_GCF_018599235.1	4493	1946	43.31
class	RS_GCF_034929395.1	RS_GCF_020640375.1	6298	1568	24.9
family	RS_GCF_034929395.1	RS_GCF_022750675.1	4286	2483	57.93
phylum	RS_GCF_034929395.1	RS_GCF_028583545.1	6489	1124	17.32
species	RS_GCF_034929395.1	RS_GCF_030388905.1	4344	3938	90.65
species	RS_GCF_034929395.1	RS_GCF_900240325.1	3972	3539	89.1
class	RS_GCF_035202795.1	RS_GCF_001546915.1	6080	1308	21.51
phylum	RS_GCF_035202795.1	RS_GCF_001664525.1	6193	1014	16.37
species	RS_GCF_035202795.1	RS_GCF_006246385.1	4571	4010	87.73
species	RS_GCF_035202795.1	RS_GCF_027707985.1	4472	3883	86.83
genus	RS_GCF_035202795.1	RS_GCF_034567995.1	4801	3531	73.55
order	RS_GCF_035202795.1	RS_GCF_037723075.1	5467	1962	35.89
family	RS_GCF_035202795.1	RS_GCF_963678535.1	3661	1890	51.63
order	RS_GCF_036700765.1	GB_GCA_019359675.1	8073	2724	33.74
genus	RS_GCF_036700765.1	GB_GCA_040004035.1	5824	3839	65.92
phylum	RS_GCF_036700765.1	GB_GCA_944323225.1	2015	489	24.27
phylum	RS_GCF_036700765.1	GB_GCA_944323425.1	1941	459	23.65
class	RS_GCF_036700765.1	RS_GCF_014695405.1	6244	2548	40.81
species	RS_GCF_036700765.1	RS_GCF_036700925.1	5409	5336	98.65
family	RS_GCF_036700765.1	RS_GCF_904830945.1	4926	2580	52.38
class	RS_GCF_036700925.1	GB_GCA_000316115.1	8518	2252	26.44
genus	RS_GCF_036700925.1	GB_GCA_040004035.1	5824	3832	65.8
phylum	RS_GCF_036700925.1	GB_GCA_944324305.1	2304	433	18.79
phylum	RS_GCF_036700925.1	GB_GCA_963931575.1	1969	422	21.43
order	RS_GCF_036700925.1	RS_GCF_015207005.2	8017	2761	34.44
species	RS_GCF_036700925.1	RS_GCF_036700765.1	5424	5336	98.38
family	RS_GCF_036700925.1	RS_GCF_904830945.1	4926	2579	52.35
order	RS_GCF_038368285.1	GB_GCA_014697985.1	3140	836	26.62
species	RS_GCF_038368285.1	RS_GCF_000612055.1	2107	1887	89.56
species	RS_GCF_038368285.1	RS_GCF_003971445.1	2137	1875	87.74
class	RS_GCF_038368285.1	RS_GCF_013004475.1	8186	819	10.0
genus	RS_GCF_038368285.1	RS_GCF_014926385.1	2030	1601	78.87
phylum	RS_GCF_038368285.1	RS_GCF_028532485.1	4304	568	13.2
family	RS_GCF_038368285.1	RS_GCF_963551315.1	2518	973	38.64
phylum	RS_GCF_040358985.1	GB_GCA_018269055.1	6241	1184	18.97
order	RS_GCF_040358985.1	GB_GCA_020073665.1	4796	1517	31.63
class	RS_GCF_040358985.1	GB_GCA_038212445.1	6731	1466	21.78
family	RS_GCF_040358985.1	RS_GCF_000800015.1	4223	2149	50.89
species	RS_GCF_040358985.1	RS_GCF_013410875.1	4322	3949	91.37
genus	RS_GCF_040358985.1	RS_GCF_025264665.1	3735	2392	64.04
phylum	RS_GCF_040612875.1	GB_GCA_937967865.1	1933	447	23.12
family	RS_GCF_040612875.1	RS_GCF_019429605.1	8456	3310	39.14
order	RS_GCF_040612875.1	RS_GCF_027854095.1	6699	1844	27.53
species	RS_GCF_040612875.1	RS_GCF_040648195.1	5882	5222	88.78
genus	RS_GCF_040612875.1	RS_GCF_900091495.1	6568	3766	57.34
class	RS_GCF_040612875.1	RS_GCF_900142575.1	7049	2303	32.67
phylum	RS_GCF_040612875.1	RS_GCF_963559805.1	2204	482	21.87
phylum	RS_GCF_040648195.1	GB_GCA_016716005.1	3713	1077	29.01
genus	RS_GCF_040648195.1	RS_GCF_003264475.1	6566	4287	65.29
family	RS_GCF_040648195.1	RS_GCF_019429605.1	8456	3389	40.08
order	RS_GCF_040648195.1	RS_GCF_033741155.1	5759	1685	29.26
species	RS_GCF_040648195.1	RS_GCF_040612875.1	6305	5222	82.82
class	RS_GCF_040648195.1	RS_GCF_040689305.1	7940	2300	28.97
family	RS_GCF_040676505.1	RS_GCF_000430765.1	4926	2516	51.08
order	RS_GCF_040676505.1	RS_GCF_001591645.1	4888	2541	51.98
genus	RS_GCF_040676505.1	RS_GCF_014844095.1	5286	4188	79.23
phylum	RS_GCF_040676505.1	RS_GCF_015352395.1	3992	1010	25.3
class	RS_GCF_040676505.1	RS_GCF_016757475.1	4203	2236	53.2
species	RS_GCF_040676505.1	RS_GCF_024758165.1	5390	4394	81.52
species	RS_GCF_040763745.1	RS_GCF_000612055.1	2107	1899	90.13
species	RS_GCF_040763745.1	RS_GCF_003971445.1	2137	1934	90.5
genus	RS_GCF_040763745.1	RS_GCF_014926385.1	2030	1631	80.34
order	RS_GCF_040763745.1	RS_GCF_016862735.1	3773	979	25.95
species	RS_GCF_040763745.1	RS_GCF_038368285.1	2077	1869	89.99
class	RS_GCF_040763745.1	RS_GCF_039520985.1	7411	854	11.52
family	RS_GCF_040763745.1	RS_GCF_041380175.1	1844	910	49.35
phylum	RS_GCF_040763745.1	RS_GCF_041821025.1	3496	623	17.82
phylum	RS_GCF_040822125.1	GB_GCA_013322165.1	7716	1023	13.26
species	RS_GCF_040822125.1	RS_GCF_002017315.1	3916	3092	78.96
family	RS_GCF_040822125.1	RS_GCF_009812035.1	2797	1344	48.05
class	RS_GCF_040822125.1	RS_GCF_016762655.1	5182	1325	25.57
order	RS_GCF_040822125.1	RS_GCF_022422765.1	6285	1606	25.55
genus	RS_GCF_040822125.1	RS_GCF_031801555.1	4140	2990	72.22
order	RS_GCF_900088465.1	RS_GCF_002848465.1	3061	1282	41.88
family	RS_GCF_900088465.1	RS_GCF_003264145.1	1750	866	49.49
genus	RS_GCF_900088465.1	RS_GCF_004564865.1	2693	2235	82.99
genus	RS_GCF_900088465.1	RS_GCF_004564935.1	2693	2234	82.96
class	RS_GCF_900088465.1	RS_GCF_022221225.1	5736	1128	19.67
species	RS_GCF_900088465.1	RS_GCF_031921545.1	2489	2288	91.92
phylum	RS_GCF_900088465.1	RS_GCF_036442125.1	4011	745	18.57
family	RS_GCF_900168345.1	RS_GCF_009647605.1	3611	1562	43.26
genus	RS_GCF_900168345.1	RS_GCF_015351075.1	3097	2659	85.86
order	RS_GCF_900168345.1	RS_GCF_019024305.1	4055	1337	32.97
phylum	RS_GCF_900168345.1	RS_GCF_019052535.1	2814	420	14.93
species	RS_GCF_900168345.1	RS_GCF_030521065.1	3120	2963	94.97
species	RS_GCF_900168345.1	RS_GCF_032655455.1	3251	2977	91.57
class	RS_GCF_900168345.1	RS_GCF_040629855.1	8152	1358	16.66
class	RS_GCF_900489665.1	RS_GCF_002019425.1	5654	161	2.85
genus	RS_GCF_900489665.1	RS_GCF_006970285.1	1689	1122	66.43
order	RS_GCF_900489665.1	RS_GCF_029855505.1	1804	290	16.08
phylum	RS_GCF_900489665.1	RS_GCF_041537325.1	3986	141	3.54
species	RS_GCF_900489665.1	RS_GCF_900489825.1	1713	1659	96.85
family	RS_GCF_900489665.1	RS_GCF_964031045.1	2019	363	17.98
order	RS_GCF_900489825.1	GB_GCA_011996705.1	2017	298	14.77
genus	RS_GCF_900489825.1	RS_GCF_006970285.1	1689	1139	67.44
class	RS_GCF_900489825.1	RS_GCF_028335185.1	2976	149	5.01
phylum	RS_GCF_900489825.1	RS_GCF_900095935.1	3825	140	3.66
species	RS_GCF_900489825.1	RS_GCF_900489665.1	1700	1659	97.59
family	RS_GCF_900489825.1	RS_GCF_964031045.1	2019	365	18.08
class	RS_GCF_905111885.1	RS_GCF_000691145.1	3766	706	18.75
genus	RS_GCF_905111885.1	RS_GCF_001719605.1	2044	995	48.68
order	RS_GCF_905111885.1	RS_GCF_027672955.1	3311	852	25.73
family	RS_GCF_905111885.1	RS_GCF_030230525.1	1683	728	43.26
phylum	RS_GCF_905111885.1	RS_GCF_901004615.1	3871	597	15.42
species	RS_GCF_905111885.1	RS_GCF_905125295.1	1732	1722	99.42
family	RS_GCF_913057865.1	RS_GCF_001282135.1	4986	1800	36.1
genus	RS_GCF_913057865.1	RS_GCF_001757105.1	4231	2638	62.35
phylum	RS_GCF_913057865.1	RS_GCF_004305105.1	7426	929	12.51
class	RS_GCF_913057865.1	RS_GCF_016820055.1	6609	1507	22.8
order	RS_GCF_913057865.1	RS_GCF_018420215.1	5265	1371	26.04
species	RS_GCF_913057865.1	RS_GCF_037029285.1	4185	3584	85.64
order	RS_GCF_937915095.1	RS_GCF_006716675.1	4632	1138	24.57
class	RS_GCF_937915095.1	RS_GCF_014205165.1	6304	1026	16.28
species	RS_GCF_937915095.1	RS_GCF_023713525.1	2549	2250	88.27
genus	RS_GCF_937915095.1	RS_GCF_030166735.1	3604	1644	45.62
family	RS_GCF_937915095.1	RS_GCF_030209755.1	4890	1357	27.75
phylum	RS_GCF_937915095.1	RS_GCF_041821025.1	3496	774	22.14
class	RS_GCF_959023135.1	GB_GCA_015058575.1	2641	883	33.43
phylum	RS_GCF_959023135.1	GB_GCA_022846095.1	3971	560	14.1
genus	RS_GCF_959023135.1	RS_GCF_002005185.1	1960	1551	79.13
family	RS_GCF_959023135.1	RS_GCF_008658315.1	2213	1244	56.21
species	RS_GCF_959023135.1	RS_GCF_018370505.1	1957	1662	84.93
order	RS_GCF_959023135.1	RS_GCF_963931005.1	2568	984	38.32
