tier	group_key	draft_accession	complete_accession	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	complete_biosample	draft_contigs	complete_contigs	draft_bp	complete_bp	size_ratio_draft_over_complete	draft_gc	complete_gc	draft_excluded_from_refseq	complete_excluded_from_refseq	draft_submitter	complete_submitter	draft_release_date	complete_release_date	n_complete_in_group	n_draft_in_group	draft_ftp	complete_ftp
same_biosample	SAMN12368149	GCA_009762295.2	GCA_009762305.2	Zalophus californianus	vertebrate_mammalian	9704	mZalCal1	Contig	Chromosome	SAMN12368149	SAMN12368149	3096	229	1970935876	2409668595	0.8179	41.500000	41.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-06-12	2020-07-14	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/295/GCA_009762295.2_mZalCal1.alt.v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/305/GCA_009762305.2_mZalCal1.pri.v2/
same_biosample	SAMN12623201	GCA_009762545.1	GCA_009762535.1	Notolabrus celidotus	vertebrate_other	1203425	fNotCel1	Contig	Chromosome	SAMN12623201	SAMN12623201	3286	1600	770553912	846744125	0.9100	41.000000	41.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-17	2019-12-18	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/545/GCA_009762545.1_fNotCel1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/535/GCA_009762535.1_fNotCel1.pri/
same_biosample	SAMN12629498	GCA_009762595.2	GCA_009764565.4	Dermochelys coriacea	vertebrate_other	27794	rDerCor1	Scaffold	Chromosome	SAMN12629498	SAMN12629498	9006	706	1444786651	2164762090	0.6674	43.500000	43.500000	na	na	Vertebrate Genomes Project	G10K	2020-12-08	2021-08-25	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/595/GCA_009762595.2_rDerCor1.alt.v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/565/GCA_009764565.4_rDerCor1.pri.v4/
same_biosample	SAMN12629505	GCA_009764485.1	GCA_009764475.2	Pristis pectinata	vertebrate_other	685728	sPriPec2	Contig	Chromosome	SAMN12629505	SAMN12629505	10892	870	1694166684	2267840987	0.7470	42.500000	42.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-18	2019-12-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/485/GCA_009764485.1_sPriPec2.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/475/GCA_009764475.2_sPriPec2.1.pri/
same_biosample	SAMN12621036	GCA_009764505.1	GCA_009769465.1	Tauraco erythrolophus	vertebrate_other	121530	bTauEry1	Contig	Chromosome	SAMN12621036	SAMN12621036	3476	484	1084112861	1252271553	0.8657	42.500000	42.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-18	2019-12-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/505/GCA_009764505.1_bTauEry1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/465/GCA_009769465.1_bTauEry1.pri/
same_biosample	SAMN12631222	GCA_009764545.1	GCA_009764595.1	Geothlypis trichas	vertebrate_other	135433	bGeoTri1	Scaffold	Chromosome	SAMN12631222	SAMN12631222	4977	1757	976433058	1078128490	0.9057	42.000000	42.000000	na	na	G10K	G10K	2019-12-18	2019-12-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/545/GCA_009764545.1_bGeoTri1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/595/GCA_009764595.1_bGeoTri1.pri/
same_biosample	SAMN12621369	GCA_009769485.2	GCA_009769625.2	Cygnus olor	vertebrate_other	8869	bCygOlo1	Scaffold	Chromosome	SAMN12621369	SAMN12621369	5640	621	814594871	1134169903	0.7182	42.000000	42.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2021-03-30	2021-03-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/485/GCA_009769485.2_bCygOlo1.alt.v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/625/GCA_009769625.2_bCygOlo1.pri.v2/
same_biosample	SAMN12623217	GCA_009769505.1	GCA_009769525.1	Pterocles gutturalis	vertebrate_other	240206	bPteGut1	Contig	Chromosome	SAMN12623217	SAMN12623217	1958	330	1037717354	1127398289	0.9205	42.500000	42.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-19	2019-12-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/505/GCA_009769505.1_bPteGut1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/525/GCA_009769525.1_bPteGut1.pri/
same_biosample	SAMN12629502	GCA_009769515.1	GCA_009769545.1	Cyclopterus lumpus	vertebrate_other	8103	fCycLum1	Contig	Chromosome	SAMN12629502	SAMN12629502	1866	395	480967379	572885595	0.8396	43.000000	43.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-19	2019-12-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/515/GCA_009769515.1_fCycLum1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/545/GCA_009769545.1_fCycLum1.pri/
same_biosample	SAMN12629499	GCA_009769695.1	GCA_009769535.1	Thamnophis elegans	vertebrate_other	35005	rThaEle1	Scaffold	Chromosome	SAMN12629499	SAMN12629499	13642	1883	1814330211	1672190305	1.0850	41.000000	41.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-19	2019-12-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/695/GCA_009769695.1_rThaEle1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/535/GCA_009769535.1_rThaEle1.pri/
same_biosample	SAMN12614799	GCA_009769595.1	GCA_009769605.1	Bucorvus abyssinicus	vertebrate_other	153643	bBucAby1	Contig	Chromosome	SAMN12614799	SAMN12614799	3527	316	1024138499	1132597561	0.9042	43.500000	43.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-19	2019-12-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/595/GCA_009769595.1_bBucAby1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/605/GCA_009769605.1_bBucAby1.pri/
same_biosample	SAMN12614807	GCA_009819485.1	GCA_009819825.1	Cariama cristata	vertebrate_other	54380	bCarCri1	Scaffold	Chromosome	SAMN12614807	SAMN12614807	2841	303	930239327	1215224075	0.7655	42.500000	42.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/485/GCA_009819485.1_bCarCri1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/825/GCA_009819825.1_bCarCri1.pri/
same_biosample	SAMN12618602	GCA_009819505.2	GCA_009819885.2	Catharus ustulatus	vertebrate_other	91951	bCatUst1	Scaffold	Chromosome	SAMN12618602	SAMN12618602	3614	589	1128658440	1131616530	0.9974	43.000000	42.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-11-05	2020-12-22	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/505/GCA_009819505.2_bCatUst1.alt.v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/885/GCA_009819885.2_bCatUst1.pri.v2/
same_biosample	SAMN12629509	GCA_009819545.1	GCA_009819535.1	Lacerta agilis	vertebrate_other	80427	rLacAgi1	Scaffold	Chromosome	SAMN12629509	SAMN12629509	12662	407	1429379209	1391387079	1.0273	44.000000	43.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/545/GCA_009819545.1_rLacAgi1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/535/GCA_009819535.1_rLacAgi1.pri/
same_biosample	SAMN12621035	GCA_009819585.1	GCA_009819595.1	Merops nubicus	vertebrate_other	57421	bMerNub1	Contig	Chromosome	SAMN12621035	SAMN12621035	3296	377	1122486764	1149337515	0.9766	43.000000	43.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/585/GCA_009819585.1_bMerNub1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/595/GCA_009819595.1_bMerNub1.pri/
same_biosample	SAMN12369541	GCA_009819645.1	GCA_009819605.1	Sterna hirundo	vertebrate_other	108405	bSteHir1	Contig	Chromosome	SAMN12369541	SAMN12369541	2235	327	1175438911	1229953488	0.9557	43.000000	43.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/645/GCA_009819645.1_bSteHir1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/605/GCA_009819605.1_bSteHir1.pri/
same_biosample	SAMN12369542	GCA_009819715.1	GCA_009819655.1	Sylvia atricapilla	vertebrate_other	48155	bSylAtr1	Scaffold	Chromosome	SAMN12369542	SAMN12369542	3568	602	991486332	1066786587	0.9294	42.000000	42.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/715/GCA_009819715.1_bSylAtr1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/655/GCA_009819655.1_bSylAtr1.pri/
same_biosample	SAMN12629501	GCA_009819745.1	GCA_009819705.1	Hippoglossus hippoglossus	vertebrate_other	8267	fHipHip1	Scaffold	Chromosome	SAMN12629501	SAMN12629501	4115	346	676690381	596775069	1.1339	42.500000	42.000000	na	na	G10K	Vertebrate Genomes Project	2019-12-27	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/745/GCA_009819745.1_fHipHip1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/705/GCA_009819705.1_fHipHip1.pri/
same_biosample	SAMN12614931	GCA_009819805.1	GCA_009819775.1	Phoenicopterus ruber ruber	vertebrate_other	9217	bPhoRub2	Contig	Chromosome	SAMN12614931	SAMN12614931	3529	370	1167509893	1246226932	0.9368	43.500000	43.500000	na	na	G10K	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/805/GCA_009819805.1_bPhoRub2.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/775/GCA_009819775.1_bPhoRub2.pri/
same_biosample	SAMN12621346	GCA_009819845.1	GCA_009819795.1	Aythya fuligula	vertebrate_other	219594	bAytFul2	Scaffold	Chromosome	SAMN12621346	SAMN12621346	781	267	1013629683	1126988109	0.8994	41.500000	41.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2019-12-23	2019-12-31	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/845/GCA_009819845.1_bAytFul2.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/795/GCA_009819795.1_bAytFul2.pri/
same_biosample	SAMN12629500	GCA_009829135.1	GCA_009829125.3	Periophthalmus magnuspinnatus	vertebrate_other	409849	fPerMag1	Scaffold	Chromosome	SAMN12629500	SAMN12629500	2800	821	698977026	752605561	0.9287	40.000000	40.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-01-03	2023-03-21	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/135/GCA_009829135.1_fPerMag1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/125/GCA_009829125.3_fPerMag1.2.pri/
same_biosample	SAMN12620979	GCA_009829205.1	GCA_009829145.1	Chiroxiphia lanceolata	vertebrate_other	296741	bChiLan1	Contig	Chromosome	SAMN12620979	SAMN12620979	4269	299	1054616617	1089631598	0.9679	42.000000	42.000000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-01-03	2020-01-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/205/GCA_009829205.1_bChiLan1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/145/GCA_009829145.1_bChiLan1.pri/
same_biosample	SAMN12611999	GCA_009829165.1	GCA_009829155.1	Mustela erminea	vertebrate_mammalian	36723	mMusErm1	Contig	Chromosome	SAMN12611999	SAMN12611999	3327	292	1640216494	2445200799	0.6708	41.500000	41.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-01-03	2020-01-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/165/GCA_009829165.1_mMusErm1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/155/GCA_009829155.1_mMusErm1.Pri/
same_biosample	SAMN07947704	GCA_009867275.1	GCA_018884485.1	Escherichia coli	bacteria	562	strain=E275 a	Contig	Complete Genome	SAMN07947704	SAMN07947704	178	5	5231721	5371942	0.9739	50.500000	50.500000	from large multi-isolate project	na	University of Maryland, School of Medicine	University of Maryland, School of Medicine	2020-01-14	2021-06-15	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/275/GCA_009867275.1_ASM986727v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/485/GCA_018884485.1_ASM1888448v1/
same_biosample	SAMN13075196	GCA_013150945.1	GCA_009931475.1	Shigella flexneri	bacteria	623	strain=5908.2	Contig	Complete Genome	SAMN13075196	SAMN13075196	456	2	4500648	4686959	0.9602	50.500000	51.000000	na	na	University of Bern	University of Bern	2020-05-22	2020-01-27	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/150/945/GCA_013150945.1_ASM1315094v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/931/475/GCA_009931475.1_ASM993147v1/
same_biosample	SAMN13075195	GCA_013150935.1	GCA_009931495.2	Shigella sonnei	bacteria	624	strain=6904.27	Contig	Complete Genome	SAMN13075195	SAMN13075195	573	2	4530521	4873523	0.9296	51.000000	51.000000	na	na	University of Bern	University of Bern	2020-05-22	2020-06-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/150/935/GCA_013150935.1_ASM1315093v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/931/495/GCA_009931495.2_ASM993149v2/
same_biosample	SAMN13075194	GCA_013150925.1	GCA_009931515.2	Shigella sonnei	bacteria	624	strain=6607.69	Contig	Complete Genome	SAMN13075194	SAMN13075194	596	2	4685207	4948444	0.9468	50.500000	51.000000	na	na	University of Bern	University of Bern	2020-05-22	2020-06-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/150/925/GCA_013150925.1_ASM1315092v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/931/515/GCA_009931515.2_ASM993151v2/
same_biosample	SAMN13919353	GCA_010067845.1	GCA_052927505.1	Listeria monocytogenes	bacteria	1639	strain=PNUSAL006799	Contig	Complete Genome	SAMN13919353	SAMN13919353	15	1	2943173	2923408	1.0068	38.000000	38.000000	from large multi-isolate project	na	Enteric Diseases Laboratory Branch, Centers for Disease Control and Prevention	University at Albany	2020-01-31	2025-09-30	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/067/845/GCA_010067845.1_PDT000669414.1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/927/505/GCA_052927505.1_NY_Lm_H21/
same_biosample	SAMN13919353	GCA_052191855.1	GCA_052927505.1	Listeria monocytogenes	bacteria	1639	strain=PNUSAL006799	Contig	Complete Genome	SAMN13919353	SAMN13919353	25	1	2897630	2923408	0.9912	38.000000	38.000000	from large multi-isolate project	na	University at Albany	University at Albany	2025-08-22	2025-09-30	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/191/855/GCA_052191855.1_ASM5219185v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/927/505/GCA_052927505.1_NY_Lm_H21/
same_biosample	SAMN12508049	GCA_010137775.1	GCA_011307235.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p2_0614	Contig	Chromosome	SAMN12508049	SAMN12508049	76	4	2536309	2600860	0.9752	32.000000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/137/775/GCA_010137775.1_ASM1013777v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/307/235/GCA_011307235.1_ASM1130723v1/
same_biosample	SAMN12508047	GCA_010137805.1	GCA_011307015.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p1_0612	Contig	Chromosome	SAMN12508047	SAMN12508047	48	4	2597608	2641854	0.9833	32.000000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/137/805/GCA_010137805.1_ASM1013780v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/307/015/GCA_011307015.1_ASM1130701v1/
same_biosample	SAMN12508002	GCA_010138725.1	GCA_011306775.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p1_0563	Contig	Chromosome	SAMN12508002	SAMN12508002	97	3	2745492	2555535	1.0743	32.000000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/138/725/GCA_010138725.1_ASM1013872v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/306/775/GCA_011306775.1_ASM1130677v1/
same_biosample	SAMN12507996	GCA_010138855.1	GCA_011306595.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p1_0557	Contig	Chromosome	SAMN12507996	SAMN12507996	198	6	2495657	2569240	0.9714	32.000000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/138/855/GCA_010138855.1_ASM1013885v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/306/595/GCA_011306595.1_ASM1130659v1/
same_biosample	SAMN12508243	GCA_010144235.1	GCA_011307475.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p3_0825	Contig	Chromosome	SAMN12508243	SAMN12508243	356	4	2634233	2515051	1.0474	32.000000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/144/235/GCA_010144235.1_ASM1014423v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/307/475/GCA_011307475.1_ASM1130747v1/
same_biosample	SAMN12508595	GCA_010167255.1	GCA_011307595.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p1_1200	Contig	Chromosome	SAMN12508595	SAMN12508595	133	5	2503985	2550919	0.9816	32.000000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/167/255/GCA_010167255.1_ASM1016725v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/307/595/GCA_011307595.1_ASM1130759v1/
same_biosample	SAMN12508927	GCA_010169135.1	GCA_011307715.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p4_1553	Contig	Chromosome	SAMN12508927	SAMN12508927	285	4	2315542	2542477	0.9107	32.500000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/169/135/GCA_010169135.1_ASM1016913v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/307/715/GCA_011307715.1_ASM1130771v1/
same_biosample	SAMN12508754	GCA_010172585.1	GCA_011307695.1	Staphylococcus epidermidis	bacteria	1282	strain=SESURV_p3_1362	Contig	Chromosome	SAMN12508754	SAMN12508754	468	3	2271661	2501908	0.9080	32.500000	32.000000	from large multi-isolate project	na	The Jackson Laboratory	The Jackson Laboratory	2020-02-04	2020-03-16	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/172/585/GCA_010172585.1_ASM1017258v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/307/695/GCA_011307695.1_ASM1130769v1/
same_biosample	SAMN11308573	GCA_010580585.1	GCA_018504655.2	Homo sapiens	vertebrate_mammalian	9606	NA21309	Contig	Chromosome	SAMN11308573	SAMN11308573	1252	108	2896647367	3047902479	0.9504	41.000000	41.000000	na	na	McDonnell Genome Institute at Washington University	UCSC Genomics Institute	2020-02-13	2024-10-17	2	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/580/585/GCA_010580585.1_NA21309_prelim_1.0/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/504/655/GCA_018504655.2_NA21309_mat_hprc_f2/
same_biosample	SAMN09948523	GCA_010909745.1	GCA_010909765.2	Amblyraja radiata	vertebrate_other	386614	CabotCenter1	Scaffold	Chromosome	SAMN09948523	SAMN09948523	21995	4672	1462441988	2558784953	0.5715	44.500000	44.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-02-14	2020-02-21	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/745/GCA_010909745.1_sAmbRad1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/765/GCA_010909765.2_sAmbRad1.1.pri/
same_biosample	SAMN12629506	GCA_010993595.1	GCA_010993605.1	Petromyzon marinus	vertebrate_other	7757	kPetMar1	Scaffold	Chromosome	SAMN12629506	SAMN12629506	4075	2363	841632067	1089034212	0.7728	48.500000	48.500000	na	superseded by newer assembly for species	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-02-24	2020-02-24	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/993/595/GCA_010993595.1_kPetMar1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/993/605/GCA_010993605.1_kPetMar1.pri/
same_biosample	SAMN12623624	GCA_011004835.1	GCA_011004845.1	Esox lucius	vertebrate_other	8010	fEsoLuc1	Scaffold	Chromosome	SAMN12623624	SAMN12623624	3824	164	622571242	918731919	0.6776	42.500000	42.000000	genome length too small	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-02-24	2020-03-05	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/004/835/GCA_011004835.1_fEsoLuc1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/004/845/GCA_011004845.1_fEsoLuc1.pri/
same_biosample	SAMN12615749	GCA_011004865.1	GCA_011004875.1	Balearica regulorum gibbericeps	vertebrate_other	925459	bBalReg1	Scaffold	Chromosome	SAMN12615749	SAMN12615749	975	248	1042364165	1221032548	0.8537	42.500000	42.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-02-24	2020-03-05	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/004/865/GCA_011004865.1_bBalReg1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/004/875/GCA_011004875.1_bBalReg1.pri/
same_biosample	SAMN12629507	GCA_011100645.1	GCA_011100635.1	Trichosurus vulpecula	vertebrate_mammalian	9337	mTriVul1	Scaffold	Chromosome	SAMN12629507	SAMN12629507	12446	2006	2591928569	3359330516	0.7716	39.500000	39.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-03-09	2020-03-10	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/100/645/GCA_011100645.1_mTriVul1.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/100/635/GCA_011100635.1_mTriVul1.pri/
same_biosample	SAMN13293682	GCA_035221575.1	GCA_011386835.2	Chrysemys picta bellii	vertebrate_other	8479	R12L10	Scaffold	Chromosome	SAMN13293682	SAMN13293682	7676	11120	2336887892	2372089908	0.9852	45.000000	45.000000	na	na	Washington University	St. Louis University	2024-01-08	2023-09-08	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/221/575/GCA_035221575.1_ASM3522157v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/386/835/GCA_011386835.2_ASM1138683v2/
same_biosample	SAMN13293682	GCA_035221595.1	GCA_011386835.2	Chrysemys picta bellii	vertebrate_other	8479	R12L10	Scaffold	Chromosome	SAMN13293682	SAMN13293682	11363	11120	2329101047	2372089908	0.9819	45.000000	45.000000	na	na	Washington University	St. Louis University	2024-01-08	2023-09-08	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/221/595/GCA_035221595.1_ASM3522159v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/386/835/GCA_011386835.2_ASM1138683v2/
same_biosample	SAMN12611849	GCA_011750645.1	GCA_011762505.3	Arvicanthis niloticus	vertebrate_mammalian	61156	mArvNil1	Scaffold	Chromosome	SAMN12611849	SAMN12611849	3135	3219	2486141644	2496761438	0.9957	41.500000	41.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-03-25	2025-01-29	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/750/645/GCA_011750645.1_mArvNil1.mat/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/762/505/GCA_011762505.3_mArvNil1.pat.X/
same_biosample	SAMN12611849	GCA_011762545.1	GCA_011762505.3	Arvicanthis niloticus	vertebrate_mammalian	61156	mArvNil1	Scaffold	Chromosome	SAMN12611849	SAMN12611849	3303	3219	2517706780	2496761438	1.0084	41.500000	41.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-03-25	2025-01-29	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/762/545/GCA_011762545.1_mArvNil1.pat/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/762/505/GCA_011762505.3_mArvNil1.pat.X/
same_biosample	SAMN12326775	GCA_011762515.1	GCA_011762595.2	Tursiops truncatus	vertebrate_mammalian	9739	mTurTru1	Scaffold	Chromosome	SAMN12326775	SAMN12326775	2032	1035	2378995196	2378505825	1.0002	41.500000	41.500000	na	na	Vertebrate Genomes Project	Vertebrate Genomes Project	2020-03-25	2024-12-12	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/762/515/GCA_011762515.1_mTurTru1.pat/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/762/595/GCA_011762595.2_mTurTru1.mat.Y/
