accession	cohort	domain	n_proteins	n_profiles_in_set	n_bact_families	n_arch_families	n_families_detected	frac_profiles_detected	n_families_multicopy_raw	n_families_multicopy	n_pairs_rejected_split_gene	frac_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_valid	n_dup_pairs_diff_contig	n_dup_pairs_scored	mean_dup_pair_identity	median_dup_pair_identity	min_dup_pair_identity	n_dup_pairs_divergent	n_dup_pairs_strongly_divergent	n_dup_pairs_near_identical	frac_dup_pairs_divergent	n_divergent_families	n_strongly_divergent_families	divergent_dup_families_per_100_profiles	strongly_divergent_families_per_100_profiles	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct
GCA_050171275.1	agree_clean	bacteria	1411	85	81	31	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.66359	0.18409789	99.97	0.34	1374970	3	868288	48.78
GCA_050186415.1	agree_clean	bacteria	7333	85	81	32	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.90043	1.1943638	94.38	4.53	7637527	423	26909	69.166
GCA_050253165.1	agree_clean	bacteria	2495	85	85	31	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	94.57095	3.0933022	100.0	0.25	2646749	35	132814	47.636
GCA_050294045.1	agree_clean	bacteria	3606	85	46	17	46	0.5412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	92.97124	0.47628284	92.17	0.75	3927163	329	39754	50.374
GCA_051002135.1	agree_clean	bacteria	4392	85	80	31	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.68625	0.7528186	94.55	1.6	4244996	86	74501	62.01
GCA_051751625.1	agree_clean	bacteria	3846	85	84	35	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.93886	0.7223159	100.0	0.0	3769924	53	263576	41.434
GCA_051859865.1	agree_clean	bacteria	3588	85	77	29	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.84517	0.30021667	91.91	3.5	3413646	588	8012	43.759
GCA_051861365.1	agree_clean	bacteria	3094	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.77156	1.5273005	99.99	0.09	3379704	75	101520	39.202
GCA_052271025.1	agree_clean	bacteria	2477	85	84	33	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.3621	0.3621	0.3621	1	1	0	1.0	1	1	1.176	1.176	96.86636	0.040370226	99.97	0.03	2658611	221	27535	41.16
GCA_052347385.1	agree_clean	bacteria	3850	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.92682	0.19849241	99.99	0.24	4863133	47	199749	41.288
GCA_052746475.1	agree_clean	bacteria	3925	85	84	38	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.76361	0.39822757	99.98	0.71	4463789	187	40482	58.292
GCA_053492575.1	agree_clean	bacteria	3969	85	80	35	80	0.9412	1	1	0	0.0125	1	2	1	1	1	1	0.3358	0.3358	0.3358	1	1	0	1.0	1	1	1.176	1.176	99.82562	2.6068807	97.88	0.33	4743184	135	54576	55.283
GCA_054012295.1	agree_clean	bacteria	1851	85	83	28	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.919785	0.003105402	99.97	0.0	1805196	35	100355	47.263
GCA_054320415.1	agree_clean	bacteria	8741	85	80	31	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.939545	0.22681952	93.37	3.23	9217369	528	21067	67.584
GCA_055082815.1	agree_clean	bacteria	5272	85	77	35	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.749985	0.20712614	95.08	3.2	5955880	149	56105	66.569
GCA_055874565.1	agree_clean	bacteria	3298	85	82	34	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.82025	2.6424587	99.18	0.02	4232040	73	84836	55.348
GCA_055896255.1	agree_clean	bacteria	2666	85	75	36	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	97.288605	0.39580762	95.04	1.88	2879004	100	41654	61.345
GCA_900540455.1	agree_clean	bacteria	2106	85	79	29	79	0.9294	2	1	1	0.0127	2	2	2	1	1	1	0.5631	0.5631	0.5631	1	1	0	1.0	1	1	1.176	1.176	97.659836	0.13589859	94.96	0.1	2304686	71	56556	58.189
GCA_900768675.1	agree_clean	bacteria	2184	85	83	34	83	0.9765	15	15	0	0.1807	15	2	15	15	15	15	0.8453	0.8246	0.723	10	4	1	0.6667	10	4	11.765	4.706	99.95923	0.05055666	91.07	3.18	2266394	255	11681	46.813
GCA_902463845.1	agree_clean	bacteria	4097	85	82	33	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.83244	1.5416235	96.54	0.72	4988607	373	20679	52.208
GCA_902483105.1	agree_clean	bacteria	2502	85	85	32	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.3341	0.3341	0.3341	1	1	0	1.0	1	1	1.176	1.176	99.80503	0.09149313	99.24	0.02	2929430	95	42023	53.805
GCA_902636375.1	agree_clean	bacteria	1200	85	77	26	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	97.9107	0.37278533	97.63	0.11	1191137	222	7620	35.071
GCA_902757675.1	agree_clean	bacteria	2576	85	85	36	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94302	0.9060025	99.93	1.11	3047119	21	221010	48.818
GCA_902776905.1	agree_clean	bacteria	2573	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.85149	1.1238962	95.45	0.25	3013282	21	254085	42.162
GCA_902784765.1	agree_clean	bacteria	2719	85	76	33	76	0.8941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96105	1.6389608	91.3	0.93	2754885	268	14109	58.413
GCA_903829475.1	agree_clean	bacteria	4190	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94342	0.52413344	100.0	2.69	4243950	275	27476	65.111
GCA_903854505.1	agree_clean	bacteria	3309	85	82	36	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.871864	1.3348728	98.57	2.96	3680408	53	231589	57.869
GCA_903858585.1	agree_clean	bacteria	4570	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.64584	3.003326	96.45	0.65	4847558	154	78039	49.905
GCA_903878475.1	agree_clean	bacteria	2658	85	84	31	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.7676	0.7676	0.7676	1	1	0	1.0	1	1	1.176	1.176	91.87286	0.07328093	100.0	1.0	2852283	245	17427	42.9
GCA_903887525.1	agree_clean	bacteria	6313	85	82	32	82	0.9647	1	1	0	0.0122	1	2	1	1	1	1	0.6531	0.6531	0.6531	1	1	0	1.0	1	1	1.176	1.176	98.945175	2.5314152	99.87	2.54	7270480	284	51306	69.402
GCA_903899585.1	agree_clean	bacteria	1748	85	81	29	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96644	1.1785954	100.0	1.83	1892871	240	13105	53.422
GCA_903901325.1	agree_clean	bacteria	2004	85	83	29	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95869	0.5975932	94.78	0.03	2326884	95	44649	42.448
GCA_903908245.1	agree_clean	bacteria	1977	85	75	28	75	0.8824	1	1	0	0.0133	1	2	1	1	1	1	0.3737	0.3737	0.3737	1	1	0	1.0	1	1	1.176	1.176	99.83391	0.9433329	93.81	0.26	2159815	34	80993	52.298
GCA_903948385.1	agree_clean	bacteria	3120	85	79	29	79	0.9294	2	0	2	0.0	2	2	2	0	0	0				0	0	0		0	0	0.0	0.0	95.98978	0.046172738	91.88	2.19	3234338	648	6352	61.441
GCA_905182275.1	agree_clean	bacteria	1910	85	81	32	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	95.56537	0.011172891	90.94	0.17	2017503	88	34914	46.067
GCA_905198135.1	agree_clean	bacteria	1694	85	82	29	82	0.9647	1	1	0	0.0122	1	2	1	1	1	1	0.3359	0.3359	0.3359	1	1	0	1.0	1	1	1.176	1.176	99.68858	0.9375721	97.43	1.85	1689097	44	63066	28.096
GCA_905198875.1	agree_clean	bacteria	2875	85	83	34	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94942	0.40293932	99.99	0.39	3625935	48	134584	48.787
GCA_905373265.1	agree_clean	bacteria	2714	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91494	0.39080977	99.59	0.08	2955558	89	64723	38.517
GCA_910577175.1	agree_clean	bacteria	2843	85	83	35	83	0.9765	4	4	0	0.0482	4	2	4	4	4	4	0.8237	0.8243	0.733	3	1	0	0.75	3	1	3.529	1.176	99.95828	1.1068612	99.77	2.14	3142315	29	203908	47.543
GCA_910577855.1	agree_clean	bacteria	2743	85	83	34	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	0.3741	0.3741	0.3741	1	1	0	1.0	1	1	1.176	1.176	99.980095	2.0398111	95.61	0.07	2953134	85	59439	42.87
GCA_913057135.1	agree_clean	bacteria	2632	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.651344	0.16030967	98.5	0.03	2857914	103	57034	55.258
GCA_913057855.1	agree_clean	bacteria	4367	85	85	31	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91008	0.5525589	99.75	0.0	4379164	83	109962	58.773
GCA_913061305.1	agree_clean	bacteria	2530	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	91.350494	1.4734298	99.59	0.05	2680786	16	327643	54.279
GCA_919901925.1	agree_clean	bacteria	1706	85	75	30	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.707184	3.8915367	90.75	3.37	1788000	201	15479	43.281
GCA_934294665.1	agree_clean	bacteria	1434	85	85	29	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.4699	0.4699	0.4699	1	1	0	1.0	1	1	1.176	1.176	99.890335	0.46296716	100.0	0.79	1481515	15	161989	41.075
GCA_934838595.1	agree_clean	bacteria	2083	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.942	3.1689405	94.19	0.52	2268677	130	32387	56.199
GCA_934841885.1	agree_clean	bacteria	2338	85	80	31	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.77867	0.22298396	94.23	1.81	2557042	61	71482	44.487
GCA_934876215.1	agree_clean	bacteria	2279	85	85	34	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.4231	0.4231	0.4231	1	1	0	1.0	1	1	1.176	1.176	99.56044	0.30352473	98.14	0.18	2390799	48	119964	58.535
GCA_937881015.1	agree_clean	bacteria	1793	85	85	31	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95352	0.14821589	99.99	0.2	1782169	34	95708	37.767
GCA_937900615.1	agree_clean	bacteria	2281	85	76	32	76	0.8941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.80444	0.2353549	95.35	3.25	2351071	229	16462	36.273
GCA_937901415.1	agree_clean	bacteria	4760	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.93098	0.89885294	100.0	0.13	4908699	93	256802	53.518
GCA_937930455.1	agree_clean	bacteria	2333	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.275375	4.8735647	99.21	0.37	2488096	52	110528	59.477
GCA_937966125.1	agree_clean	bacteria	2636	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96088	0.9984046	99.86	0.03	2839122	86	70031	44.678
GCA_937996995.1	agree_clean	bacteria	3775	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.97359	0.58603287	99.85	0.0	4163586	13	517405	43.715
GCA_938022355.1	agree_clean	bacteria	1843	85	85	28	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.701225	0.12657344	95.46	0.24	2025830	147	20127	29.958
GCA_938023125.1	agree_clean	bacteria	1608	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91267	0.08299053	93.03	0.05	1943769	21	154792	48.771
GCA_938045305.1	agree_clean	bacteria	1502	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96401	0.325647	98.01	0.0	1746719	33	136042	53.035
GCA_938074245.1	agree_clean	bacteria	3493	85	75	29	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.73796	0.0287503	94.58	0.4	3273357	98	56520	49.3
GCA_944321905.1	agree_clean	bacteria	2197	85	75	29	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	96.518005	0.25175214	92.39	1.77	2540804	162	23085	48.025
GCA_944324785.1	agree_clean	bacteria	2277	85	85	31	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.4078	0.4078	0.4078	1	1	0	1.0	1	1	1.176	1.176	96.68759	0.4754573	96.51	1.11	2237681	91	33893	34.818
GCA_945877265.1	agree_clean	bacteria	1253	85	83	25	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.58615	0.8329153	95.26	0.14	1256459	93	19499	34.135
GCA_945932775.1	agree_clean	bacteria	2383	85	64	24	64	0.7529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.942505	0.24401248	95.88	0.54	2567810	62	69332	37.499
GCA_945995735.1	agree_clean	bacteria	2351	85	81	31	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96374	0.046503544	93.87	0.1	2944996	140	31553	51.903
GCA_946415095.1	agree_clean	bacteria	2403	85	57	22	57	0.6706	1	1	0	0.0175	1	2	1	1	1	1	0.3414	0.3414	0.3414	1	1	0	1.0	1	1	1.176	1.176	96.31287	0.008517504	91.97	0.0	2558989	129	35047	41.878
GCA_947002705.1	agree_clean	bacteria	2001	85	83	34	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.60063	0.67433417	95.17	0.06	2283128	112	31609	56.76
GCA_947061575.1	agree_clean	bacteria	2618	85	85	34	85	1.0	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	93.18428	4.1811676	94.27	0.31	2667264	72	70576	56.475
GCA_947345855.1	agree_clean	bacteria	2277	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.89972	0.31709373	99.99	0.0	2664286	45	91990	50.037
GCA_947346975.1	agree_clean	bacteria	3210	85	81	33	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96501	0.07086098	98.34	0.53	3241396	90	52661	43.767
GCA_947363225.1	agree_clean	bacteria	2278	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.77115	0.9122461	99.99	0.23	2689261	25	180575	55.623
GCA_947368725.1	agree_clean	bacteria	1737	85	83	31	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.66681	0.13227165	95.19	0.16	2079898	33	110371	60.118
GCA_947378535.1	agree_clean	bacteria	3504	85	53	17	53	0.6235	1	1	0	0.0189	1	2	1	1	1	1	0.9617	0.9617	0.9617	0	0	1	0.0	0	0	0.0	0.0	95.30142	0.022408366	90.57	1.03	3460565	276	18896	50.32
GCA_947473205.1	agree_clean	bacteria	2555	85	85	33	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.3428	0.3428	0.3428	1	1	0	1.0	1	1	1.176	1.176	99.97269	0.70943236	99.44	0.37	3078553	54	85115	36.934
GCA_947488205.1	agree_clean	bacteria	3018	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.97652	0.46163797	99.8	0.07	3041856	15	768274	45.112
GCA_947494825.1	agree_clean	bacteria	4189	85	84	35	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.79123	0.36058724	99.98	0.13	4540785	33	726335	45.186
GCA_947566755.1	agree_clean	bacteria	2637	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.941086	0.23539662	99.33	0.0	3240802	73	76493	47.601
GCA_947572695.1	agree_clean	bacteria	3018	85	83	35	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.57471	0.28131902	95.32	1.03	3226324	94	58144	50.617
GCA_947648685.1	agree_clean	bacteria	2148	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.980316	1.1935651	98.59	0.2	2235503	27	170840	38.182
GCA_948440595.1	agree_clean	bacteria	2251	85	49	20	49	0.5765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9191	0.041490793	90.52	0.65	2761562	241	15582	49.961
GCA_948486125.1	agree_clean	bacteria	1711	85	81	34	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.16814	0.13685822	92.4	0.83	1788210	48	48782	38.654
GCA_948487565.1	agree_clean	bacteria	2050	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.945946	0.923121	90.72	0.31	2556548	44	81416	46.713
GCA_948511085.1	agree_clean	bacteria	2222	85	84	35	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.90236	0.40468872	98.6	0.48	2650792	78	65349	48.621
GCA_948531775.1	agree_clean	bacteria	2023	85	84	31	84	0.9882	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	99.80026	0.9151578	98.28	0.0	2196853	54	71802	43.651
GCA_948532585.1	agree_clean	bacteria	2232	85	85	32	85	1.0	4	3	3	0.0353	5	3	6	3	3	3	0.9076	0.9169	0.8765	1	0	0	0.3333	1	0	1.176	0.0	99.97565	0.80071986	99.78	3.0	2581710	118	95563	55.815
GCA_948539115.1	agree_clean	bacteria	2046	85	75	30	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.834114	0.19524097	92.55	0.37	2507112	82	52728	51.812
GCA_948565335.1	agree_clean	bacteria	2278	85	84	34	84	0.9882	1	1	0	0.0119	1	2	1	1	0	1	0.351	0.351	0.351	1	1	0	1.0	1	1	1.176	1.176	99.94096	0.29732585	99.83	0.0	2678100	57	92045	50.196
GCA_948568525.1	agree_clean	bacteria	2240	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.955185	0.461787	99.97	0.24	2536498	34	120047	50.047
GCA_948576655.1	agree_clean	bacteria	1914	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.986725	0.0091433525	95.86	0.12	2106020	40	168367	52.887
GCA_948583585.1	agree_clean	bacteria	2010	85	67	28	67	0.7882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9434	0.1627475	93.65	0.4	2487911	94	42883	50.532
GCA_948592635.1	agree_clean	bacteria	1928	85	84	33	84	0.9882	1	1	0	0.0119	2	3	3	3	3	3	0.3712	0.3808	0.3127	3	3	0	1.0	1	1	1.176	1.176	99.971085	0.45664012	99.75	0.12	2205229	77	57547	50.214
GCA_948614825.1	agree_clean	bacteria	2303	85	75	30	75	0.8824	2	1	1	0.0133	2	2	2	1	0	1	0.351	0.351	0.351	1	1	0	1.0	1	1	1.176	1.176	99.94823	0.24504364	95.86	0.22	2705365	53	104734	50.264
GCA_948620335.1	agree_clean	bacteria	3739	85	77	33	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96773	1.1258602	90.26	0.18	4374185	81	85125	51.118
GCA_948627575.1	agree_clean	bacteria	2941	85	83	34	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9246	0.89796185	100.0	0.19	3139252	76	104142	39.683
GCA_948651835.1	agree_clean	bacteria	3293	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91113	2.1126866	100.0	1.86	3709216	130	60123	48.168
GCA_948668855.1	agree_clean	bacteria	4349	85	83	32	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.962265	4.303226	99.91	0.85	4455515	310	82065	46.21
GCA_948669905.1	agree_clean	bacteria	2097	85	85	30	85	1.0	4	4	0	0.0471	4	2	4	4	4	4	0.6467	0.7107	0.5283	4	4	0	1.0	4	4	4.706	4.706	99.97215	0.393489	95.45	1.31	2442385	84	45086	54.622
GCA_948675425.1	agree_clean	bacteria	1659	85	83	31	83	0.9765	2	2	0	0.0241	2	2	2	2	2	2	0.6236	1.0	0.2472	1	1	1	0.5	1	1	1.176	1.176	99.973816	0.014019012	95.34	2.47	1797971	120	24829	40.952
GCA_948678005.1	agree_clean	bacteria	2020	85	53	22	53	0.6235	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.90504	0.1178056	95.09	1.04	2384992	150	25093	49.144
GCA_948678825.1	agree_clean	bacteria	1788	85	57	21	57	0.6706	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94731	0.11814833	97.88	0.04	1863483	48	61280	34.256
GCA_948688565.1	agree_clean	bacteria	1673	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.93964	0.5562663	95.51	0.17	1770815	52	101249	44.707
GCA_948699335.1	agree_clean	bacteria	2530	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.986374	0.6796479	99.0	0.06	3007115	23	209018	41.441
GCA_948704125.1	agree_clean	bacteria	1989	85	81	31	81	0.9529	1	1	0	0.0123	1	2	1	1	1	1	0.486	0.486	0.486	1	1	0	1.0	1	1	1.176	1.176	99.06023	0.019916892	97.59	2.79	2137341	225	15525	37.684
GCA_948741635.1	agree_clean	bacteria	1877	85	77	30	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91499	0.20927191	95.61	0.21	2174618	11	267351	56.936
GCA_948758425.1	agree_clean	bacteria	2603	85	84	35	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.927444	0.047904253	99.1	1.05	2934808	47	104600	39.104
GCA_948761475.1	agree_clean	bacteria	1946	85	84	30	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9601	0.37207007	99.67	0.19	2323173	53	63344	52.061
GCA_948778225.1	agree_clean	bacteria	2476	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	90.70833	0.030571222	96.22	0.2	2618066	141	32639	55.088
GCA_948784995.1	agree_clean	bacteria	2573	85	84	34	84	0.9882	5	5	0	0.0595	5	2	5	5	5	5	0.8348	0.8607	0.7045	3	2	0	0.6	3	2	3.529	2.353	99.90408	0.5109936	99.99	2.22	2963175	58	141501	49.6
GCA_948785375.1	agree_clean	bacteria	3449	85	81	33	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.98056	0.14372468	91.77	1.29	3831162	72	98258	44.751
GCA_948794155.1	agree_clean	bacteria	1740	85	63	25	63	0.7412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.78258	0.04041493	90.11	0.35	2042163	88	69440	58.022
GCA_948819215.1	agree_clean	bacteria	1202	85	81	26	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.81446	0.07067323	96.07	0.54	1368066	103	20925	34.755
GCA_948836335.1	agree_clean	bacteria	1994	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96897	0.24653375	99.87	0.1	2029096	86	37377	38.452
GCA_948866415.1	agree_clean	bacteria	3128	85	51	20	51	0.6	1	1	0	0.0196	1	2	1	1	1	1	0.3715	0.3715	0.3715	1	1	0	1.0	1	1	1.176	1.176	99.5298	0.72844625	90.58	0.44	3099730	340	12580	48.494
GCA_948869995.1	agree_clean	bacteria	1840	85	82	27	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.92552	0.15960634	99.99	0.04	1835357	71	46705	38.981
GCA_948880845.1	agree_clean	bacteria	2276	85	59	21	59	0.6941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96098	0.7839501	90.11	0.35	2752892	154	23941	50.433
GCA_948900265.1	agree_clean	bacteria	3302	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.93336	0.05955994	98.47	0.82	3722429	265	23752	36.386
GCA_948928145.1	agree_clean	bacteria	2077	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96974	0.40641725	99.96	0.16	2606473	54	73410	50.717
GCA_948945125.1	agree_clean	bacteria	2316	85	69	26	69	0.8118	1	1	0	0.0145	1	2	1	1	1	1	0.3308	0.3308	0.3308	1	1	0	1.0	1	1	1.176	1.176	99.888084	0.045013428	94.85	0.22	2787129	63	85360	53.207
GCA_948989015.1	agree_clean	bacteria	3472	85	58	23	58	0.6824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.872894	0.037670135	92.66	1.42	4182865	169	43317	46.852
GCA_948994475.1	agree_clean	bacteria	2748	85	83	32	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	0.4358	0.4358	0.4358	1	1	0	1.0	1	1	1.176	1.176	99.95598	0.30440688	98.83	0.0	3317621	58	105528	47.455
GCA_948995065.1	agree_clean	bacteria	2558	85	60	24	60	0.7059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94223	0.16052425	92.37	0.67	3105531	76	80043	52.211
GCA_949000995.1	agree_clean	bacteria	1631	85	83	30	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.40743	0.22789836	100.0	1.44	1632744	102	26582	44.117
