accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct	unclassified_pct	informative_kmer_density	mean_contig_confidence_bpw	orig_phylum_contam_pct	orig_phylum_dominant_pct	orig_n_phyla	strict_phylum_contam_pct	strict_qualifying_bp_frac	scg_domain	frac_profiles_detected	n_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_diff_contig	median_dup_pair_identity	n_dup_pairs_divergent	divergent_dup_families_per_100_profiles	gunc_pg21_css	gunc_pg21_pass	gunc_pg21_rrs	gunc_gtdb95_css	gunc_gtdb95_pass	gunc_gtdb95_rrs
GCA_046384805.1	agree_clean	97.049164	0.11541247	97.07	0.05	2731934.0	93.0	53760.0	48.751	3.022	0.000921	0.000214	5.408	87.856	6.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_046952625.1	agree_clean	99.88957	0.43010116	100.0	1.63	2950622.0	26.0	176484.0	44.045	0.0	0.014637	0.010585	0.0	100.0	1.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.3621	1.0	1.176						
GCA_046994035.1	agree_clean	99.78422	3.1470628	97.28	3.83	3806517.0	18.0	375736.0	42.74	0.0	0.012872	0.010681	0.0	100.0	1.0		0.0	bacteria	0.8706	2.0	2.0	2.0	2.0	2.0	0.4899	2.0	2.353						
GCA_047723295.1	agree_clean	99.9581	1.8270195	99.99	0.02	2238666.0	142.0	35675.0	46.374	0.982	0.020896	0.002035	0.579	98.022	2.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_048319185.1	agree_clean	99.93089	0.26269853	100.0	0.72	2897732.0	22.0	214163.0	43.005	0.0	0.016506	0.00827	0.0	100.0	1.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.3772	1.0	1.176						
GCA_049510975.1	agree_clean	99.697205	1.2719005	90.78	1.14	4097705.0	86.0	89998.0	68.604	0.784	0.000863	0.000182	4.709	88.217	4.0		0.0	bacteria	0.9529	3.0	3.0	2.0	3.0	2.0	0.4405	3.0	3.529						
GCA_049581465.1	agree_clean	99.479675	0.082585216	91.06	3.74	6761753.0	1434.0	5827.0	59.887	15.921	0.002239	0.000998	4.289	77.585	15.0		0.0	bacteria	0.8471	0.0	1.0	2.0	1.0	0.0		0.0	0.0						
GCA_050171275.1	agree_clean	99.66359	0.18409789	99.97	0.34	1374970.0	3.0	868288.0	48.78	0.0	0.021019	0.000176	0.0	100.0	1.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_050186415.1	agree_clean	99.90043	1.1943638	94.38	4.53	7637527.0	423.0	26909.0	69.166	2.494	0.001754	0.000458	6.449	84.521	6.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_050253165.1	agree_clean	94.57095	3.0933022	100.0	0.25	2646749.0	35.0	132814.0	47.636	0.892	0.000945	0.000354	0.343	95.596	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_050294045.1	agree_clean	92.97124	0.47628284	92.17	0.75	3927163.0	329.0	39754.0	50.374	1.614	0.019073	0.01622	0.0	98.386	1.0		0.0	bacteria	0.5412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_051002135.1	agree_clean	99.68625	0.7528186	94.55	1.6	4244996.0	86.0	74501.0	62.01	2.69	0.000341	0.000126	48.409	33.441	10.0		0.0	bacteria	0.9412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_051751625.1	agree_clean	99.93886	0.7223159	100.0	0.0	3769924.0	53.0	263576.0	41.434	0.021	0.021948	0.000858	0.0	99.979	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_051859865.1	agree_clean	99.84517	0.30021667	91.91	3.5	3413646.0	588.0	8012.0	43.759	0.518	0.023557	0.021366	0.153	99.189	3.0		0.0	bacteria	0.9059	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_051861365.1	agree_clean	99.77156	1.5273005	99.99	0.09	3379704.0	75.0	101520.0	39.202	1.962	0.001313	0.000809	0.372	96.089	3.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_052271025.1	agree_clean	96.86636	0.040370226	99.97	0.03	2658611.0	221.0	27535.0	41.16	0.814	0.013659	0.011202	0.057	98.977	2.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.3621	1.0	1.176						
GCA_052347385.1	agree_clean	99.92682	0.19849241	99.99	0.24	4863133.0	47.0	199749.0	41.288	0.0	0.020745	0.001503	0.0	100.0	1.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_052746475.1	agree_clean	99.76361	0.39822757	99.98	0.71	4463789.0	187.0	40482.0	58.292	1.998	0.0013	0.000953	1.857	95.315	3.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_053492575.1	agree_clean	99.82562	2.6068807	97.88	0.33	4743184.0	135.0	54576.0	55.283	11.69	0.000275	0.00018	29.542	32.114	11.0		0.0	bacteria	0.9412	1.0	1.0	2.0	1.0	1.0	0.3358	1.0	1.176						
GCA_054012295.1	agree_clean	99.919785	0.003105402	99.97	0.0	1805196.0	35.0	100355.0	47.263	1.942	0.000376	0.00011	14.141	70.615	4.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_054320415.1	agree_clean	99.939545	0.22681952	93.37	3.23	9217369.0	528.0	21067.0	67.584	7.118	0.000601	0.000304	47.418	29.255	16.0		0.0	bacteria	0.9412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_055082815.1	agree_clean	99.749985	0.20712614	95.08	3.2	5955880.0	149.0	56105.0	66.569	2.668	0.000549	0.000191	41.333	37.495	11.0		0.0	bacteria	0.9059	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_055874565.1	agree_clean	99.82025	2.6424587	99.18	0.02	4232040.0	73.0	84836.0	55.348	1.734	0.000368	0.000141	45.641	30.344	10.0		0.0	bacteria	0.9647	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_055896255.1	agree_clean	97.288605	0.39580762	95.04	1.88	2879004.0	100.0	41654.0	61.345	6.632	0.000332	0.000199	46.865	28.706	11.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_900540455.1	agree_clean	97.659836	0.13589859	94.96	0.1	2304686.0	71.0	56556.0	58.189	0.617	0.00315	0.000376	0.162	99.221	2.0		0.0	bacteria	0.9294	1.0	2.0	2.0	2.0	1.0	0.5631	1.0	1.176						
GCA_900768675.1	agree_clean	99.95923	0.05055666	91.07	3.18	2266394.0	255.0	11681.0	46.813	41.33	0.000296	0.000402	24.287	24.12	11.0		0.0	bacteria	0.9765	15.0	15.0	2.0	15.0	15.0	0.8246	10.0	11.765						
GCA_902463845.1	agree_clean	99.83244	1.5416235	96.54	0.72	4988607.0	373.0	20679.0	52.208	30.451	0.000218	0.000237	32.22	24.747	15.0		0.0	bacteria	0.9647	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_902483105.1	agree_clean	99.80503	0.09149313	99.24	0.02	2929430.0	95.0	42023.0	53.805	5.094	0.000521	0.000225	28.973	53.235	9.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.3341	1.0	1.176						
GCA_902636375.1	agree_clean	97.9107	0.37278533	97.63	0.11	1191137.0	222.0	7620.0	35.071	0.252	0.02294	0.001623	0.0	99.748	1.0		0.0	bacteria	0.9059	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_902757675.1	agree_clean	99.94302	0.9060025	99.93	1.11	3047119.0	21.0	221010.0	48.818	0.08	0.000366	6.6e-05	34.863	48.482	3.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_902776905.1	agree_clean	99.85149	1.1238962	95.45	0.25	3013282.0	21.0	254085.0	42.162	1.045	0.000452	0.000102	1.589	95.25	2.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_902784765.1	agree_clean	99.96105	1.6389608	91.3	0.93	2754885.0	268.0	14109.0	58.413	24.022	0.000564	0.00037	36.746	28.486	13.0		0.0	bacteria	0.8941	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_903829475.1	agree_clean	99.94342	0.52413344	100.0	2.69	4243950.0	275.0	27476.0	65.111	4.143	0.001352	0.000335	4.941	87.582	9.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_903854505.1	agree_clean	99.871864	1.3348728	98.57	2.96	3680408.0	53.0	231589.0	57.869	1.776	0.000374	9.5e-05	5.856	85.233	7.0		0.0	bacteria	0.9647	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_903858585.1	agree_clean	99.64584	3.003326	96.45	0.65	4847558.0	154.0	78039.0	49.905	9.221	0.000314	0.00015	32.151	36.701	8.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_903878475.1	agree_clean	91.87286	0.07328093	100.0	1.0	2852283.0	245.0	17427.0	42.9	18.756	0.000473	0.000343	15.944	52.096	9.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.7676	1.0	1.176						
GCA_903887525.1	agree_clean	98.945175	2.5314152	99.87	2.54	7270480.0	284.0	51306.0	69.402	4.567	0.000535	0.000191	42.672	40.287	11.0		0.0	bacteria	0.9647	1.0	1.0	2.0	1.0	1.0	0.6531	1.0	1.176						
GCA_903899585.1	agree_clean	99.96644	1.1785954	100.0	1.83	1892871.0	240.0	13105.0	53.422	32.202	0.000374	0.000407	36.242	24.048	13.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_903901325.1	agree_clean	99.95869	0.5975932	94.78	0.03	2326884.0	95.0	44649.0	42.448	10.567	0.000249	0.000149	49.319	21.021	8.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_903908245.1	agree_clean	99.83391	0.9433329	93.81	0.26	2159815.0	34.0	80993.0	52.298	2.375	0.000268	0.000176	26.057	25.466	6.0		0.0	bacteria	0.8824	1.0	1.0	2.0	1.0	1.0	0.3737	1.0	1.176						
GCA_903948385.1	agree_clean	95.98978	0.046172738	91.88	2.19	3234338.0	648.0	6352.0	61.441	39.281	0.000648	0.00066	31.707	20.709	16.0		0.0	bacteria	0.9294	0.0	2.0	2.0	2.0	0.0		0.0	0.0						
GCA_905182275.1	agree_clean	95.56537	0.011172891	90.94	0.17	2017503.0	88.0	34914.0	46.067	12.56	0.000402	0.000213	11.324	72.333	6.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_905198135.1	agree_clean	99.68858	0.9375721	97.43	1.85	1689097.0	44.0	63066.0	28.096	2.118	0.000575	0.000195	18.604	60.28	8.0		0.0	bacteria	0.9647	1.0	1.0	2.0	1.0	1.0	0.3359	1.0	1.176						
GCA_905198875.1	agree_clean	99.94942	0.40293932	99.99	0.39	3625935.0	48.0	134584.0	48.787	0.107	0.018318	0.0128	0.0	99.893	1.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_905373265.1	agree_clean	99.91494	0.39080977	99.59	0.08	2955558.0	89.0	64723.0	38.517	0.362	0.017121	0.009765	0.956	98.682	4.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_910577175.1	agree_clean	99.95828	1.1068612	99.77	2.14	3142315.0	29.0	203908.0	47.543	0.231	0.000335	9.3e-05	0.447	88.713	2.0		0.0	bacteria	0.9765	4.0	4.0	2.0	4.0	4.0	0.8243	3.0	3.529						
GCA_910577855.1	agree_clean	99.980095	2.0398111	95.61	0.07	2953134.0	85.0	59439.0	42.87	2.935	0.000412	0.000149	15.428	73.608	7.0		0.0	bacteria	0.9765	1.0	1.0	2.0	1.0	1.0	0.3741	1.0	1.176						
GCA_913057135.1	agree_clean	99.651344	0.16030967	98.5	0.03	2857914.0	103.0	57034.0	55.258	7.707	0.0006	0.00023	5.551	84.469	7.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_913057855.1	agree_clean	99.91008	0.5525589	99.75	0.0	4379164.0	83.0	109962.0	58.773	0.949	0.001837	0.000261	0.614	98.351	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_913061305.1	agree_clean	91.350494	1.4734298	99.59	0.05	2680786.0	16.0	327643.0	54.279	0.097	0.000981	0.000341	0.382	98.213	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_919901925.1	agree_clean	99.707184	3.8915367	90.75	3.37	1788000.0	201.0	15479.0	43.281	34.435	0.000225	0.000242	39.106	16.519	14.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_934294665.1	agree_clean	99.890335	0.46296716	100.0	0.79	1481515.0	15.0	161989.0	41.075	0.118	0.000349	9.8e-05	12.984	56.671	5.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.4699	1.0	1.176						
GCA_934838595.1	agree_clean	99.942	3.1689405	94.19	0.52	2268677.0	130.0	32387.0	56.199	16.269	0.000411	0.000258	45.82	18.941	11.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_934841885.1	agree_clean	99.77867	0.22298396	94.23	1.81	2557042.0	61.0	71482.0	44.487	0.24	0.015382	0.012573	0.0	99.76	1.0		0.0	bacteria	0.9412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_934876215.1	agree_clean	99.56044	0.30352473	98.14	0.18	2390799.0	48.0	119964.0	58.535	3.78	0.000776	0.000156	5.257	81.732	3.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.4231	1.0	1.176						
GCA_937881015.1	agree_clean	99.95352	0.14821589	99.99	0.2	1782169.0	34.0	95708.0	37.767	0.0	0.020125	0.012334	0.0	100.0	1.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_937900615.1	agree_clean	99.80444	0.2353549	95.35	3.25	2351071.0	229.0	16462.0	36.273	29.596	0.000408	0.00036	19.902	42.536	11.0		0.0	bacteria	0.8941	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_937901415.1	agree_clean	99.93098	0.89885294	100.0	0.13	4908699.0	93.0	256802.0	53.518	0.0	0.020325	0.004066	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_937930455.1	agree_clean	99.275375	4.8735647	99.21	0.37	2488096.0	52.0	110528.0	59.477	0.299	0.002287	0.000736	0.0	99.701	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_937966125.1	agree_clean	99.96088	0.9984046	99.86	0.03	2839122.0	86.0	70031.0	44.678	6.956	0.000435	0.000201	25.239	41.388	6.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_937996995.1	agree_clean	99.97359	0.58603287	99.85	0.0	4163586.0	13.0	517405.0	43.715	0.0	0.001273	0.000317	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_938022355.1	agree_clean	99.701225	0.12657344	95.46	0.24	2025830.0	147.0	20127.0	29.958	22.176	0.0007	0.000681	36.38	25.811	13.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_938023125.1	agree_clean	99.91267	0.08299053	93.03	0.05	1943769.0	21.0	154792.0	48.771	0.535	0.004392	0.003746	0.0	99.465	1.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_938045305.1	agree_clean	99.96401	0.325647	98.01	0.0	1746719.0	33.0	136042.0	53.035	2.558	0.000495	0.000215	21.294	44.884	5.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_938074245.1	agree_clean	99.73796	0.0287503	94.58	0.4	3273357.0	98.0	56520.0	49.3	6.512	0.000318	0.000175	10.305	65.503	9.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_944321905.1	agree_clean	96.518005	0.25175214	92.39	1.77	2540804.0	162.0	23085.0	48.025	19.659	0.000327	0.000247	25.506	41.943	8.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_944324785.1	agree_clean	96.68759	0.4754573	96.51	1.11	2237681.0	91.0	33893.0	34.818	8.478	0.000414	0.000213	22.195	45.268	11.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.4078	1.0	1.176						
GCA_945877265.1	agree_clean	99.58615	0.8329153	95.26	0.14	1256459.0	93.0	19499.0	34.135	20.299	0.000388	0.00026	29.83	38.079	8.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_945932775.1	agree_clean	99.942505	0.24401248	95.88	0.54	2567810.0	62.0	69332.0	37.499	0.0	0.007978	0.006945	0.0	100.0	1.0		0.0	bacteria	0.7529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_945995735.1	agree_clean	99.96374	0.046503544	93.87	0.1	2944996.0	140.0	31553.0	51.903	9.156	0.000445	0.000251	17.591	51.062	8.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_946415095.1	agree_clean	96.31287	0.008517504	91.97	0.0	2558989.0	129.0	35047.0	41.878	7.084	0.001282	0.000489	2.822	84.889	6.0		0.0	bacteria	0.6706	1.0	1.0	2.0	1.0	1.0	0.3414	1.0	1.176						
GCA_947002705.1	agree_clean	99.60063	0.67433417	95.17	0.06	2283128.0	112.0	31609.0	56.76	11.7	0.001163	0.000318	23.57	55.626	9.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947061575.1	agree_clean	93.18428	4.1811676	94.27	0.31	2667264.0	72.0	70576.0	56.475	0.901	0.016523	0.01619	1.605	97.358	4.0		0.0	bacteria	1.0	0.0	1.0	2.0	1.0	0.0		0.0	0.0						
GCA_947345855.1	agree_clean	99.89972	0.31709373	99.99	0.0	2664286.0	45.0	91990.0	50.037	0.0	0.012504	0.012035	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947346975.1	agree_clean	99.96501	0.07086098	98.34	0.53	3241396.0	90.0	52661.0	43.767	2.464	0.000439	0.000185	14.88	70.627	9.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947363225.1	agree_clean	99.77115	0.9122461	99.99	0.23	2689261.0	25.0	180575.0	55.623	0.0	0.022	0.01594	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947368725.1	agree_clean	99.66681	0.13227165	95.19	0.16	2079898.0	33.0	110371.0	60.118	0.0	0.00175	0.0003	0.164	99.836	2.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947378535.1	agree_clean	95.30142	0.022408366	90.57	1.03	3460565.0	276.0	18896.0	50.32	16.631	0.000548	0.000352	9.506	68.045	6.0		0.0	bacteria	0.6235	1.0	1.0	2.0	1.0	1.0	0.9617	0.0	0.0						
GCA_947473205.1	agree_clean	99.97269	0.70943236	99.44	0.37	3078553.0	54.0	85115.0	36.934	5.068	0.00034	0.000102	13.836	75.489	6.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.3428	1.0	1.176						
GCA_947488205.1	agree_clean	99.97652	0.46163797	99.8	0.07	3041856.0	15.0	768274.0	45.112	0.166	0.000514	6e-05	0.0	94.622	1.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947494825.1	agree_clean	99.79123	0.36058724	99.98	0.13	4540785.0	33.0	726335.0	45.186	0.551	0.000522	6e-05	1.298	98.145	3.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947566755.1	agree_clean	99.941086	0.23539662	99.33	0.0	3240802.0	73.0	76493.0	47.601	2.808	0.000616	0.000211	10.727	78.978	6.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947572695.1	agree_clean	99.57471	0.28131902	95.32	1.03	3226324.0	94.0	58144.0	50.617	5.516	0.000522	0.00025	14.637	72.567	7.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_947648685.1	agree_clean	99.980316	1.1935651	98.59	0.2	2235503.0	27.0	170840.0	38.182	0.498	0.000451	0.000144	11.237	62.728	6.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948440595.1	agree_clean	99.9191	0.041490793	90.52	0.65	2761562.0	241.0	15582.0	49.961	16.161	0.000529	0.000356	22.118	55.669	8.0		0.0	bacteria	0.5765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948486125.1	agree_clean	99.16814	0.13685822	92.4	0.83	1788210.0	48.0	48782.0	38.654	0.176	0.018378	0.007306	0.096	99.728	2.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948487565.1	agree_clean	99.945946	0.923121	90.72	0.31	2556548.0	44.0	81416.0	46.713	2.876	0.000373	0.000147	20.803	70.522	5.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948511085.1	agree_clean	99.90236	0.40468872	98.6	0.48	2650792.0	78.0	65349.0	48.621	9.245	0.000385	0.000169	15.941	51.058	7.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948531775.1	agree_clean	99.80026	0.9151578	98.28	0.0	2196853.0	54.0	71802.0	43.651	0.193	0.016828	0.016582	0.0	99.807	1.0		0.0	bacteria	0.9882	0.0	1.0	2.0	1.0	0.0		0.0	0.0						
GCA_948532585.1	agree_clean	99.97565	0.80071986	99.78	3.0	2581710.0	118.0	95563.0	55.815	1.863	0.000689	0.000307	3.937	78.004	5.0		0.0	bacteria	1.0	3.0	5.0	3.0	6.0	3.0	0.9169	1.0	1.176						
GCA_948539115.1	agree_clean	99.834114	0.19524097	92.55	0.37	2507112.0	82.0	52728.0	51.812	7.412	0.000378	0.000186	16.15	58.082	6.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948565335.1	agree_clean	99.94096	0.29732585	99.83	0.0	2678100.0	57.0	92045.0	50.196	0.0	0.021039	0.020591	0.0	100.0	1.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	0.0	0.351	1.0	1.176						
GCA_948568525.1	agree_clean	99.955185	0.461787	99.97	0.24	2536498.0	34.0	120047.0	50.047	0.754	0.000412	9.3e-05	5.252	86.625	3.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948576655.1	agree_clean	99.986725	0.0091433525	95.86	0.12	2106020.0	40.0	168367.0	52.887	4.67	0.000312	0.000139	30.644	33.725	3.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948583585.1	agree_clean	99.9434	0.1627475	93.65	0.4	2487911.0	94.0	42883.0	50.532	9.71	0.000354	0.000184	32.637	45.427	8.0		0.0	bacteria	0.7882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948592635.1	agree_clean	99.971085	0.45664012	99.75	0.12	2205229.0	77.0	57547.0	50.214	5.592	0.000664	0.000275	14.744	71.37	5.0		0.0	bacteria	0.9882	1.0	2.0	3.0	3.0	3.0	0.3808	3.0	1.176						
GCA_948614825.1	agree_clean	99.94823	0.24504364	95.86	0.22	2705365.0	53.0	104734.0	50.264	0.062	0.020932	0.020316	0.0	99.938	1.0		0.0	bacteria	0.8824	1.0	2.0	2.0	2.0	0.0	0.351	1.0	1.176						
GCA_948620335.1	agree_clean	99.96773	1.1258602	90.26	0.18	4374185.0	81.0	85125.0	51.118	3.451	0.000333	0.000154	30.432	43.396	12.0		0.0	bacteria	0.9059	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948627575.1	agree_clean	99.9246	0.89796185	100.0	0.19	3139252.0	76.0	104142.0	39.683	2.159	0.00057	0.000134	0.619	87.645	3.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948651835.1	agree_clean	99.91113	2.1126866	100.0	1.86	3709216.0	130.0	60123.0	48.168	3.364	0.013237	0.012788	2.62	92.299	4.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948668855.1	agree_clean	99.962265	4.303226	99.91	0.85	4455515.0	310.0	82065.0	46.21	5.662	0.001076	0.000436	9.083	71.355	9.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948669905.1	agree_clean	99.97215	0.393489	95.45	1.31	2442385.0	84.0	45086.0	54.622	9.569	0.0006	0.000421	25.74	50.122	7.0		0.0	bacteria	1.0	4.0	4.0	2.0	4.0	4.0	0.7107	4.0	4.706						
GCA_948675425.1	agree_clean	99.973816	0.014019012	95.34	2.47	1797971.0	120.0	24829.0	40.952	32.867	0.000207	0.000224	38.144	16.24	11.0		0.0	bacteria	0.9765	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.176						
GCA_948678005.1	agree_clean	99.90504	0.1178056	95.09	1.04	2384992.0	150.0	25093.0	49.144	14.855	0.000603	0.000479	19.724	51.6	9.0		0.0	bacteria	0.6235	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948678825.1	agree_clean	99.94731	0.11814833	97.88	0.04	1863483.0	48.0	61280.0	34.256	0.0	0.021808	0.005465	0.0	100.0	1.0		0.0	bacteria	0.6706	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948688565.1	agree_clean	99.93964	0.5562663	95.51	0.17	1770815.0	52.0	101249.0	44.707	8.54	0.000292	0.00011	27.12	32.88	6.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948699335.1	agree_clean	99.986374	0.6796479	99.0	0.06	3007115.0	23.0	209018.0	41.441	0.974	0.000983	0.000359	0.0	99.026	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948704125.1	agree_clean	99.06023	0.019916892	97.59	2.79	2137341.0	225.0	15525.0	37.684	30.26	0.00038	0.000357	19.857	31.644	13.0		0.0	bacteria	0.9529	1.0	1.0	2.0	1.0	1.0	0.486	1.0	1.176						
GCA_948741635.1	agree_clean	99.91499	0.20927191	95.61	0.21	2174618.0	11.0	267351.0	56.936	0.0	0.001119	0.000511	0.0	100.0	1.0		0.0	bacteria	0.9059	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_948758425.1	agree_clean	99.927444	0.047904253	99.1	1.05	2934808.0	47.0	104600.0	39.104	2.495	0.00043	0.000195	6.197	74.555	4.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
