accession	domain	family	n_copies	n_pairs_total	n_pairs_valid	n_pairs_diff_contig	mean_pairwise_identity	min_pairwise_identity	survives_split_gene_control	contigs	cohort
GCA_947473205.1	bacteria	TIGR00006	2	1	1	1	0.3428	0.3428	True	CANJBP010000007.1;CANJBP010000021.1	agree_clean
GCA_947626165.1	bacteria	L21	2	1	1	1	0.9344	0.9344	True	CANQRG010000002.1;CANQRG010000003.1	disagreement_141
GCA_948531775.1	bacteria	S20	2	1	0	0			False	CAOTNR010000009.1;CAOTNR010000044.1	agree_clean
GCA_948532585.1	bacteria	L27	2	1	1	1	0.8765	0.8765	True	CAOTQE010000017.1;CAOTQE010000046.1	agree_clean
GCA_948532585.1	bacteria	PGK	3	3	0	0			False	CAOTQE010000007.1;CAOTQE010000082.1	agree_clean
GCA_948532585.1	bacteria	prfB	2	1	1	1	0.9169	0.9169	True	CAOTQE010000002.1;CAOTQE010000042.1	agree_clean
GCA_948532585.1	bacteria	rpsJ_bact	2	1	1	1	0.9293	0.9293	True	CAOTQE010000010.1;CAOTQE010000047.1	agree_clean
GCA_948565335.1	bacteria	dnaG	2	1	1	0	0.351	0.351	True	CAOYMU010000001.1	agree_clean
GCA_948592635.1	bacteria	dnaG	3	3	3	3	0.3712	0.3127	True	CAPCNW010000016.1;CAPCNW010000022.1;CAPCNW010000048.1	agree_clean
GCA_948614825.1	bacteria	PGK	2	1	0	0			False	CAPFVV010000001.1;CAPFVV010000003.1	agree_clean
GCA_948614825.1	bacteria	dnaG	2	1	1	0	0.351	0.351	True	CAPFVV010000003.1	agree_clean
GCA_948675425.1	bacteria	lysidine_TilS_N	2	1	1	1	0.2472	0.2472	True	CAPOUO010000027.1;CAPOUO010000054.1	agree_clean
GCA_948675425.1	bacteria	rplN_bact	2	1	1	1	1.0	1.0	True	CAPOUO010000024.1;CAPOUO010000060.1	agree_clean
GCA_948669905.1	bacteria	Ribosomal_S9	2	1	1	1	0.7107	0.7107	True	CAPNZA010000001.1;CAPNZA010000006.1	agree_clean
GCA_948669905.1	bacteria	rplM_bact	2	1	1	1	0.5725	0.5725	True	CAPNZA010000001.1;CAPNZA010000006.1	agree_clean
GCA_948669905.1	bacteria	rpsB_bact	2	1	1	1	0.7752	0.7752	True	CAPNZA010000001.1;CAPNZA010000006.1	agree_clean
GCA_948669905.1	bacteria	tsf	2	1	1	1	0.5283	0.5283	True	CAPNZA010000001.1;CAPNZA010000006.1	agree_clean
GCA_948704125.1	bacteria	guanyl_kin	2	1	1	1	0.486	0.486	True	CAPTAV010000113.1;CAPTAV010000220.1	agree_clean
GCA_948866415.1	bacteria	TIGR00006	2	1	1	1	0.3715	0.3715	True	CAQQWI010000036.1;CAQQWI010000142.1	agree_clean
GCA_948784995.1	bacteria	L3_bact	2	1	1	1	0.8607	0.8607	True	CAQEZV010000004.1;CAQEZV010000057.1	agree_clean
GCA_948784995.1	bacteria	Ribosomal_L23	2	1	1	1	0.7045	0.7045	True	CAQEZV010000004.1;CAQEZV010000057.1	agree_clean
GCA_948784995.1	bacteria	rplB_bact	2	1	1	1	0.9084	0.9084	True	CAQEZV010000004.1;CAQEZV010000057.1	agree_clean
GCA_948784995.1	bacteria	rplD_bact	2	1	1	1	0.7903	0.7903	True	CAQEZV010000004.1;CAQEZV010000057.1	agree_clean
GCA_948784995.1	bacteria	rpsS_bact	2	1	1	1	0.9101	0.9101	True	CAQEZV010000004.1;CAQEZV010000057.1	agree_clean
GCA_948945125.1	bacteria	dnaG	2	1	1	1	0.3308	0.3308	True	CARBHG010000006.1;CARBHG010000039.1	agree_clean
GCA_948994475.1	bacteria	guanyl_kin	2	1	1	1	0.4358	0.4358	True	CARIJO010000002.1;CARIJO010000023.1	agree_clean
GCA_949052265.1	bacteria	guanyl_kin	2	1	1	1	0.4358	0.4358	True	CARQXJ010000003.1;CARQXJ010000022.1	agree_clean
GCA_949347405.1	bacteria	L11_bact	2	1	1	1	0.9565	0.9565	True	CASHAK010000002.1;CASHAK010000008.1	agree_clean
GCA_949347405.1	bacteria	L12	2	1	1	1	0.9268	0.9268	True	CASHAK010000002.1;CASHAK010000008.1	agree_clean
GCA_949347405.1	bacteria	Ribosomal_L10	2	1	1	1	0.701	0.701	True	CASHAK010000002.1;CASHAK010000008.1	agree_clean
GCA_949347405.1	bacteria	nusG	2	1	1	1	0.7314	0.7314	True	CASHAK010000002.1;CASHAK010000008.1	agree_clean
GCA_949347405.1	bacteria	rplA_bact	2	1	1	1	0.8805	0.8805	True	CASHAK010000002.1;CASHAK010000008.1	agree_clean
GCA_949347405.1	bacteria	rpoB	2	1	1	1	0.8961	0.8961	True	CASHAK010000002.1;CASHAK010000008.1	agree_clean
GCA_949477195.1	bacteria	RNAse_H_YqgF	2	1	1	1	0.272	0.272	True	CASXMH010000033.1;CASXMH010000075.1	agree_clean
GCA_949477195.1	bacteria	hisS	2	1	1	1	0.273	0.273	True	CASXMH010000043.1;CASXMH010000075.1	agree_clean
GCA_950097065.1	bacteria	PGK	2	1	1	1	0.3919	0.3919	True	CATNCR010000001.1;CATNCR010000022.1	agree_clean
GCA_949740115.1	bacteria	Ribosomal_S9	2	1	0	0			False	CATJGZ010000036.1;CATJGZ010000050.1	agree_clean
GCA_949740115.1	bacteria	dnaG	2	1	1	1	0.4194	0.4194	True	CATJGZ010000082.1;CATJGZ010000121.1	agree_clean
GCA_963599035.1	bacteria	TIGR00006	2	1	1	1	0.3706	0.3706	True	CAVBVL010000004.1;CAVBVL010000051.1	agree_clean
GCA_963610445.1	bacteria	guanyl_kin	2	1	1	1	0.4078	0.4078	True	CAVDNY010000004.1;CAVDNY010000066.1	agree_clean
GCA_963706305.1	bacteria	PGK	2	1	1	0	0.5242	0.5242	True	OY970152.1	agree_clean
GCA_963741015.1	bacteria	PGK	2	1	0	0			False	CAVUGP010000006.1	agree_clean
GCA_963705225.1	bacteria	PGK	2	1	0	0			False	OY970060.1	disagreement_141
GCA_963745205.1	bacteria	L27	2	1	1	1	0.8429	0.8429	True	CAVUWX010000003.1;CAVUWX010000005.1	agree_clean
GCA_964348975.1	bacteria	L17	2	1	1	1	0.5505	0.5505	True	CAYGEO010000020.1;CAYGEO010000113.1	agree_clean
GCA_964348975.1	bacteria	Ribosomal_S9	2	1	1	1	0.575	0.575	True	CAYGEO010000020.1;CAYGEO010000113.1	agree_clean
GCA_964348975.1	bacteria	rplM_bact	2	1	1	1	0.4091	0.4091	True	CAYGEO010000020.1;CAYGEO010000113.1	agree_clean
GCA_963849745.1	bacteria	rpoB	2	1	1	1	0.9657	0.9657	True	CAWKIM010000003.1;CAWKIM010000010.1	disagreement_141
GCA_964216155.1	bacteria	S6	2	1	1	1	0.7945	0.7945	True	CAXPED010000004.1;CAXPED010000019.1	agree_clean
GCA_963822955.1	bacteria	PGK	2	1	1	1	0.5726	0.5726	True	CAWGJS010000001.1;CAWGJS010000002.1	agree_clean
GCA_963822955.1	bacteria	ileS	2	1	1	0	0.4115	0.4115	True	CAWGJS010000001.1	agree_clean
GCA_963822955.1	bacteria	leuS_bact	2	1	1	1	0.5096	0.5096	True	CAWGJS010000001.1;CAWGJS010000002.1	agree_clean
GCA_963822955.1	bacteria	pyrH_bact	2	1	1	1	0.4493	0.4493	True	CAWGJS010000003.1;CAWGJS010000007.1	agree_clean
GCA_963822955.1	bacteria	smpB	3	3	3	3	0.7258	0.5887	True	CAWGJS010000001.1;CAWGJS010000004.1;CAWGJS010000007.1	agree_clean
GCA_964370005.1	bacteria	rplT_bact	2	1	0	0			False	CAYJGR010000011.1;CAYJGR010000080.1	disagreement_141
GCA_964436235.1	bacteria	PGK	2	1	1	1	0.4781	0.4781	True	CAYTCW010000026.1;CAYTCW010000153.1	disagreement_141
GCA_964499935.1	bacteria	PGK	2	1	1	0	0.3952	0.3952	True	CAZCMS010000001.1	disagreement_141
GCA_964500765.1	bacteria	S16	2	1	0	0			False	CAZCPV010000053.1;CAZCPV010000197.1	agree_clean
GCA_964628655.1	bacteria	TIGR00006	2	1	1	1	0.7197	0.7197	True	CAZVOB010000023.1;CAZVOB010000072.1	agree_clean
GCA_964628655.1	bacteria	rpsL_bact	2	1	1	1	0.89	0.89	True	CAZVOB010000079.1;CAZVOB010000084.1	agree_clean
GCA_964564625.1	bacteria	PGK	3	3	3	3	0.3543	0.3256	True	CAZMBE010000006.1;CAZMBE010000019.1;CAZMBE010000027.1	disagreement_141
GCA_965201135.1	bacteria	ruvB	2	1	1	0	0.457	0.457	True	OZ241751.1	disagreement_141
GCA_964640795.1	bacteria	infC	2	1	0	0			False	CAZXIN010000046.1;CAZXIN010000061.1	agree_clean
GCA_965328565.1	bacteria	PGK	3	3	0	0			False	CBDPAQ010000056.1;CBDPAQ010000083.1	agree_clean
GCA_976998035.1	bacteria	PGK	2	1	0	0			False	CDRLRH010000139.1;CDRLRH010000176.1	agree_clean
GCA_966168655.1	bacteria	L6_bact	2	1	1	1	0.8114	0.8114	True	CBIDWS010000044.1;CBIDWS010000061.1	agree_clean
GCA_966168655.1	bacteria	Ribosomal_L5	2	1	1	1	0.7544	0.7544	True	CBIDWS010000044.1;CBIDWS010000061.1	agree_clean
GCA_966168655.1	bacteria	Ribosomal_S8	2	1	1	1	0.8372	0.8372	True	CBIDWS010000044.1;CBIDWS010000061.1	agree_clean
GCA_966168655.1	bacteria	TIGR00006	2	1	1	1	0.3646	0.3646	True	CBIDWS010000022.1;CBIDWS010000033.1	agree_clean
GCA_966168655.1	bacteria	rplX_bact	2	1	1	1	0.7051	0.7051	True	CBIDWS010000044.1;CBIDWS010000061.1	agree_clean
GCA_977974145.1	bacteria	TIGR00006	2	1	1	1	0.3586	0.3586	True	CDWXFN010000001.1;CDWXFN010000006.1	agree_clean
GCA_977925875.1	bacteria	TIGR00006	2	1	1	0	0.3728	0.3728	True	OZ375594.1	agree_clean
GCA_977925875.1	bacteria	secG	3	3	3	0	0.8513	0.7714	True	OZ375594.1	agree_clean
GCA_980315005.1	bacteria	TIGR00043	2	1	1	1	0.4159	0.4159	True	CEKDRG010000261.1;CEKDRG010000390.1	disagreement_141
GCA_982264465.1	bacteria	rpmH_bact	2	1	1	1	0.6744	0.6744	True	CEVFDK010000001.1;CEVFDK010000257.1	agree_clean
