accession	organism	species_taxid	level	contigs	genome_size	ftp	excluded	label	matched_to
GCA_022136045.1	Alistipes putredinis	28117	Contig	524	2872689	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/136/045/GCA_022136045.1_NA/	na	unflagged_control	GCA_022728395.1
GCA_949417895.1	Xylanibacter rodentium	2736289	Contig	250	2924708	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/417/895/GCA_949417895.1_extra-SRR6945379.22_1677799377/	contaminated; annotation fails MAG completeness check; derived from metagenome	flagged_contaminated	
GCA_013166575.1	Xylanibacter rodentium	2736289	Contig	67	3532990	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/575/GCA_013166575.1_ASM1316657v1/	na	unflagged_control	GCA_949417895.1
GCA_009678755.1	Paraclostridium sordellii	1505	Contig	624	4206267	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/678/755/GCA_009678755.1_ASM967875v1/	contaminated	flagged_contaminated	
GCA_024460095.1	Paraclostridium sordellii	1505	Contig	429	3567447	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/460/095/GCA_024460095.1_ASM2446009v1/	na	unflagged_control	GCA_009678755.1
GCA_965118135.1	Paraburkholderia tropica	92647	Contig	87	9589097	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/118/135/GCA_965118135.1_Paraburkholderia_tropica_ABIP2222/	contaminated	flagged_contaminated	
GCA_007474615.1	Paraburkholderia tropica	92647	Scaffold	85	8641252	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/474/615/GCA_007474615.1_ASM747461v1/	na	unflagged_control	GCA_965118135.1
GCA_031571575.1	Acinetobacter baumannii	470	Contig	1753	4455621	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/571/575/GCA_031571575.1_ASM3157157v1/	contaminated	flagged_contaminated	
GCA_010607455.1	Acinetobacter baumannii	470	Scaffold	1788	4008664	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/607/455/GCA_010607455.1_ASM1060745v1/	na	unflagged_control	GCA_031571575.1
GCA_032885465.1	Candidatus Phytoplasma australasiaticum	2754999	Contig	484	570439	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/885/465/GCA_032885465.1_ASM3288546v1/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_030586705.1	Candidatus Phytoplasma australasiaticum subsp. ipomoeae	2754999	Scaffold	92	670520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/586/705/GCA_030586705.1_ASM3058670v1/	na	unflagged_control	GCA_032885465.1
GCA_902507655.1	Klebsiella pneumoniae	573	Scaffold	2874	6657603	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/507/655/GCA_902507655.1_SRRSH61/	contaminated; fragmented assembly	flagged_contaminated	
GCA_047466035.1	Klebsiella pneumoniae	573	Contig	1987	6267103	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/466/035/GCA_047466035.1_ASM4746603v1/	na	unflagged_control	GCA_902507655.1
GCA_024575815.1	Citrobacter freundii	546	Contig	87	5779713	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/575/815/GCA_024575815.1_PDT001378139.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_002189125.1	Citrobacter freundii	546	Contig	87	5170487	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/189/125/GCA_002189125.1_ASM218912v1/	na	unflagged_control	GCA_024575815.1
GCA_054687835.1	Helicobacter pylori	210	Contig	306	4801579	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/687/835/GCA_054687835.1_ASM5468783v1/	contaminated; from large multi-isolate project; genome length too large	flagged_contaminated	
GCA_047531615.1	Helicobacter pylori	210	Contig	307	1588893	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/531/615/GCA_047531615.1_ASM4753161v1/	na	unflagged_control	GCA_054687835.1
GCA_900143395.1	Enterococcus faecium	1352	Scaffold	946	2986127	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/395/GCA_900143395.1_Hp_6-9_05/	contaminated	flagged_contaminated	
GCA_011386865.1	Enterococcus faecium	1352	Scaffold	921	2999902	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/386/865/GCA_011386865.1_ASM1138686v1/	na	unflagged_control	GCA_900143395.1
GCA_021888815.1	Vibrio parahaemolyticus	670	Contig	133	5230815	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/888/815/GCA_021888815.1_ASM2188881v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_001727825.1	Vibrio parahaemolyticus	670	Contig	133	5156414	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/727/825/GCA_001727825.1_ASM172782v1/	na	unflagged_control	GCA_021888815.1
GCA_946403335.1	Escherichia coli	562	Contig	473	5156254	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/403/335/GCA_946403335.1_ED2009-12-08-h/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000276845.1	Escherichia coli O26:H11 str. CVM10030	562	Contig	473	5492997	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/845/GCA_000276845.1_EC_O26_H11_CVM10030_1.0/	na	unflagged_control	GCA_946403335.1
GCA_027694055.1	Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	Scaffold	70	3046720	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/694/055/GCA_027694055.1_ASM2769405v1/	contaminated	flagged_contaminated	
GCA_014269305.1	Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	Contig	63	3017304	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/269/305/GCA_014269305.1_ASM1426930v1/	na	unflagged_control	GCA_027694055.1
GCA_020996335.1	Escherichia coli	562	Contig	181	5148707	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/996/335/GCA_020996335.1_PDT001185717.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000335255.2	Escherichia coli 99.0839	562	Contig	181	5183560	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/255/GCA_000335255.2_ASM33525v2/	na	unflagged_control	GCA_020996335.1
GCA_020301205.1	Escherichia coli	562	Contig	64	5340337	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/301/205/GCA_020301205.1_PDT000689867.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000247665.4	Escherichia coli O157:H43 str. T22	562	Scaffold	64	4958978	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/665/GCA_000247665.4_EcoliT22_2.0/	na	unflagged_control	GCA_020301205.1
GCA_044760575.1	Limosilactobacillus mucosae	97478	Contig	239	2113756	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/760/575/GCA_044760575.1_ASM4476057v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_051156815.1	Limosilactobacillus mucosae	97478	Contig	160	1992201	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/156/815/GCA_051156815.1_ASM5115681v1/	na	unflagged_control	GCA_044760575.1
GCA_900480905.1	Escherichia coli	562	Scaffold	55	5053585	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/480/905/GCA_900480905.1_17870_4_57/	contaminated	flagged_contaminated	
GCA_000326725.1	Escherichia coli KTE150	562	Contig	55	4892219	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/725/GCA_000326725.1_Esch_coli_KTE150_V1/	na	unflagged_control	GCA_900480905.1
GCA_019353055.1	Faucicola osloensis	34062	Contig	80	2706202	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/353/055/GCA_019353055.1_ASM1935305v1/	contaminated	flagged_contaminated	
GCA_001679175.1	Faucicola osloensis	34062	Scaffold	84	2594948	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/679/175/GCA_001679175.1_ASM167917v1/	na	unflagged_control	GCA_019353055.1
GCA_034556215.1	Escherichia coli	562	Contig	11	5525718	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/556/215/GCA_034556215.1_ASM3455621v1/	contaminated	flagged_contaminated	
GCA_000459335.1	Escherichia coli HVH 215 (4-3008371)	562	Scaffold	11	5306402	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/459/335/GCA_000459335.1_Esch_coli_HVH_215_4-3008371_V1/	na	unflagged_control	GCA_034556215.1
GCA_963651935.1	Akkermansia muciniphila	239935	Scaffold	71	2590852	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/651/935/GCA_963651935.1_E07188-L1_cleanbin_000016_GreatApes/	contaminated; unverified source organism; derived from metagenome	flagged_contaminated	
GCA_900185065.1	Akkermansia muciniphila	239935	Contig	70	2807935	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/065/GCA_900185065.1_Pig.fasta/	na	unflagged_control	GCA_963651935.1
GCA_029999615.1	Escherichia coli	562	Contig	133	4711158	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/999/615/GCA_029999615.1_ASM2999961v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000356785.2	Escherichia coli P0302293.4	562	Contig	133	5227220	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/356/785/GCA_000356785.2_ASM35678v2/	na	unflagged_control	GCA_029999615.1
GCA_009796585.1	Glaesserella parasuis	738	Scaffold	192	2247730	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/796/585/GCA_009796585.1_ASM979658v1/	contaminated	flagged_contaminated	
GCA_009796475.1	Glaesserella parasuis	738	Scaffold	192	2352367	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/796/475/GCA_009796475.1_ASM979647v1/	na	unflagged_control	GCA_009796585.1
GCA_963589965.1	Parabacteroides distasonis	823	Scaffold	68	2315062	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/589/965/GCA_963589965.1_E07154-L1_cleanbin_000010_GreatApes/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_009678385.1	Parabacteroides distasonis	823	Scaffold	68	5131096	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/678/385/GCA_009678385.1_ASM967838v1/	na	unflagged_control	GCA_963589965.1
GCA_017784705.1	Escherichia coli	562	Contig	408	5395464	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/784/705/GCA_017784705.1_PDT000977935.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000164615.1	Escherichia coli MS 57-2	562	Scaffold	408	4972736	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/615/GCA_000164615.1_ASM16461v1/	na	unflagged_control	GCA_017784705.1
GCA_918346515.1	Escherichia coli	562	Scaffold	526	5283397	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/918/346/515/GCA_918346515.1_S3077/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000303535.2	Escherichia coli EC1847	562	Scaffold	526	5346717	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/535/GCA_000303535.2_ASM30353v2/	na	unflagged_control	GCA_918346515.1
GCA_015930465.1	Citrobacter freundii	546	Contig	180	5266268	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/930/465/GCA_015930465.1_PDT000798423.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_001880915.1	Citrobacter freundii	546	Contig	180	5380750	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/880/915/GCA_001880915.1_ASM188091v1/	na	unflagged_control	GCA_015930465.1
GCA_028328635.1	Parabacteroides merdae	46503	Contig	52	4498170	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/328/635/GCA_028328635.1_ASM2832863v1/	contaminated	flagged_contaminated	
GCA_004166975.1	Parabacteroides merdae	46503	Contig	51	4585925	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/166/975/GCA_004166975.1_ASM416697v1/	na	unflagged_control	GCA_028328635.1
GCA_963668865.1	Clostridium butyricum	1492	Contig	3	4717524	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/668/865/GCA_963668865.1_360/	contaminated	flagged_contaminated	
GCA_013149575.1	Clostridium butyricum	1492	Contig	3	4735538	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/149/575/GCA_013149575.1_ASM1314957v1/	na	unflagged_control	GCA_963668865.1
GCA_015845185.1	Bacillus toyonensis	155322	Scaffold	709	6565196	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/845/185/GCA_015845185.1_ASM1584518v1/	contaminated	flagged_contaminated	
GCA_036966425.1	Bacillus toyonensis	155322	Scaffold	741	5782812	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/966/425/GCA_036966425.1_ASM3696642v1/	na	unflagged_control	GCA_015845185.1
GCA_016653395.1	Rhodospirillum rubrum	1085	Scaffold	317	4654520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/653/395/GCA_016653395.1_ASM1665339v1/	contaminated	flagged_contaminated	
GCA_016583925.1	Rhodospirillum rubrum	1085	Contig	419	4042723	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/583/925/GCA_016583925.1_ASM1658392v1/	na	unflagged_control	GCA_016653395.1
GCA_904384145.1	Drancourtella sp. An57	1965647	Scaffold	106	2727855	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/384/145/GCA_904384145.1_Chicken_20_mag_120/	contaminated; derived from metagenome	flagged_contaminated	
GCA_002161525.1	Drancourtella sp. An57	1965647	Contig	46	3290783	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/161/525/GCA_002161525.1_ASM216152v1/	na	unflagged_control	GCA_904384145.1
GCA_000686425.1	Campylobacter jejuni K5	197	Scaffold	466	3321929	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/686/425/GCA_000686425.1_Assembly_1/	contaminated; genome length too large	flagged_contaminated	
GCA_038180985.1	Campylobacter jejuni	197	Scaffold	463	1944182	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/180/985/GCA_038180985.1_ASM3818098v1/	na	unflagged_control	GCA_000686425.1
GCA_047502405.1	Staphylococcus hominis	1290	Contig	86	2198973	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/502/405/GCA_047502405.1_ASM4750240v1/	contaminated	flagged_contaminated	
GCA_002799365.1	Staphylococcus hominis	1290	Contig	86	2354349	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/799/365/GCA_002799365.1_ASM279936v1/	na	unflagged_control	GCA_047502405.1
GCA_900143335.1	Enterococcus faecium	1352	Scaffold	171	2885836	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/335/GCA_900143335.1_Hp_5-10_05/	contaminated	flagged_contaminated	
GCA_002442315.1	Enterococcus faecium	1352	Scaffold	171	2955402	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/442/315/GCA_002442315.1_ASM244231v1/	na	unflagged_control	GCA_900143335.1
GCA_023162175.1	Escherichia coli	562	Contig	791	5144357	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/162/175/GCA_023162175.1_ASM2316217v1/	contaminated	flagged_contaminated	
GCA_000178735.1	Escherichia coli O157:H7 str. EC4127	562	Contig	791	5296992	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/735/GCA_000178735.1_ASM17873v1/	na	unflagged_control	GCA_023162175.1
GCA_949479655.1	Lactobacillus johnsonii	33959	Contig	64	1926055	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/479/655/GCA_949479655.1_extra-ERR982820.2_1677760455/	contaminated; derived from metagenome	flagged_contaminated	
GCA_910576225.1	Lactobacillus johnsonii	33959	Contig	65	1986457	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/576/225/GCA_910576225.1_MGBC000223/	na	unflagged_control	GCA_949479655.1
GCA_050577035.1	Streptococcus canis	1329	Contig	85	2197290	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/577/035/GCA_050577035.1_ASM5057703v1/	contaminated	flagged_contaminated	
GCA_012767855.1	Streptococcus canis	1329	Scaffold	85	2108133	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/767/855/GCA_012767855.1_ASM1276785v1/	na	unflagged_control	GCA_050577035.1
GCA_007049885.1	Ectopseudomonas mendocina	300	Contig	59	5052661	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/049/885/GCA_007049885.1_ASM704988v1/	contaminated	flagged_contaminated	
GCA_038378185.1	Ectopseudomonas mendocina	300	Contig	50	4348183	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/378/185/GCA_038378185.1_ASM3837818v1/	na	unflagged_control	GCA_007049885.1
GCA_043417335.1	Escherichia coli	562	Contig	209	5482440	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/417/335/GCA_043417335.1_PDT002282327.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000321145.1	Escherichia coli O157:H7 str. H093800014	562	Contig	209	5466582	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/321/145/GCA_000321145.1_ASM32114v1/	na	unflagged_control	GCA_043417335.1
GCA_021154385.1	Bacillus sp. (in: firmicutes)	1409	Contig	397	3027047	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/154/385/GCA_021154385.1_ASM2115438v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_003938985.1	Bacillus sp. (in: firmicutes)	1409	Contig	4	5703621	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/938/985/GCA_003938985.1_ASM393898v1/	na	unflagged_control	GCA_021154385.1
GCA_002895675.1	Xanthomonas oryzae pv. oryzae	347	Scaffold	523	4289009	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/675/GCA_002895675.1_ASM289567v1/	contaminated	flagged_contaminated	
GCA_003295175.1	Xanthomonas oryzae pv. oryzae	347	Scaffold	523	4542112	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/295/175/GCA_003295175.1_ASM329517v1/	na	unflagged_control	GCA_002895675.1
GCA_963649085.1	Xylanibacter rarus	1676614	Scaffold	250	1191792	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/649/085/GCA_963649085.1_H07649-L1_cleanbin_000066_GreatApes/	contaminated; unverified source organism; derived from metagenome	flagged_contaminated	
GCA_001275135.1	Xylanibacter rarus	1676614	Contig	85	3788330	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/135/GCA_001275135.1_ASM127513v1/	na	unflagged_control	GCA_963649085.1
GCA_009024035.1	Bacteroides thetaiotaomicron	818	Scaffold	650	7803687	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/024/035/GCA_009024035.1_ASM902403v1/	contaminated; from large multi-isolate project; genome length too large	flagged_contaminated	
GCA_016760065.1	Bacteroides thetaiotaomicron	818	Contig	645	6203597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/760/065/GCA_016760065.1_ASM1676006v1/	na	unflagged_control	GCA_009024035.1
GCA_052275145.1	Parabacteroides merdae	46503	Contig	612	3141441	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/275/145/GCA_052275145.1_ASM5227514v1/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_039750795.1	Parabacteroides merdae	46503	Scaffold	619	4547636	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/750/795/GCA_039750795.1_ASM3975079v1/	na	unflagged_control	GCA_052275145.1
GCA_948837735.1	Akkermansia muciniphila	239935	Scaffold	1215	1892887	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/837/735/GCA_948837735.1_MGBC130066/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_008423165.1	Akkermansia muciniphila	239935	Scaffold	274	3050314	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/423/165/GCA_008423165.1_ASM842316v1/	na	unflagged_control	GCA_948837735.1
GCA_000936245.1	Escherichia coli	562	Contig	40	5417467	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/936/245/GCA_000936245.1_FHI7/	contaminated	flagged_contaminated	
GCA_000350905.1	Escherichia coli KTE178	562	Scaffold	40	5307892	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/905/GCA_000350905.1_Esch_coli_KTE178_V1/	na	unflagged_control	GCA_000936245.1
GCA_054687155.1	Helicobacter pylori	210	Contig	78	1601898	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/687/155/GCA_054687155.1_ASM5468715v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000475535.1	Helicobacter pylori SA220A	210	Contig	78	1664601	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/475/535/GCA_000475535.1_SA220A/	na	unflagged_control	GCA_054687155.1
GCA_050575955.1	Pseudomonas aeruginosa	287	Scaffold	255	6850106	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/575/955/GCA_050575955.1_ASM5057595v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000794285.1	Pseudomonas aeruginosa	287	Scaffold	255	6500090	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/794/285/GCA_000794285.1_AZPAE14835/	na	unflagged_control	GCA_050575955.1
GCA_948779835.1	Parabacteroides distasonis	823	Scaffold	572	3451888	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/779/835/GCA_948779835.1_MGBC135496/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_028329705.1	Parabacteroides distasonis	823	Contig	571	5077652	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/329/705/GCA_028329705.1_ASM2832970v1/	na	unflagged_control	GCA_948779835.1
GCA_009718785.1	Proteus mirabilis	584	Scaffold	91	4541435	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/718/785/GCA_009718785.1_ASM971878v1/	contaminated	flagged_contaminated	
GCA_000770765.1	Proteus mirabilis	584	Contig	91	4137208	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/765/GCA_000770765.1_ASM77076v1/	na	unflagged_control	GCA_009718785.1
GCA_001719865.1	Streptococcus pneumoniae	1313	Scaffold	906	2360790	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/865/GCA_001719865.1_ASM171986v1/	contaminated	flagged_contaminated	
GCA_009720985.1	Streptococcus pneumoniae	1313	Contig	900	2395814	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/720/985/GCA_009720985.1_ASM972098v1/	na	unflagged_control	GCA_001719865.1
GCA_937990085.1	Clostridium algidicarnis	37659	Contig	902	2589429	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/990/085/GCA_937990085.1_ERR1094793_bin.14_CONCOCT_v1.1_MAG/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_018861405.1	Clostridium algidicarnis	37659	Contig	62	2969113	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/861/405/GCA_018861405.1_ASM1886140v1/	na	unflagged_control	GCA_937990085.1
GCA_023342615.1	Citrobacter freundii	546	Contig	66	5377254	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/342/615/GCA_023342615.1_PDT001306351.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_004801105.1	Citrobacter freundii	546	Scaffold	66	5273335	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/801/105/GCA_004801105.1_ASM480110v1/	na	unflagged_control	GCA_023342615.1
GCA_948570835.1	Limosilactobacillus reuteri	1598	Scaffold	368	1128169	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/570/835/GCA_948570835.1_MGBC135228/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_003175085.1	Limosilactobacillus reuteri	1598	Scaffold	369	2138434	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/175/085/GCA_003175085.1_ASM317508v1/	na	unflagged_control	GCA_948570835.1
GCA_948485715.1	Duncaniella muris	2094150	Scaffold	934	1876013	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/485/715/GCA_948485715.1_MGBC116511/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_910575715.1	Duncaniella muris	2094150	Contig	131	3454399	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/575/715/GCA_910575715.1_MGBC000132/	na	unflagged_control	GCA_948485715.1
GCA_053551795.1	Citrobacter portucalensis	1639133	Contig	95	5574016	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/551/795/GCA_053551795.1_ASM5355179v1/	contaminated	flagged_contaminated	
GCA_036879765.1	Citrobacter portucalensis	1639133	Contig	95	5127720	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/879/765/GCA_036879765.1_ASM3687976v1/	na	unflagged_control	GCA_053551795.1
GCA_008016805.1	Streptomyces lavendulae	1914	Scaffold	100	7769884	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/016/805/GCA_008016805.1_ASM801680v1/	contaminated	flagged_contaminated	
GCA_042957905.1	Streptomyces lavendulae	1914	Scaffold	102	8729638	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/957/905/GCA_042957905.1_ASM4295790v1/	na	unflagged_control	GCA_008016805.1
GCA_949508365.1	Lactococcus cremoris subsp. cremoris A76	1359	Contig	515	1688873	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/508/365/GCA_949508365.1_extra-ERR1762067.1_1677794796/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_044990555.1	Lactococcus cremoris	1359	Scaffold	556	2528857	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/990/555/GCA_044990555.1_ASM4499055v1/	na	unflagged_control	GCA_949508365.1
GCA_948935695.1	Ligilactobacillus murinus	1622	Scaffold	783	1619762	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/935/695/GCA_948935695.1_MGBC135697/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_002217775.1	Ligilactobacillus murinus	1622	Contig	358	2317246	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/217/775/GCA_002217775.1_ASM221777v1/	na	unflagged_control	GCA_948935695.1
GCA_963592105.1	Dorea longicatena	88431	Scaffold	57	2271314	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/592/105/GCA_963592105.1_E07148-L1_cleanbin_000016_GreatApes/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_001405975.1	Dorea longicatena	88431	Scaffold	57	3233027	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/405/975/GCA_001405975.1_14207_7_84/	na	unflagged_control	GCA_963592105.1
GCA_946224265.1	Streptococcus mitis	28037	Contig	770	2152101	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/224/265/GCA_946224265.1_B89L/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_946186995.1	Streptococcus mitis	28037	Contig	556	2231680	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/186/995/GCA_946186995.1_128U_S6/	na	unflagged_control	GCA_946224265.1
GCA_026009695.1	Escherichia coli	562	Contig	7836	8559187	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/009/695/GCA_026009695.1_ASM2600969v1/	contaminated; fragmented assembly; from large multi-isolate project; genome length too large	flagged_contaminated	
