tool	margin	level	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean	mimag_n	mimag_n_true_HQ	mimag_n_pred_HQ	mimag_HQ_tp	mimag_HQ_fp	mimag_HQ_fn	mimag_HQ_tn	mimag_HQ_precision	mimag_HQ_recall	mimag_false_clean_rate_5pct	mimag_false_dirty_rate_5pct
deepcheck	type_x_band	redundant|[5,10]%	120	20	0.8597	0.3161	1.354	2.5236	2.1082	2.9995	1.9094	1.3269	2.5365	3.9189	2.3215	5.9194	2.142	0.0963	4.6335	-5.4378	0.4086	6.25	87.142											
deepcheck	type_x_band	redundant|[10,20]%	300	50	0.8306	0.4584	1.2222	5.0011	4.1509	5.9711	2.3889	1.0615	3.7705	5.5113	4.2931	6.7677	4.9386	3.5731	6.3386	-3.4198	0.3873	15.0	84.483											
deepcheck	type_x_band	replaced|[0,5]%	180	30	-0.3065	-0.6518	-0.0044	1.7788	1.4551	2.1335	-1.5531	-2.0085	-1.0877	5.2612	3.5813	7.3676	1.2554	-1.5777	3.7941	-5.2418	0.2571	2.0	82.917											
deepcheck	type_x_band	replaced|[5,10]%	120	20	-0.093	-0.5023	0.2469	5.6153	4.8333	6.3193	-5.6153	-6.3193	-4.8333	7.0458	5.1363	9.1802	6.5934	4.382	8.8509	-21.2185	-0.9636	6.25	80.613											
deepcheck	type_x_band	replaced|[10,20]%	300	50	-0.0038	-0.0741	0.072	14.0788	13.0551	15.0666	-14.0484	-15.0452	-13.0128	13.9981	12.7641	15.2493	13.4349	12.1791	14.7859	-16.0225	-3.4658	15.0	74.219											
deepcheck	type_x_band	single|[0,5]%	180	30	-0.161	-0.4458	0.0821	1.6325	1.2987	1.9744	-1.5152	-1.9208	-1.1168	4.524	2.8555	6.7129	-1.8118	-4.4372	0.4432	-4.454	0.0981	1.981	84.882											
deepcheck	type_x_band	single|[5,10]%	120	20	-0.1561	-0.5191	0.1587	5.0948	4.2656	5.8943	-5.0948	-5.8943	-4.2656	3.5003	1.996	5.5277	0.7405	-1.3983	3.2097	-14.9262	0.5118	6.144	87.142											
deepcheck	type_x_band	single|[10,20]%	300	50	0.0091	-0.0499	0.065	13.119	12.0885	14.1051	-13.0959	-14.0978	-12.056	3.3161	2.5952	4.0783	0.9397	-0.1732	2.0873	-10.2055	0.778	14.447	84.483											
deepcheck	pooled	ALL_contaminated	1800	100	0.3951	0.3412	0.4596	6.7134	5.7471	7.6032	-4.9611	-5.7787	-4.104	6.2	5.4318	7.0739	3.659	2.4365	4.8651	-1.0262	0.1107	9.249	82.792	1800.0	129.0	379.0	96.0	283.0	33.0	1388.0	0.2533	0.7442	0.6687	0.0541
deepcheck	pooled	NON_REDUNDANT(replaced+single)	1200	100	0.0393	0.0141	0.0655	8.3822	7.2075	9.5462	-8.3173	-9.511	-7.1115	6.8509	6.0437	7.7127	4.2436	2.9755	5.3853	-1.6714	-0.0246	9.198	81.621	1200.0	87.0	341.0	75.0	266.0	12.0	847.0	0.2199	0.8621	0.9782	0.0
deepcheck	pooled	UNCONTAMINATED_CONTROL	100	100				0.7269	0.5664	0.9018	0.6041	0.425	0.7941	3.6606	2.8983	4.5259	-0.3042	-1.4032	0.7616		0.5891	0.0	85.135	100.0	19.0	24.0	18.0	6.0	1.0	75.0	0.75	0.9474	0.0	0.01
